time (s)	magX	magY	magZ
4244.690391	-249.398026	-92.486267	-233.886032
4244.693659	-246.943314	-91.726471	-227.983047
4244.696989	-245.482193	-90.849792	-222.021622
4244.701169	-240.339005	-89.213333	-208.345413
4244.704504	-238.760941	-88.453537	-202.500870
4244.707856	-236.481583	-87.401520	-196.539459
4244.710747	-234.786667	-86.817062	-191.454712
4244.714088	-232.215073	-85.239044	-185.551727
4244.717469	-229.409683	-84.829926	-179.999420
4244.720317	-227.305679	-84.128586	-174.739334
4244.723659	-225.201645	-82.959671	-170.180603
4244.726984	-222.630051	-82.901230	-165.446533
4244.730370	-220.292221	-81.498535	-161.004669
4244.733669	-217.895950	-80.914078	-156.270599
4244.736982	-215.499710	-79.803619	-151.711868
4244.740316	-213.220322	-79.394516	-147.270020
4244.743649	-210.882523	-78.751602	-143.587952
4244.746987	-209.304489	-78.459381	-139.905899
4244.750312	-206.849777	-77.115128	-135.639404
4244.753652	-204.862656	-76.881348	-131.255997
4244.756982	-202.407944	-76.706024	-127.749275
4244.760339	-200.187027	-75.537109	-124.417885
4244.763653	-197.673874	-74.894211	-120.560493
4244.766985	-194.926956	-74.485107	-117.696671
4244.770311	-193.232040	-73.900650	-114.599068
4244.774544	-188.965500	-72.614853	-108.462311
4244.777930	-186.803024	-71.329041	-106.007599
4244.781237	-185.400345	-70.452362	-102.851547
4244.784105	-182.711868	-69.517242	-100.689072
4244.787399	-181.192276	-68.465225	-97.649918
4244.790743	-178.679138	-68.348328	-95.662773
4244.793643	-176.224426	-67.530106	-92.682060
4244.796980	-174.412628	-66.536530	-90.052017
4244.800314	-173.243713	-66.419647	-88.064880
4244.803686	-171.139694	-64.958496	-85.610168
4244.806971	-169.678543	-65.075394	-84.032150
4244.810314	-168.451187	-63.848042	-81.752777
4244.813646	-166.288712	-63.205143	-79.648743
4244.816974	-164.067795	-62.211567	-77.369377
4244.820308	-162.665100	-61.510227	-75.148453
4244.823645	-161.145523	-60.750439	-73.687317
4244.826978	-159.392166	-60.107540	-71.875511
4244.830305	-158.106369	-59.230862	-69.888374
4244.833640	-155.651657	-58.763294	-68.661018
4244.836976	-154.599640	-58.003506	-66.790771
4244.840305	-152.904724	-57.360607	-64.043839
4244.843646	-151.326706	-56.483929	-62.348923
4244.847907	-148.696655	-55.373470	-59.894218
4244.851156	-146.767975	-54.789013	-57.965519
4244.854075	-145.482178	-54.321453	-56.270607
4244.857403	-144.137924	-54.146114	-55.452370
4244.860724	-142.793686	-53.678555	-53.991234
4244.863636	-141.215652	-52.918758	-52.705437
4244.866971	-140.105194	-52.626537	-52.705437
4244.870307	-138.819412	-52.217411	-50.250732
4244.873637	-138.001175	-51.925190	-49.257164
4244.876967	-136.715363	-51.457630	-48.263592
4244.880301	-135.488007	-51.223850	-47.620693
4244.883637	-134.494446	-50.756283	-46.334892
4244.886965	-133.208664	-50.288723	-45.516659
4244.890326	-132.390427	-50.405613	-45.165985
4244.893636	-131.805969	-50.230274	-43.587963
4244.896975	-130.227936	-50.230274	-43.295738
4244.900314	-129.059036	-49.762707	-42.652840
4244.903633	-128.766800	-49.412037	-42.185272
4244.906969	-128.007019	-48.652248	-42.243721
4244.910302	-126.662766	-48.652248	-41.308594
4244.913635	-125.552307	-48.827587	-40.431915
4244.917824	-124.266510	-48.301579	-39.496788
4244.921141	-123.565170	-47.834019	-38.620110
4244.924495	-123.448273	-47.658680	-38.386330
4244.927386	-122.337814	-47.249561	-37.918762
4244.930752	-121.519577	-47.191113	-37.392757
4244.934121	-120.818237	-46.957333	-36.691414
4244.936959	-120.175339	-47.074223	-36.165405
4244.940356	-119.532440	-46.431332	-35.697842
4244.943639	-119.006424	-46.314442	-34.879604
4244.946966	-118.480423	-45.788425	-35.054939
4244.950301	-117.954407	-45.554646	-34.178261
4244.953627	-117.954407	-45.379314	-34.178261
4244.956957	-117.077728	-45.262424	-33.476917
4244.960298	-116.902405	-45.262424	-33.301579
4244.963628	-116.025726	-44.502628	-32.717125
4244.966963	-115.441269	-43.918179	-31.898891
4244.970295	-115.149033	-44.268848	-32.132675
4244.973630	-115.090591	-43.684399	-31.431328
4244.976999	-114.213913	-43.392162	-32.015781
4244.980295	-113.687912	-43.333721	-31.139103
4244.983623	-113.512558	-42.983051	-30.437759
4244.986963	-112.986557	-43.509060	-30.379314
4244.991158	-112.518997	-42.457043	-29.502632
4244.994565	-111.876099	-43.275272	-29.736416
4244.997890	-111.759216	-43.099941	-29.853306
4245.000763	-111.291641	-42.807713	-29.268852
4245.004046	-111.350082	-42.924603	-28.976624
4245.007387	-111.350082	-42.690823	-28.684399
4245.010295	-110.414963	-42.690823	-28.625954
4245.013616	-110.824081	-42.983051	-28.099945
4245.016957	-110.882523	-42.866161	-28.333725
4245.020286	-110.940964	-43.216831	-28.333725
4245.023624	-110.882523	-42.866161	-29.151962
4245.026964	-110.765640	-43.275272	-28.859734
4245.030285	-110.765640	-42.807713	-29.093517
4245.033619	-110.648743	-42.983051	-29.093517
4245.036956	-110.531860	-42.398602	-30.145531
4245.040288	-110.765640	-43.099941	-29.093517
4245.043621	-110.648743	-43.216831	-29.736416
4245.046948	-111.174744	-43.450611	-29.151962
4245.050284	-111.174744	-43.450611	-28.976624
4245.053619	-111.876099	-42.749271	-29.561077
4245.056951	-111.759216	-43.392162	-29.736416
4245.061166	-111.934540	-43.918179	-30.203976
4245.064504	-111.817642	-44.268848	-30.320869
4245.067804	-112.869675	-43.801289	-31.022213
4245.071160	-112.986557	-44.327290	-31.022213
4245.074049	-113.921692	-44.210400	-31.372883
4245.077370	-114.213913	-44.619518	-31.372883
4245.080284	-114.097031	-44.327290	-31.431328
4245.083618	-114.097031	-44.327290	-31.898891
4245.086952	-115.441269	-44.677959	-32.424900
4245.090285	-115.324371	-44.794857	-32.950909
4245.093619	-115.616592	-45.203976	-33.126244
4245.096995	-116.142609	-45.028645	-32.892464
4245.100281	-116.902405	-44.911747	-33.360023
4245.103615	-117.253067	-45.087086	-33.535362
4245.106984	-117.253067	-45.613094	-33.476917
4245.110279	-117.954407	-45.788425	-34.412041
4245.113630	-118.363541	-45.905315	-34.645824
4245.116944	-119.473999	-45.554646	-34.762714
4245.120283	-120.000000	-46.139103	-35.288719
4245.123614	-120.584457	-46.080654	-35.873177
4245.126952	-121.402695	-45.963764	-36.983639
4245.130275	-121.811813	-45.963764	-36.574524
4245.134476	-122.922272	-47.191113	-37.626537
4245.137828	-123.682053	-47.249561	-38.035656
4245.141205	-124.675629	-47.950909	-39.379898
4245.144060	-125.143188	-47.950909	-40.139687
