time (s)	det(V)
2686.554017	1.027462	
2686.555574	0.927467	
2686.557299	0.823154	
2686.558840	0.759084	
2686.560583	0.655685	
2686.562093	0.603542	
2686.563848	0.526645	
2686.565336	0.451928	
2686.567124	0.392120	
2686.568613	0.348972	
2686.570399	0.288213	
2686.571883	0.249763	
2686.573643	0.202954	
2686.575129	0.178421	
2686.576887	0.119149	
2686.578399	0.109090	
2686.580153	0.088195	
2686.581659	0.058192	
2686.583233	0.035509	
2686.584790	0.013300	
2686.586292	-0.004082	
2686.587956	-0.007800	
2686.589459	-0.030306	
2686.591092	-0.045706	
2686.592615	-0.046145	
2686.594297	-0.056772	
2686.595777	-0.072172	
2686.597513	-0.075270	
2686.598992	-0.073574	
2686.600718	-0.104391	
2686.602266	-0.088322	
2686.603946	-0.095077	
2686.605478	-0.109322	
2686.607223	-0.117076	
2686.608706	-0.108178	
2686.610483	-0.122148	
2686.611970	-0.124762	
2686.613757	-0.128831	
2686.615242	-0.130744	
2686.617021	-0.118051	
2686.618507	-0.127231	
2686.620294	-0.108190	
2686.621793	-0.128839	
2686.623555	-0.127711	
2686.625052	-0.136448	
2686.626799	-0.143127	
2686.628310	-0.149907	
2686.630042	-0.132392	
2686.631568	-0.150435	
2686.633314	-0.134885	
2686.634848	-0.138346	
2686.636559	-0.133439	
2686.638107	-0.146128	
2686.639787	-0.139010	
2686.641350	-0.151603	
2686.643039	-0.145947	
2686.644608	-0.155788	
2686.646293	-0.147969	
2686.647890	-0.161597	
2686.649565	-0.156445	
2686.651151	-0.152735	
2686.652777	-0.139075	
2686.654387	-0.162439	
2686.655920	-0.140686	
2686.657540	-0.148892	
2686.659034	-0.153355	
2686.660667	-0.129898	
2686.662156	-0.169601	
2686.663806	-0.143091	
2686.665289	-0.155671	
2686.666974	-0.140243	
2686.668457	-0.157629	
2686.670147	-0.141653	
2686.671660	-0.147538	
2686.673323	-0.147836	
2686.674860	-0.137153	
2686.676573	-0.131437	
2686.678130	-0.133193	
2686.679813	-0.140601	
2686.681372	-0.164683	
2686.683059	-0.132895	
2686.684643	-0.152835	
2686.686316	-0.135264	
2686.687903	-0.151168	
2686.689569	-0.136058	
