crossing time (s)	slope (V/s)	crossing number
3069.715251	-18.578058	4047
3070.748114	-19.132765	4048
3071.793393	-16.963583	4049
3072.824218	-16.732646	4050
3073.874765	-15.752367	4051
3074.927317	-16.656067	4052
3075.976167	-16.137884	4053
3077.015953	-17.130967	4054
3078.064242	-17.126996	4055
3079.085481	-17.474582	4056
3080.130511	-17.793445	4057
3081.187004	-17.109665	4058
3082.236897	-16.190424	4059
3083.276480	-15.991414	4060
3084.326636	-15.147580	4061
3085.385735	-15.921862	4062
3086.407399	-13.014744	4063
3087.469555	-14.073231	4064
3088.488218	-14.357142	4065
3089.555473	-15.424348	4066
3090.584019	-12.813058	4067
3091.631701	-13.170098	4068
3092.678540	-13.015008	4069
3093.719587	-12.977705	4070
3094.774485	-12.789080	4071
3095.827149	-12.663212	4072
3096.866603	-11.558717	4073
3097.896836	-13.070976	4074
3098.964578	-11.085548	4075
3100.009571	-11.714542	4076
3101.043300	-11.355251	4077
3102.075589	-11.240789	4078
3103.111909	-11.357215	4079
3104.154919	-11.210056	4080
3105.214257	-10.060223	4081
3106.256231	-10.533823	4082
3107.303946	-10.522387	4083
3108.341529	-10.199565	4084
3109.394939	-10.121933	4085
3110.425024	-10.079251	4086
3111.461309	-9.348307	4087
3112.514797	-9.709551	4088
3113.588402	-8.683536	4089
3114.599364	-9.250992	4090
3115.640669	-8.422267	4091
3116.702389	-8.392299	4092
3117.735143	-8.838937	4093
3118.763624	-8.769894	4094
3119.846420	-8.319093	4095
3120.870507	-9.211684	4096
3121.912694	-8.838612	4097
3122.966909	-8.259201	4098
3124.010754	-8.177935	4099
3125.062467	-7.460476	4100
3126.090887	-7.608569	4101
3127.135910	-7.607158	4102
3128.201145	-7.468313	4103
3129.239173	-6.648605	4104
3130.276580	-6.079327	4105
3131.302588	-7.206666	4106
3132.362713	-6.429890	4107
3133.417715	-6.603429	4108
3134.453285	-5.554812	4109
3135.491969	-5.947761	4110
3136.542488	-6.391394	4111
3137.595279	-7.557416	4112
3138.636072	-4.763913	4113
3139.654971	-6.029420	4114
3140.743541	-5.376948	4115
3141.752776	-4.125075	4116
3142.788090	-5.562866	4117
3143.867961	-5.915815	4118
3144.895564	-5.069721	4119
3145.943809	-5.461234	4120
3146.976005	-5.852926	4121
3148.038846	-5.529865	4122
3149.052824	-4.086499	4123
3150.127724	-5.046206	4124
3151.149162	-3.938209	4125
3152.189920	-3.323109	4126
3153.275931	-4.893689	4127
3154.293629	-4.290580	4128
3155.331815	-5.083361	4129
3156.393519	-3.018894	4130
3157.410125	-3.916901	4131
3158.461622	-4.014612	4132
3159.520126	-3.937883	4133
3160.560382	-3.968874	4134
3161.599197	-3.431441	4135
3162.650896	-3.840259	4136
3163.697527	-4.173355	4137
3164.721990	-2.906459	4138
3165.804699	-3.291829	4139
3166.812467	-4.153193	4140
3167.858868	-3.117102	4141
3168.918779	-3.319815	4142
3169.941916	-3.333684	4143
3171.023209	-2.676779	4144
3172.037601	-3.185500	4145
3173.097904	-2.612183	4146
3174.136292	-2.983450	4147
3175.188441	-2.467613	4148
3176.229527	-2.095349	4149
3177.260282	-3.318568	4150
3178.343105	-2.847846	4151
3179.331660	-2.076532	4152
