time (s)	det(V)
3070.034147	0.073655	
3070.035635	0.094828	
3070.037327	0.060667	
3070.038829	0.095895	
3070.040577	0.052313	
3070.042082	0.099944	
3070.043809	0.068837	
3070.045343	0.116274	
3070.047083	0.089269	
3070.048612	0.024135	
3070.050321	0.093273	
3070.051867	0.032791	
3070.053566	0.087025	
3070.055131	0.047438	
3070.056821	0.072885	
3070.058394	0.087005	
3070.060063	0.078396	
3070.061647	0.068076	
3070.063304	0.083492	
3070.064892	0.068370	
3070.066526	0.099629	
3070.068153	0.078360	
3070.069764	0.110840	
3070.071434	0.078251	
3070.073031	0.111561	
3070.074697	0.082094	
3070.076306	0.073594	
3070.077972	0.074275	
3070.079568	0.080769	
3070.081244	0.073179	
3070.082805	0.097603	
3070.084509	0.067725	
3070.086059	0.062545	
3070.087756	0.077558	
3070.089326	0.067097	
3070.091032	0.093587	
3070.092525	0.094038	
3070.094142	0.078126	
3070.095653	0.078481	
3070.097259	0.068104	
3070.098782	0.100262	
3070.100370	0.057449	
3070.101897	0.071161	
3070.103518	0.081409	
3070.105102	0.033255	
3070.106711	0.046149	
3070.108311	0.075600	
3070.109944	0.072970	
3070.111542	0.102502	
3070.113165	0.085583	
3070.114799	0.073498	
3070.116416	0.086807	
3070.118082	0.049537	
3070.119679	0.077401	
3070.121325	0.060849	
3070.122927	0.068700	
3070.124633	0.045602	
3070.126206	0.080334	
3070.127903	0.060651	
3070.129456	0.089470	
3070.131170	0.083939	
3070.132736	0.089212	
3070.134440	0.070919	
3070.136010	0.098123	
3070.137740	0.062964	
3070.139278	0.092193	
3070.141001	0.087641	
3070.142497	0.078561	
3070.144261	0.070899	
3070.145743	0.109370	
3070.147534	0.082372	
3070.149025	0.089099	
3070.150816	0.084700	
3070.152296	0.115074	
3070.154091	0.075423	
3070.155576	0.066444	
3070.157354	0.079601	
3070.158849	0.063350	
3070.160575	0.073437	
3070.162090	0.069018	
3070.163640	0.101019	
3070.165196	0.067999	
3070.166678	0.072442	
3070.168358	0.056027	
3070.169849	0.074827	
3070.171474	0.070770	
