crossing time (s)	slope (V/s)	crossing number
1732.576184	134.629789	628
1733.591309	124.952677	629
1734.674277	126.609306	630
1735.709269	123.780539	631
1736.754831	123.325269	632
1737.786556	121.207076	633
1738.849044	121.727460	634
1739.887349	119.867275	635
1740.931240	114.907715	636
1741.973703	115.186521	637
1743.012251	114.821025	638
1744.049690	108.155645	639
1745.122346	107.629807	640
1746.138590	106.416093	641
1747.202574	102.177392	642
1748.243502	98.368012	643
1749.308664	98.441867	644
1750.327619	93.624715	645
1751.388958	90.062242	646
1752.423480	91.129387	647
1753.476848	85.906663	648
1754.529579	84.962994	649
1755.569556	81.203297	650
1756.610822	79.912114	651
1757.643483	75.916070	652
1758.706152	75.173460	653
1759.748017	73.534659	654
1760.805832	69.556433	655
1761.838367	69.094099	656
1762.888791	65.446631	657
1763.920725	63.600622	658
1764.983752	61.822304	659
1766.005835	60.122191	660
1767.054374	56.871452	661
1768.108383	55.816282	662
1769.146672	54.542901	663
1770.200133	51.308642	664
1771.243774	50.097690	665
1772.291546	48.614261	666
1773.327516	45.908352	667
1774.388858	45.613229	668
1775.425441	43.413272	669
1776.466333	41.704377	670
1777.503442	39.711401	671
1778.552086	38.816056	672
1779.595509	36.414473	673
1780.657676	35.378131	674
1781.685061	33.803316	675
1782.725165	32.974313	676
1783.770477	30.742965	677
1784.829198	29.950087	678
1785.857450	28.623123	679
1786.921459	27.618938	680
1787.954998	25.861237	681
1789.017668	25.459290	682
1790.039878	23.444653	683
1791.078644	23.181572	684
1792.127801	21.536219	685
1793.170482	20.665899	686
1794.209249	19.744312	687
1795.268009	18.630164	688
1796.301169	17.688353	689
1797.341970	16.930152	690
1798.395821	15.725985	691
1799.440038	15.383248	692
1800.473985	14.354198	693
1801.521786	13.508990	694
1802.557366	12.813364	695
1803.610325	12.344057	696
1804.648029	11.533736	697
1805.711758	11.084617	698
1806.741833	10.445640	699
1807.790822	10.123228	700
1808.824573	9.260268	701
1809.873106	8.421039	702
1810.912576	7.925286	703
1811.952524	7.651433	704
1813.007378	6.985921	705
1814.037443	6.632215	706
1815.087650	6.466591	707
1816.127244	5.892108	708
1817.169737	5.265811	709
1818.226621	5.131680	710
1819.269262	4.890107	711
1820.305450	4.809434	712
1821.362763	4.350830	713
1822.381975	4.318984	714
1823.447384	3.653166	715
1824.444563	4.240912	716
1825.537796	3.143863	717
1826.538477	3.148851	718
1827.615278	2.920343	719
1828.608581	2.835850	720
1829.707214	2.245037	721
1830.705629	2.384580	722
1831.762414	2.452058	723
1832.773042	1.918251	724
1833.847973	1.485448	725
1834.868601	1.746315	726
1835.918173	1.971004	727
