time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
2451.374061	272.033783	2.797247	-0.010061	5
2453.462693	272.178009	2.745934	-0.014468	7
2455.453553	264.756165	2.025771	-0.100000	9
2457.538019	272.056763	2.256658	-0.088810	11
2459.624661	272.173584	2.184160	-0.100000	13
2461.714081	272.787689	2.096852	-0.100000	15
2463.805467	273.006104	2.023613	-0.100000	17
2465.894755	273.166229	1.967310	-0.100000	19
2467.981109	273.717773	1.933973	-0.100000	21
2470.070799	269.785522	1.921139	-0.100000	23
2472.168900	269.853760	1.863189	-0.100000	25
2474.248811	273.137756	1.766988	-0.100000	27
2476.348094	275.403839	1.789033	-0.100000	29
2478.428495	271.657776	1.699303	-0.100000	31
2480.513318	270.642700	1.636854	-0.100000	33
2482.602480	283.035675	1.553630	-0.100000	35
2484.693118	269.758453	1.515088	-0.100000	37
2486.791268	273.339600	1.463662	-0.100000	39
2488.872492	285.375427	1.415791	-0.100000	41
2490.963878	271.948639	1.337355	-0.100000	43
2493.045865	268.093414	1.345636	-0.100000	45
2495.145893	272.827209	1.292037	-0.100000	47
2497.231339	270.213959	1.185766	-0.100000	49
2499.311187	262.550079	1.175048	-0.100000	51
2501.396733	267.250397	1.141789	-0.100000	53
2503.487701	267.756775	1.121778	-0.100000	55
2505.581326	269.118958	1.091915	-0.100000	57
2507.675129	270.942505	1.041421	-0.100000	59
2509.767998	94.736702	1.009814	0.100000	61
