time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
4014.975995	35.690632	1.414321	0.100000	83
4017.063555	36.249378	1.399757	0.100000	85
4019.148077	37.476261	1.397927	0.100000	87
4021.226810	36.007717	1.357445	0.100000	89
4023.327949	39.073856	1.340874	0.100000	91
4025.402073	35.170868	1.312880	0.100000	93
4027.500482	38.034058	1.352663	0.095405	95
4029.590018	39.202690	1.259139	0.100000	97
4031.664196	35.549732	1.262657	0.100000	99
4033.764902	38.922108	1.291854	0.100000	101
4035.843330	36.486660	1.213769	0.100000	103
4037.942629	38.550053	1.237972	0.100000	105
4040.018026	37.665604	1.221352	0.100000	107
4042.100682	38.493927	1.193159	0.100000	109
4044.192859	39.374668	1.175774	0.100000	111
4046.281856	38.678688	1.149306	0.100000	113
4048.381873	35.254803	1.150017	0.100000	115
4050.457337	39.997349	1.152794	0.100000	117
4052.553863	36.731041	1.094466	0.100000	119
4054.633776	39.135513	1.132501	0.100000	121
4056.727112	37.552776	1.063944	0.100000	123
4058.813376	38.028709	1.103883	0.100000	125
4060.895907	40.285503	1.043481	0.100000	127
4062.996508	36.110924	1.042313	0.100000	129
4065.080010	37.142902	1.045303	0.100000	131
4067.163466	38.307404	1.019666	0.100000	133
4069.250780	38.398872	0.996671	0.100000	135
4071.348005	38.513607	0.980487	0.100000	137
4073.434750	39.045494	0.986732	0.100000	139
4075.504890	38.033882	0.964962	0.100000	141
4077.601709	38.722851	0.921366	0.100000	143
4079.695301	39.473644	0.949686	0.100000	145
4081.764313	37.569698	0.914423	0.100000	147
4083.869505	38.923828	0.883141	0.100000	149
4085.964385	39.223244	0.898597	0.100000	151
4088.037566	39.180691	0.883487	0.100000	153
4090.117288	39.933617	0.857450	0.100000	155
4092.203393	40.312412	0.841842	0.100000	157
4094.294784	40.482769	0.824982	0.100000	159
4096.391548	39.150581	0.812381	0.100000	161
4098.490352	36.905148	0.816616	0.100000	163
4100.564645	39.299446	0.816509	0.100000	165
4102.638469	42.170887	0.783249	0.100000	167
4104.742976	38.919044	0.760332	0.100000	169
4106.841354	37.230629	0.774203	0.100000	171
4108.913877	40.066624	0.762415	0.100000	173
4110.991687	41.878540	0.738423	0.100000	175
4113.078337	41.814129	0.722679	0.100000	177
4115.168225	41.400196	0.713670	0.100000	179
4117.255855	41.044380	0.704919	0.100000	181
4119.336604	40.818539	0.690643	0.100000	183
4121.430669	40.318787	0.675478	0.100000	185
4123.535215	39.966488	0.666864	0.100000	187
4125.629594	40.180634	0.671992	0.100000	189
4127.710620	40.138355	0.670745	0.100000	191
4129.774659	40.325806	0.640717	0.100000	193
4131.871661	40.278328	0.623578	0.100000	195
4133.978890	39.768993	0.620655	0.100000	197
4136.071729	39.367474	0.617398	0.100000	199
4138.159783	39.074146	0.610578	0.100000	201
