crossing time (s)	slope (V/s)	crossing number
3836.021389	36.154784	2479
3837.072987	37.320259	2480
3838.095347	38.670985	2481
3839.140433	34.075672	2482
3840.199428	35.571704	2483
3841.236518	35.615457	2484
3842.268966	34.750537	2485
3843.330817	33.179802	2486
3844.365179	34.404156	2487
3845.404334	32.775451	2488
3846.459697	32.027770	2489
3847.495410	32.395760	2490
3848.538579	32.709162	2491
3849.580807	30.337642	2492
3850.616007	30.345765	2493
3851.674492	30.978598	2494
3852.711859	29.759727	2495
3853.765598	28.563345	2496
3854.803836	28.648417	2497
3855.841040	28.566324	2498
3856.892270	27.312449	2499
3857.932891	26.481899	2500
3858.964573	27.834730	2501
3860.028781	26.291991	2502
3861.056246	25.269604	2503
3862.110260	26.398748	2504
3863.138915	25.190242	2505
3864.190534	23.993803	2506
3865.231007	24.644086	2507
3866.272279	23.421147	2508
3867.321479	23.704726	2509
3868.364219	22.852131	2510
3869.409052	22.984102	2511
3870.453026	22.123543	2512
3871.489858	21.600656	2513
3872.546995	21.055907	2514
3873.591719	21.052363	2515
3874.616527	20.079362	2516
3875.667980	19.942607	2517
3876.718589	19.300223	2518
3877.745624	19.700232	2519
3878.813419	18.833394	2520
3879.834583	18.991327	2521
3880.886872	18.287809	2522
3881.918552	18.029978	2523
3882.989395	17.811364	2524
3884.000913	17.316314	2525
3885.062468	17.135163	2526
3886.100396	16.600925	2527
3887.132389	16.436234	2528
3888.197819	16.239828	2529
3889.223533	15.462105	2530
3890.271111	15.135658	2531
3891.321246	15.072483	2532
3892.360772	15.607888	2533
3893.411361	14.033384	2534
3894.429349	14.427269	2535
3895.495740	14.010503	2536
3896.521447	13.814294	2537
3897.570702	13.231703	2538
3898.625758	13.116533	2539
3899.665544	12.757966	2540
3900.710167	12.409377	2541
3901.755534	11.951656	2542
3902.796043	11.975770	2543
3903.839251	11.227376	2544
3904.870653	11.283990	2545
3905.933680	10.928766	2546
3906.943419	11.073604	2547
3908.024574	10.760732	2548
3909.030995	10.777257	2549
3910.101747	10.207882	2550
3911.124406	10.183403	2551
3912.199974	9.370401	2552
3913.216365	9.436823	2553
3914.277559	9.610287	2554
3915.302028	8.888618	2555
3916.360927	9.094355	2556
3917.379431	8.911396	2557
3918.449705	8.888164	2558
3919.469615	8.428116	2559
3920.537803	7.910102	2560
3921.561616	8.122453	2561
3922.618882	8.336071	2562
3923.648418	7.632741	2563
3924.708246	7.638378	2564
3925.734878	7.668424	2565
3926.786722	6.868744	2566
3927.826534	7.023254	2567
3928.869800	6.958465	2568
3929.914588	6.741369	2569
3930.950015	6.679692	2570
3932.002693	6.601423	2571
3933.055847	5.971832	2572
3934.063355	5.831792	2573
3935.152385	5.550685	2574
3936.163295	6.078103	2575
3937.225131	5.843734	2576
