time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
7143.535709	214.479721	1.522634	0.052160	177
7145.627149	214.120148	1.477794	0.056117	179
7147.713469	216.344894	1.439720	0.063984	181
7149.811881	214.110168	1.406821	0.073098	183
7151.902488	215.220078	1.362895	0.074625	185
7153.989616	214.939423	1.337738	0.065721	187
7156.082492	216.176468	1.258851	0.085693	189
7158.169775	215.189835	1.211485	0.092817	191
7160.264688	215.530792	1.173888	0.093232	193
7162.358708	215.597946	1.156261	0.075632	195
7164.443274	215.022812	1.137226	0.057695	197
7166.528651	214.599518	1.081104	0.075617	199
7168.623930	214.992371	1.026352	0.093268	201
7170.719720	215.563049	0.989514	0.094493	203
7172.807812	215.021744	0.956336	0.092620	205
7174.893792	213.728653	0.947340	0.073960	207
7176.994928	216.281631	0.915652	0.073707	209
7179.076051	215.136078	0.888371	0.074914	211
7181.165998	215.741730	0.849456	0.076628	213
7183.260988	214.962524	0.815219	0.071390	215
7185.354871	214.627747	0.810341	0.082380	217
7187.442855	215.365662	0.751239	0.061919	219
7189.527852	217.305023	0.749342	0.079188	221
7191.623683	216.261795	0.740561	0.091501	223
7193.720171	214.953247	0.711324	0.088244	225
7195.812522	214.009857	0.672923	0.074997	227
7197.902774	214.405197	0.628736	0.058075	229
7199.985564	217.304672	0.608815	0.061243	231
7202.076574	216.374908	0.616359	0.079902	233
7204.175869	215.785690	0.561960	0.060455	235
7206.272315	217.537186	0.743821	0.055461	237
7208.715430	204.803040	2.099602	-0.085169	239
7210.808470	204.570099	2.082656	-0.073631	241
