time (s)	magX	magY	magZ
7143.837048	-127.773239	-89.563995	-42.009937
7143.840384	-126.253647	-88.336655	-40.782585
7143.843705	-124.149628	-87.109299	-39.321453
7143.847047	-122.630051	-86.057266	-37.977211
7143.850375	-120.467575	-85.414383	-36.106956
7143.853711	-118.655746	-84.187027	-35.814732
7143.857043	-116.960846	-82.959671	-33.301579
7143.860406	-115.441269	-82.375214	-33.067799
7143.863707	-114.213913	-81.381653	-31.606667
7143.867915	-110.648743	-79.394516	-30.087086
7143.871311	-108.836929	-78.342484	-28.918179
7143.874631	-107.726486	-76.998245	-27.690826
7143.877478	-106.265335	-76.063126	-26.989483
7143.880802	-104.570419	-75.654007	-25.762131
7143.884124	-103.284637	-74.192871	-24.827003
7143.887039	-102.174164	-73.316193	-23.774986
7143.890374	-100.771469	-72.614853	-23.365871
7143.893706	-99.602570	-71.329041	-22.255409
7143.897039	-98.901230	-70.452362	-22.021629
7143.900375	-97.556992	-69.751022	-20.092930
7143.903736	-96.154297	-68.815903	-20.326714
7143.907036	-95.160721	-67.997665	-19.216251
7143.910375	-94.167145	-66.887207	-18.222679
7143.913705	-93.290466	-65.952072	-18.339573
7143.917038	-91.887787	-65.776733	-17.346001
7143.920367	-91.361771	-65.250732	-16.936882
7143.923700	-89.549973	-64.257156	-15.651085
7143.927033	-89.199310	-63.964939	-15.767975
7143.930368	-88.731735	-62.737583	-15.241966
7143.933757	-87.212158	-62.679134	-14.365288
7143.937037	-86.803040	-61.977787	-13.079491
7143.941210	-85.049683	-60.282879	-12.495033
7143.944548	-84.465225	-59.815311	-12.962601
7143.947894	-83.880768	-59.932201	-12.553482
7143.950786	-82.828766	-59.581532	-12.027470
7143.954128	-82.010513	-58.763294	-11.852135
7143.957462	-81.952072	-58.529514	-11.150791
7143.960368	-80.315598	-58.120396	-10.917011
7143.963725	-80.140274	-58.763294	-11.384575
7143.967028	-79.731155	-58.120396	-10.390999
7143.970359	-79.380478	-57.302158	-10.683231
7143.973697	-78.737579	-56.951488	-10.157219
7143.977052	-77.393341	-56.893047	-9.689655
7143.980365	-77.685577	-56.776157	-9.689655
7143.983690	-76.925781	-56.659267	-9.455875
7143.987028	-76.808884	-56.425488	-9.806545
7143.990371	-75.990646	-56.133251	-9.222092
7143.993699	-76.107544	-56.367039	-9.455875
7143.997030	-75.289307	-56.308590	-9.514324
7144.000363	-74.704849	-55.490360	-8.637642
7144.003695	-74.821747	-55.548801	-7.760963
7144.007029	-74.412613	-55.139690	-8.871422
7144.010355	-74.237289	-55.198132	-8.403858
7144.014567	-73.243713	-54.438343	-7.819405
7144.017972	-73.711273	-54.321453	-7.527184
7144.020843	-73.360611	-54.204563	-7.644073
7144.024144	-72.776154	-53.736996	-6.416718
7144.027452	-73.009933	-54.087673	-7.351841
7144.030789	-72.659271	-53.970783	-6.884281
7144.033705	-72.074814	-53.444767	-6.650497
7144.037026	-71.548813	-53.094097	-6.299828
7144.040358	-72.074814	-53.503208	-7.059620
7144.043689	-71.665695	-52.977207	-7.234951
7144.047021	-71.841019	-52.860317	-6.533607
7144.050352	-71.373459	-52.801868	-6.475166
