time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
8527.896259	207.941422	-0.022288	0.100000	157
8529.937857	206.583542	-0.220297	0.100000	159
8532.028313	195.798981	-0.191972	-0.100000	161
8534.116138	238.289856	-0.297894	0.100000	163
8536.205710	209.219498	-0.013978	0.100000	165
8538.282997	240.867661	-0.279358	0.100000	167
8540.375732	240.365662	-0.276002	0.100000	169
8542.470197	237.558212	-0.310395	0.100000	171
8544.537367	236.784683	-0.318026	0.100000	173
8546.627840	241.498062	-0.272317	0.100000	175
8548.703704	243.270737	-0.259401	0.100000	177
8550.806078	242.369293	-0.266911	0.100000	179
8552.891790	208.574097	-0.022251	0.100000	181
