time (s)	det(V)
8527.984340	-0.529079	
8527.985909	-0.533401	
8527.987574	-0.544704	
8527.989168	-0.565124	
8527.990837	-0.582857	
8527.992430	-0.586526	
8527.994093	-0.571932	
8527.995691	-0.557341	
8527.997335	-0.568625	
8527.998969	-0.605105	
8528.000586	-0.607832	
8528.002254	-0.644015	
8528.003842	-0.622439	
8528.005484	-0.671778	
8528.007095	-0.653191	
8528.008742	-0.659850	
8528.010312	-0.648716	
8528.012021	-0.660567	
8528.013491	-0.621480	
8528.015137	-0.653167	
8528.016620	-0.709660	
8528.018254	-0.693221	
8528.019744	-0.692262	
8528.021350	-0.680910	
8528.022861	-0.711340	
8528.024502	-0.672793	
8528.026038	-0.715123	
8528.027655	-0.695819	
8528.029243	-0.699299	
8528.030811	-0.693724	
8528.032413	-0.706055	
8528.034053	-0.698723	
8528.035651	-0.715715	
8528.037276	-0.691138	
8528.038904	-0.726861	
8528.040526	-0.709471	
8528.042194	-0.743611	
8528.043767	-0.639491	
8528.045446	-0.700898	
8528.047009	-0.670702	
8528.048699	-0.696568	
8528.050271	-0.647970	
8528.051948	-0.702526	
8528.053502	-0.657365	
8528.055216	-0.678400	
8528.056753	-0.634544	
8528.058465	-0.625501	
8528.059950	-0.630822	
8528.061722	-0.619047	
8528.063205	-0.580065	
8528.064981	-0.623027	
8528.066460	-0.585616	
8528.068254	-0.574280	
8528.069741	-0.565507	
8528.071540	-0.585830	
8528.073015	-0.566578	
8528.074802	-0.517936	
8528.076294	-0.507096	
8528.078052	-0.520333	
8528.079557	-0.470781	
8528.081300	-0.489879	
8528.082828	-0.466652	
8528.084551	-0.452174	
8528.086073	-0.448166	
8528.087586	-0.405300	
8528.089220	-0.456815	
8528.090713	-0.411609	
8528.092340	-0.339981	
8528.093883	-0.363611	
8528.095546	-0.306014	
8528.097021	-0.251161	
8528.098748	-0.281518	
8528.100218	-0.260237	
8528.101930	-0.247471	
8528.103468	-0.219530	
8528.105176	-0.217375	
8528.106684	-0.200412	
8528.108425	-0.174925	
8528.109917	-0.110439	
8528.111713	-0.073967	
8528.113189	-0.088610	
8528.114971	-0.084267	
8528.116452	0.004815	
8528.118210	-0.016140	
8528.119688	0.019059	
8528.121457	0.036195	
8528.122949	0.076962	
8528.124696	0.085341	
8528.126214	0.151550	
8528.127946	0.116536	
8528.129463	0.180897	
8528.131175	0.181489	
8528.132712	0.204913	
8528.134412	0.241374	
8528.135970	0.256988	
8528.137658	0.276513	
8528.139217	0.279917	
8528.140896	0.330976	
8528.142469	0.378176	
8528.144136	0.374308	
8528.145726	0.433891	
8528.147363	0.425682	
8528.148975	0.486614	
8528.150593	0.470525	
8528.152221	0.465643	
8528.153828	0.510840	
8528.155495	0.525870	
8528.157095	0.531860	
8528.158743	0.601534	
8528.160228	0.584599	
8528.161878	0.624987	
8528.163367	0.616874	
8528.164992	0.647642	
8528.166497	0.661141	
8528.168199	0.659518	
8528.169683	0.680755	
8528.171351	0.682177	
8528.172863	0.701597	
8528.174513	0.754554	
8528.176048	0.741756	
8528.177762	0.774478	
8528.179304	0.779968	
8528.181001	0.778095	
8528.182578	0.787860	
8528.184255	0.816255	
8528.185825	0.801492	
8528.187484	0.847721	
8528.189081	0.821617	
8528.190725	0.848841	
8528.192329	0.880398	
8528.193951	0.894651	
8528.195579	0.926003	
8528.197185	0.919973	
8528.198848	0.875319	
8528.200447	0.908544	
8528.202090	0.894304	
8528.203694	0.943788	
8528.205381	0.885095	
8528.206940	0.926410	
8528.208638	0.908278	
8528.210180	0.919606	
8528.211898	0.920053	
8528.213457	0.935583	
8528.215162	0.960594	
8528.216697	0.928972	
8528.218440	0.918430	
