time (s)	magX	magY	magZ
8527.985284	326.054932	71.336060	376.634155
8527.988609	327.165405	69.056694	386.628265
8527.991953	328.334290	67.361771	397.908234
8527.995283	329.152527	65.316193	410.415527
8527.998618	330.321472	63.329048	422.279968
8528.002016	330.146118	60.523670	432.975464
8528.005279	330.438354	57.952072	444.080048
8528.008611	330.087646	54.679134	455.710663
8528.012792	328.451233	49.185272	479.322601
8528.016169	327.632935	46.321449	490.777924
8528.019485	326.522522	42.639393	503.168304
8528.022400	325.470520	39.541786	514.682007
8528.025704	323.366455	35.450615	525.494507
8528.029058	321.613098	31.476330	538.293945
8528.031943	318.866150	26.157803	549.690796
8528.035278	315.768555	21.774401	561.905884
8528.038619	312.495605	17.507889	573.068970
8528.041954	308.638214	12.656926	585.342529
8528.045277	305.423737	7.922853	597.148437
8528.048607	300.981873	2.019871	609.071289
8528.051946	295.780273	-3.415545	621.227905
8528.055276	290.753937	-9.376972	631.864990
8528.058608	284.850952	-14.987728	643.261841
8528.061941	278.246643	-21.241379	653.957397
8528.065286	272.635895	-27.027473	665.354126
8528.068609	264.921082	-34.040913	676.634155
8528.071944	257.147858	-40.353008	686.394531
8528.075276	248.965515	-46.606663	696.739380
8528.078604	240.432495	-52.918758	706.791992
8528.081945	231.431915	-59.873753	731.923462
8528.086141	212.203384	-73.959091	734.787354
8528.089534	202.384567	-80.621857	743.144897
8528.092384	191.513733	-87.518402	750.918091
8528.095728	179.532440	-95.525421	759.217407
8528.099036	167.434235	-102.538864	766.756836
8528.101974	155.978958	-109.376968	772.426025
8528.105272	143.530090	-116.974869	777.919922
8528.108615	131.022797	-123.520752	783.589111
8528.111940	118.398590	-130.826416	787.855713
8528.115268	105.131500	-137.722977	790.953247
8528.118597	91.747513	-144.151962	794.109253
8528.121932	78.363525	-151.106964	796.447144
8528.125266	64.511978	-157.769730	797.499146
8528.128607	51.069550	-164.374054	797.908203
8528.131933	37.744011	-170.861496	797.732910
8528.135265	24.184685	-176.589127	797.148437
8528.138597	11.151375	-182.784332	796.330200
8528.141936	-2.875511	-189.037979	794.343140
8528.145294	-15.675041	-194.824097	791.596191
8528.148599	-29.000587	-200.843948	788.966064
8528.151929	-41.215668	-206.630035	784.407349
8528.155270	-54.073647	-211.071884	780.199219
8528.159444	-78.971359	-220.715378	768.101196
8528.162781	-90.601990	-225.391006	761.087646
8528.165697	-102.174164	-229.949738	753.898926
8528.169018	-113.337234	-233.748688	747.119263
8528.172352	-124.967865	-238.424316	739.404419
8528.175263	-135.721802	-242.281708	730.053223
8528.178596	-145.891281	-245.905334	721.812378
8528.181932	-155.768555	-249.002930	711.526001
8528.185267	-165.528946	-251.983643	701.590332
8528.188621	-174.237305	-254.964355	691.303955
8528.191930	-183.471649	-257.594391	680.140869
8528.195287	-192.063126	-259.523102	669.445312
8528.198600	-200.420822	-261.217987	658.048462
8528.201926	-208.369370	-263.146698	646.651733
8528.205263	-215.850388	-264.140259	634.787231
8528.208593	-223.331375	-265.192291	622.572144
8528.211928	-229.877243	-266.127411	610.240234
8528.215256	-236.949142	-267.062531	597.499146
8528.218596	-243.319687	-266.887207	584.407349
8528.221929	-249.164230	-267.296326	571.490967
8528.225263	-253.839859	-266.594971	559.100464
8528.229463	-264.009338	-265.309174	533.910645
8528.232825	-268.158997	-264.549377	519.942139
8528.236204	-272.659241	-263.672699	507.960846
8528.239051	-275.873779	-261.627106	494.869049
8528.242379	-279.263611	-259.932190	482.478668
8528.245726	-281.952087	-258.178833	470.205170
8528.248584	-285.108093	-256.074799	457.288727
8528.251923	-286.803040	-254.321442	446.125702
8528.255258	-288.614868	-251.866730	433.092346
8528.258582	-290.075989	-249.879608	421.403290
8528.261918	-291.653992	-247.132690	409.363525
8528.265252	-292.530701	-245.087097	398.375824
