crossing time (s)	slope (V/s)	crossing number
5140.991267	-12.419732	5992
5142.029254	-12.264403	5993
5143.087631	-11.831314	5994
5144.141210	-12.296503	5995
5145.164860	-11.761011	5996
5146.195255	-11.557036	5997
5147.241473	-12.140191	5998
5148.308503	-11.555317	5999
5149.331374	-11.025383	6000
5150.389382	-11.696429	6001
5151.430065	-10.564526	6002
5152.436236	-11.815801	6003
5153.498030	-11.289558	6004
5154.552304	-11.273196	6005
5155.599400	-10.891804	6006
5156.638225	-11.110007	6007
5157.686008	-10.650717	6008
5158.723509	-10.615921	6009
5159.778357	-10.417591	6010
5160.795852	-11.393312	6011
5161.847209	-10.143887	6012
5162.905985	-10.311313	6013
5163.933116	-9.379730	6014
5165.000988	-10.089479	6015
5166.028903	-9.666931	6016
5167.076347	-10.451249	6017
5168.118190	-9.647595	6018
5169.155219	-8.938003	6019
5170.189359	-9.619628	6020
5171.238144	-9.690890	6021
5172.273656	-9.146034	6022
5173.337849	-10.024128	6023
5174.376708	-8.385513	6024
5175.417630	-8.938454	6025
5176.452860	-8.346917	6026
5177.476658	-8.358991	6027
5178.542096	-8.069800	6028
5179.589895	-8.139455	6029
5180.646506	-8.419380	6030
5181.667989	-8.120298	6031
5182.711069	-8.128681	6032
5183.754860	-8.496569	6033
5184.806697	-7.982738	6034
5185.826386	-8.111994	6035
5186.890736	-8.366120	6036
5187.916781	-8.204751	6037
5188.988612	-7.875642	6038
5190.018312	-7.308475	6039
5191.064551	-7.015044	6040
5192.099742	-6.939747	6041
5193.148108	-7.210145	6042
5194.172170	-8.005949	6043
5195.234657	-7.050746	6044
5196.263838	-6.884078	6045
5197.319730	-7.183758	6046
5198.347387	-6.362766	6047
5199.418661	-6.666865	6048
5200.434555	-5.960180	6049
5201.479959	-6.133882	6050
5202.523034	-6.301844	6051
5203.570168	-7.324096	6052
5204.629618	-7.862879	6053
5205.672475	-6.510930	6054
5206.703418	-5.862870	6055
5207.745499	-6.411319	6056
5208.797556	-6.690626	6057
5209.830988	-6.925965	6058
5210.877870	-5.797367	6059
5211.917230	-5.829205	6060
5212.959134	-5.967368	6061
5213.985229	-4.527655	6062
5215.047693	-5.422298	6063
5216.088239	-5.112225	6064
5217.129231	-6.325761	6065
5218.177258	-6.552246	6066
5219.231605	-5.850038	6067
5220.259074	-4.908319	6068
5221.299134	-5.619490	6069
5222.344423	-5.493282	6070
5223.386621	-6.130416	6071
5224.432117	-5.560215	6072
5225.469482	-5.406995	6073
5226.510458	-5.417503	6074
5227.568903	-4.483086	6075
5228.605344	-6.024404	6076
5229.626211	-4.861711	6077
5230.695361	-5.338097	6078
5231.728590	-5.195364	6079
5232.780297	-4.632214	6080
5233.800777	-4.341126	6081
5234.857132	-4.098203	6082
5235.891508	-4.540148	6083
5236.938651	-4.186998	6084
5237.998911	-4.144910	6085
5239.037807	-5.291109	6086
5240.078067	-5.150147	6087
5241.119960	-4.715797	6088
5242.154922	-4.528890	6089
5243.213306	-5.280161	6090
5244.234731	-5.122776	6091
5245.293194	-4.004794	6092
5246.339901	-4.344296	6093
5247.367895	-4.491700	6094
5248.412578	-4.319827	6095
5249.476966	-3.960740	6096
5250.503481	-4.031449	6097
5251.547515	-3.471969	6098
5252.598088	-4.811566	6099
5253.634457	-2.875036	6100
5254.675774	-3.605305	6101
5255.703665	-3.043135	6102
5256.774049	-3.663503	6103
5257.801031	-3.038988	6104
5258.855401	-3.647324	6105
5259.895832	-2.789083	6106
5260.946593	-3.219976	6107
5261.982676	-2.576538	6108
5263.018228	-3.618034	6109
5264.069164	-4.003587	6110
5265.114764	-3.488987	6111
5266.158471	-3.615334	6112
5267.189129	-2.850401	6113
5268.227742	-3.586900	6114
5269.280109	-3.600971	6115
5270.329221	-3.935217	6116
5271.367773	-3.975170	6117
5272.417407	-2.701531	6118
5273.443355	-2.879067	6119
5274.506658	-2.660355	6120
5275.824150	-13.669057	6121
5276.880909	-12.283578	6122
