time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
2730.535841	269.689117	2.663613	0.100000	255
2732.624241	269.838654	2.625845	0.100000	1
2734.714659	273.359955	2.585838	0.100000	3
2736.803609	269.965210	2.538087	0.100000	5
2738.893842	269.827484	2.503042	0.100000	7
2740.984108	269.864868	2.453451	0.100000	9
2743.073959	267.152679	2.394699	0.100000	11
2745.164571	267.739746	2.355824	0.100000	13
2747.254065	274.347595	2.256843	0.100000	15
2749.343726	274.928619	2.232625	0.100000	17
2751.433294	100.225998	1.989455	-0.100000	19
2753.521813	288.088196	2.208086	0.100000	21
2755.611261	93.590378	1.706379	-0.100000	23
2757.699897	94.417824	1.707507	-0.100000	25
2759.788736	289.510498	1.992263	0.100000	27
2761.876786	85.564125	2.186950	-0.100000	29
2763.964736	279.931122	1.984293	0.100000	31
2766.053060	282.462189	1.916006	0.100000	33
2768.141116	269.755585	1.972964	0.091115	35
2770.229896	277.809662	1.857042	0.100000	37
2772.317490	294.853851	1.771828	0.100000	39
2774.405445	248.636444	1.707726	0.100000	41
2776.493363	270.159241	1.821581	0.100000	43
2778.581416	289.394287	1.653769	0.100000	45
2780.668883	286.166656	1.625507	0.100000	47
2782.756533	294.339783	1.571109	0.100000	49
2784.844196	270.648834	1.677474	0.100000	51
2786.931070	271.372192	1.643604	0.100000	53
2789.018219	283.522064	1.478136	0.100000	55
2791.105213	292.451630	1.423169	0.100000	57
2793.191387	285.641632	1.398193	0.100000	59
2795.277936	284.539764	1.371471	0.100000	61
2797.364089	271.877533	1.461626	0.074171	63
2799.450568	272.111755	1.428176	0.072326	65
2801.537361	272.188568	1.395374	0.070978	67
2803.623581	270.563690	1.318437	0.100000	69
2805.710134	272.368591	1.326387	0.068041	71
2807.796989	272.432922	1.292519	0.066533	73
2809.883348	271.770111	1.253509	0.100000	75
2811.970231	272.431000	1.224121	0.063130	77
2814.058181	270.322144	1.185429	0.100000	79
2816.144329	272.438141	1.159541	0.059981	81
2818.232423	283.452820	1.229389	0.100000	83
2820.320097	268.374695	1.204490	0.100000	85
2822.408975	272.431946	1.067618	0.055017	87
2824.495815	272.470947	1.038378	0.053491	89
2826.585220	92.246948	-1.004057	-0.100000	91
2828.674277	92.008148	-0.981298	-0.100000	93
2830.762618	92.632904	-0.955660	-0.049326	95
2832.851970	92.579758	-0.929049	-0.048152	97
2834.940724	92.546150	-0.902779	-0.046531	99
2837.030929	92.490021	-0.878182	-0.044959	101
2839.117687	92.466339	-0.853434	-0.043794	103
2841.207587	92.428505	-0.828986	-0.042380	105
2843.295744	92.400375	-0.804899	-0.041115	107
2845.384553	92.316589	-0.780635	-0.039457	109
2847.471688	92.333992	-0.757039	-0.038185	111
2849.561896	92.311546	-0.734925	-0.036662	113
2851.650193	92.251244	-0.711122	-0.035087	115
2853.737466	92.273941	-0.689077	-0.033723	117
2855.826172	92.250923	-0.668334	-0.032238	119
2857.918574	92.248795	-0.647477	-0.030859	121
2860.001473	92.283081	-0.627168	-0.029473	123
2862.092589	92.264076	-0.607107	-0.028116	125
2864.180967	92.314674	-0.586841	-0.026806	127
2866.269011	92.377975	-0.567918	-0.025596	129
2868.359871	92.394409	-0.549741	-0.024352	131
2870.448236	92.468430	-0.531520	-0.023543	133
2872.536773	92.476334	-0.513615	-0.021885	135
2874.629590	92.645454	-0.495571	-0.020812	137
2876.722408	92.710228	-0.479087	-0.019869	139
2878.805324	92.695221	-0.462676	-0.018628	141
2880.895278	92.900757	-0.443880	-0.017963	143
2882.983904	93.058220	-0.426264	-0.017226	145
2885.081612	93.165581	-0.410237	-0.016605	147
