time (s)	magX	magY	magZ
6745.436890	308.813538	134.690811	-297.474579
6745.440218	306.125061	133.054352	-284.675049
6745.443556	302.442993	131.534775	-271.875519
6745.446891	298.702515	130.599655	-259.309753
6745.450222	294.962006	129.430740	-247.386902
6745.453551	290.286377	127.502045	-236.749863
6745.456887	285.669189	126.040909	-225.177673
6745.460214	281.168915	124.053772	-214.832855
6745.463551	277.077728	122.241959	-204.663361
6745.466885	272.460571	120.371719	-195.604340
6745.471166	262.291077	115.696075	-176.551147
6745.474438	257.615417	113.942719	-168.310364
6745.477748	252.998245	112.189362	-160.361786
6745.480647	248.264175	109.559326	-152.471649
6745.483974	242.478088	107.513733	-145.049103
6745.487306	237.685562	105.585037	-137.626541
6745.490214	232.893051	103.013443	-130.320862
6745.493554	228.217407	100.792526	-123.658096
6745.496886	223.600235	98.746933	-117.696671
6745.500213	218.924606	96.701340	-111.735245
6745.503546	214.132080	94.597321	-106.066040
6745.506882	209.807129	92.551727	-101.215088
6745.510215	204.722382	90.623024	-96.013443
6745.513565	200.689651	88.752777	-91.396263
6745.516952	196.656937	86.414963	-87.071304
6745.520226	191.805969	84.895386	-82.161896
6745.523544	187.481018	82.791351	-78.421394
6745.526878	183.331390	81.154877	-74.856224
6745.530214	179.298645	79.401520	-70.531273
6745.533548	175.558151	77.589706	-67.082993
6745.536875	171.525421	76.245468	-62.524258
6745.540213	167.843369	74.550552	-59.543545
6745.544395	161.063705	71.160721	-52.413212
6745.547749	157.790771	70.225601	-50.484512
6745.551098	154.108704	69.115143	-46.744011
6745.553999	150.660431	67.186440	-44.990654
6745.557361	147.270599	65.959091	-42.594391
6745.560654	144.465225	64.556396	-40.373466
6745.563560	141.426071	63.445938	-38.152546
6745.566871	138.503799	61.517242	-36.165405
6745.570207	135.698425	60.231445	-34.879604
6745.573540	132.776154	59.471653	-32.132675
6745.576880	129.912323	58.594971	-30.963768
6745.580204	126.873169	56.900059	-28.801289
6745.583544	124.535355	56.257156	-27.573936
6745.586875	122.665108	55.088253	-26.054356
6745.590208	119.976624	54.153130	-23.774986
6745.593544	117.463470	52.867329	-22.196964
6745.596875	115.359436	51.873756	-21.495621
6745.600204	112.729401	51.289307	-19.742260
