time (s)	det(V)
1106.454131	0.097490	
1106.455768	0.087081	
1106.457382	0.098240	
1106.459045	0.081740	
1106.460654	0.097752	
1106.462299	0.075041	
1106.463908	0.098610	
1106.465585	0.086598	
1106.467162	0.099956	
1106.468857	0.072563	
1106.470419	0.107944	
1106.472122	0.093216	
1106.473684	0.105789	
1106.475383	0.088233	
1106.476935	0.096757	
1106.478672	0.071419	
1106.480202	0.094501	
1106.481954	0.089518	
1106.483430	0.088483	
1106.485073	0.102530	
1106.486555	0.093865	
1106.488173	0.092229	
1106.489701	0.083653	
1106.491266	0.089736	
1106.492838	0.095762	
1106.494440	0.099001	
1106.496027	0.088398	
1106.497607	0.100205	
1106.499232	0.083101	
1106.500796	0.086880	
1106.502410	0.096407	
1106.504035	0.098860	
1106.505673	0.094602	
1106.507265	0.102594	
1106.508933	0.090167	
1106.510516	0.098135	
1106.512213	0.087093	
1106.513783	0.109785	
1106.515483	0.098280	
1106.517059	0.110925	
1106.518732	0.093204	
1106.520298	0.113535	
1106.522015	0.101184	
1106.523551	0.117568	
1106.525277	0.093631	
1106.526787	0.092068	
1106.528543	0.091259	
1106.530023	0.086549	
1106.531787	0.087210	
1106.533280	0.110035	
1106.535078	0.090594	
1106.536554	0.113354	
1106.538340	0.092536	
1106.539827	0.101648	
1106.541609	0.096620	
1106.543094	0.104653	
1106.544832	0.099698	
1106.546339	0.105430	
1106.548066	0.103029	
1106.549616	0.077043	
1106.551355	0.120404	
1106.552885	0.101768	
1106.554426	0.102204	
1106.556059	0.111706	
1106.557551	0.096298	
1106.559165	0.098006	
1106.560698	0.091170	
1106.562353	0.109394	
1106.563827	0.111074	
1106.565554	0.104629	
1106.567032	0.119042	
1106.568763	0.103049	
1106.570241	0.104814	
1106.571943	0.099702	
1106.573457	0.120609	
1106.575203	0.112903	
1106.576692	0.111561	
1106.578485	0.114824	
1106.579963	0.115864	
1106.581752	0.117829	
1106.583245	0.115441	
1106.585019	0.109934	
1106.586500	0.106848	
1106.588251	0.106018	
1106.589753	0.103984	
1106.591506	0.121878	
1106.593017	0.094199	
1106.594759	0.111070	
1106.596276	0.114454	
1106.597980	0.112951	
1106.599521	0.100109	
1106.601230	0.116705	
1106.602796	0.097660	
1106.604471	0.115388	
1106.606042	0.090255	
1106.607709	0.108576	
1106.609289	0.108202	
1106.610938	0.093353	
1106.612523	0.086799	
1106.614190	0.094268	
1106.615810	0.079246	
1106.617437	0.089736	
1106.619065	0.087178	
1106.620696	0.081885	
1106.622338	0.065364	
1106.623939	0.081530	
1106.625587	0.069123	
1106.627084	0.059809	
1106.628733	0.054758	
1106.630216	0.035531	
1106.631865	0.021182	
1106.633348	0.019325	
1106.635000	0.030572	
1106.636475	0.025122	
1106.638156	0.022008	
1106.639665	0.000041	
1106.641313	0.003518	
1106.642846	-0.016060	
1106.644465	-0.017031	
1106.646049	-0.045430	
1106.647729	-0.021357	
1106.649316	-0.063107	
1106.650996	-0.067006	
1106.652575	-0.087591	
1106.654228	-0.092755	
1106.655807	-0.124708	
1106.657444	-0.132184	
1106.659065	-0.170123	
1106.660669	-0.172689	
1106.662347	-0.214016	
1106.663944	-0.227357	
1106.665615	-0.265848	
1106.667204	-0.284092	
1106.668874	-0.330358	
1106.670468	-0.352006	
1106.672168	-0.398771	
1106.673728	-0.435815	
1106.675447	-0.482564	
1106.676985	-0.536289	
1106.678672	-0.603933	
1106.680231	-0.641118	
1106.681923	-0.702965	
1106.683434	-0.775499	
1106.685198	-0.828250	
1106.686683	-0.910093	
1106.688456	-0.978796	
1106.689941	-1.064410	
1106.691719	-1.134817	
1106.693195	-1.217724	
1106.694958	-1.320958	
1106.696443	-1.409541	
1106.698218	-1.494824	
1106.699724	-1.527973	
1106.701314	-1.528126	
1106.702841	-1.528179	
1106.704345	-1.528267	
1106.705994	-1.528122	
1106.707495	-1.527989	
1106.709130	-1.528360	
1106.710656	-1.528340	
1106.712313	-1.528432	
1106.713802	-1.528444	
1106.715538	-1.528557	
1106.717018	-1.528533	
1106.718755	-1.528432	
1106.720295	-1.528440	
1106.722008	-1.528589	
1106.723569	-1.528392	
1106.725288	-1.528444	
1106.726832	-1.528573	
1106.728580	-1.528549	
1106.730084	-1.528533	
1106.731845	-1.528485	
1106.733326	-1.528525	
1106.735128	-1.528597	
1106.736614	-1.528453	
1106.738402	-1.528517	
1106.739893	-1.528521	
1106.741671	-1.528553	
1106.743146	-1.528432	
1106.744934	-1.528493	
1106.746432	-1.528452	
1106.748183	-1.528396	
1106.749698	-1.528440	
1106.751425	-1.528360	
1106.752944	-1.528416	
1106.754696	-1.528267	
1106.756227	-1.528392	
1106.757943	-1.528183	
1106.759488	-1.528142	
1106.761183	-1.518817	
1106.762740	-1.519586	
1106.764432	-1.374559	
1106.765996	-1.267478	
1106.767659	-1.117777	
1106.769240	-1.009657	
1106.770901	-0.890302	
1106.772502	-0.792350	
1106.774014	-0.661401	
1106.775675	-0.553833	
1106.777168	-0.428117	
1106.778809	-0.304895	
1106.780300	-0.217448	
1106.781952	-0.074692	
1106.783434	0.037295	
1106.785160	0.179741	
1106.786645	0.290060	
1106.788359	0.417698	
1106.789840	0.534467	
1106.791539	0.652718	
1106.793043	0.781169	
1106.794785	0.893966	
1106.796301	1.018385	
1106.798023	1.156198	
1106.799562	1.276254	
1106.801283	1.397715	
1106.802827	1.496558	
1106.804541	1.643056	
1106.806096	1.716017	
1106.807783	1.726809	
1106.809346	1.726994	
1106.811016	1.726978	
1106.812591	1.727059	
1106.814242	1.726990	
1106.815820	1.726922	
1106.817462	1.727107	
1106.819059	1.727010	
1106.820693	1.727204	
1106.822350	1.727018	
1106.823943	1.727155	
1106.825606	1.727111	
1106.827203	1.727135	
1106.828885	1.727107	
1106.830475	1.727135	
1106.832154	1.727156	
1106.833733	1.727188	
1106.835425	1.727103	
1106.836969	1.727183	
1106.838678	1.727031	
1106.840227	1.727139	
1106.841936	1.727180	
1106.843453	1.727143	
1106.845180	1.727071	
1106.846677	1.727091	
1106.848318	1.725846	
1106.849824	1.727067	
1106.851433	1.727127	
1106.852958	1.727046	
1106.854528	1.727200	
1106.856099	1.726894	
1106.857711	1.727059	
1106.859290	1.727018	
1106.860861	1.726962	
1106.862459	1.726962	
1106.864002	1.727030	
1106.865671	1.726748	
1106.867256	1.727107	
1106.868922	1.724976	
1106.870505	1.679400	
1106.872178	1.578905	
1106.873771	1.495293	
1106.875463	1.402026	
1106.877028	1.324396	
1106.878741	1.233215	
1106.880284	1.171429	
1106.881994	1.067264	
1106.883521	1.024983	
1106.885241	0.953766	
1106.886745	0.905112	
1106.888505	0.825529	
1106.889998	0.779135	
1106.891794	0.744797	
1106.893269	0.675353	
1106.895059	0.650115	
1106.896540	0.604068	
1106.898328	0.537516	
1106.899811	0.516271	
1106.901579	0.490199	
1106.903066	0.456684	
1106.904835	0.421947	
1106.906340	0.393403	
1106.908111	0.377874	
1106.909633	0.344084	
1106.911364	0.321731	
1106.912890	0.300393	
1106.914630	0.285262	
1106.916166	0.261757	
1106.917863	0.239867	
1106.919451	0.221027	
1106.920945	0.209462	
1106.922602	0.181694	
1106.924098	0.178560	
