time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
451.040790	189.369827	-0.206307	-0.100000	217
451.928356	198.451706	-0.254557	-0.100000	219
452.755688	201.525726	0.228849	0.100000	221
454.007270	35.260609	-0.035369	0.100000	223
454.799142	28.852409	-0.245808	-0.100000	225
455.973584	7.701952	-0.119308	0.100000	227
457.345358	94.167488	-0.230509	-0.100000	229
458.665169	173.208466	0.058311	0.100000	231
460.220873	143.510178	0.222422	-0.100000	233
461.549143	90.339256	-0.093275	-0.100000	235
462.967652	180.813873	0.039493	0.100000	237
464.277999	234.472595	-0.203141	-0.100000	239
465.763255	133.646042	-0.309152	-0.100000	241
466.831468	34.781006	0.164367	-0.100000	243
470.151403	108.062569	1.247113	0.100000	245
