time (s)	det(V)
1871.353616	0.076225	
1871.355372	0.090501	
1871.356859	0.081985	
1871.358630	0.076136	
1871.360125	0.068579	
1871.361913	0.091162	
1871.363394	0.070110	
1871.365185	0.094038	
1871.366665	0.074827	
1871.368436	0.081881	
1871.369942	0.082855	
1871.371517	0.090260	
1871.373059	0.081268	
1871.374578	0.090997	
1871.376196	0.082590	
1871.377687	0.077510	
1871.379346	0.084958	
1871.380901	0.086336	
1871.382565	0.071330	
1871.384058	0.065284	
1871.385750	0.081288	
1871.387247	0.077047	
1871.388983	0.061804	
1871.390529	0.080733	
1871.392226	0.077897	
1871.393780	0.077506	
1871.395496	0.094203	
1871.397031	0.078098	
1871.398768	0.099227	
1871.400285	0.086848	
1871.402045	0.081832	
1871.403523	0.100350	
1871.405287	0.073482	
1871.406770	0.076696	
1871.408553	0.077357	
1871.410030	0.083101	
1871.411777	0.080028	
1871.413276	0.074235	
1871.415034	0.089128	
1871.416548	0.071967	
1871.418287	0.084471	
1871.419809	0.073280	
1871.421534	0.082775	
1871.423066	0.075596	
1871.424778	0.092229	
1871.426317	0.074170	
1871.428012	0.083689	
1871.429574	0.082046	
1871.431256	0.088124	
1871.432825	0.083004	
1871.434505	0.092225	
1871.436089	0.077848	
1871.437743	0.095533	
1871.439333	0.071866	
1871.440851	0.080302	
1871.442503	0.078964	
1871.443982	0.069679	
1871.445639	0.084249	
1871.447116	0.079701	
1871.448748	0.082356	
1871.450249	0.080765	
1871.451942	0.072047	
1871.453435	0.078046	
1871.455139	0.074440	
1871.456626	0.086441	
1871.458310	0.089559	
1871.459838	0.074275	
1871.461594	0.087452	
1871.463119	0.080410	
1871.464817	0.084600	
1871.466355	0.077659	
1871.468060	0.098393	
1871.469602	0.094050	
1871.471293	0.089663	
1871.472865	0.063943	
1871.474557	0.086622	
1871.476133	0.079351	
1871.477798	0.094517	
1871.479390	0.079335	
1871.481049	0.090896	
1871.482656	0.068619	
1871.484287	0.085724	
1871.485904	0.060067	
1871.487513	0.093095	
1871.489195	0.081441	
1871.490807	0.087706	
1871.492473	0.071101	
1871.494092	0.083375	
1871.495760	0.096286	
1871.497342	0.083709	
1871.499036	0.085542	
1871.500604	0.088451	
1871.502316	0.072926	
1871.503880	0.080958	
1871.505572	0.073187	
1871.507125	0.095098	
1871.508835	0.086557	
1871.510381	0.087959	
1871.512111	0.083452	
1871.513599	0.071870	
1871.515240	0.087025	
1871.516716	0.086461	
1871.518340	0.079250	
1871.519883	0.068833	
1871.521438	0.087754	
1871.523007	0.059757	
1871.524616	0.076120	
1871.526192	0.078879	
1871.527785	0.086670	
1871.529390	0.078380	
1871.530945	0.079786	
1871.532563	0.057239	
1871.534190	0.095424	
1871.535823	0.091762	
1871.537439	0.102771	
1871.539114	0.069836	
1871.540690	0.093603	
1871.542382	0.075673	
1871.543949	0.099319	
1871.545644	0.082896	
1871.547221	0.101144	
1871.548913	0.084978	
1871.550451	0.096113	
1871.552160	0.072543	
1871.553690	0.081558	
1871.555427	0.075439	
1871.556912	0.090320	
1871.558695	0.087839	
1871.560181	0.084616	
1871.561952	0.085780	
1871.563440	0.080942	
1871.565207	0.096987	
1871.566697	0.086674	
1871.568505	0.102163	
1871.569990	0.085969	
1871.571745	0.091331	
1871.573248	0.085063	
1871.574986	0.097321	
1871.576500	0.075089	
1871.578234	0.095456	
1871.579774	0.100157	
1871.581507	0.079447	
1871.583037	0.097087	
1871.584760	0.103678	
1871.586300	0.088979	
1871.587797	0.086956	
1871.589464	0.086602	
1871.590947	0.099146	
1871.592591	0.087210	
1871.594116	0.092668	
1871.595769	0.078408	
1871.597248	0.080805	
1871.598974	0.054480	
1871.600451	0.093321	
1871.602169	0.087504	
1871.603645	0.103239	
1871.605367	0.084938	
1871.606859	0.091867	
1871.608630	0.100491	
1871.610110	0.092552	
1871.611898	0.101857	
1871.613382	0.084725	
1871.615164	0.074424	
1871.616641	0.092523	
1871.618397	0.086223	
1871.619896	0.105603	
1871.621637	0.101982	
1871.623151	0.101309	
1871.624894	0.096153	
1871.626425	0.076511	
1871.628152	0.092411	
1871.629686	0.086050	
1871.631390	0.096209	
1871.632943	0.100226	
1871.634629	0.113930	
1871.636201	0.111912	
1871.637894	0.113692	
1871.639460	0.103730	
1871.641119	0.112343	
1871.642693	0.087407	
1871.644344	0.104931	
1871.645952	0.085724	
1871.647571	0.106844	
1871.649190	0.076301	
1871.650786	0.110744	
1871.652446	0.084580	
1871.654047	0.124831	
1871.655698	0.097414	
1871.657186	0.096842	
1871.658753	0.112302	
1871.660254	0.104181	
1871.661884	0.100334	
1871.663388	0.090715	
1871.665007	0.109007	
1871.666509	0.105571	
1871.668082	0.116508	
1871.669628	0.102618	
1871.671246	0.113507	
1871.672820	0.099561	
1871.674402	0.103609	
1871.676003	0.109922	
1871.677655	0.121922	
1871.679264	0.108891	
1871.680888	0.118486	
1871.682531	0.108822	
1871.684132	0.119924	
1871.685783	0.108915	
1871.687364	0.127018	
1871.689028	0.114184	
1871.690628	0.118232	
1871.692325	0.115936	
1871.693883	0.109257	
1871.695596	0.122313	
1871.697151	0.118458	
1871.698847	0.101301	
1871.700400	0.118329	
1871.702110	0.106558	
1871.703652	0.108383	
1871.705392	0.107412	
1871.706884	0.118720	
1871.708665	0.098199	
1871.710153	0.119219	
1871.711940	0.100330	
1871.713424	0.110325	
1871.715207	0.098018	
1871.716694	0.088040	
1871.718504	0.090215	
1871.719982	0.079113	
1871.721762	0.091202	
1871.723263	0.074557	
1871.725005	0.073594	
1871.726510	0.056744	
1871.728239	0.060680	
1871.729767	0.043152	
1871.731305	0.044321	
1871.732906	0.012767	
1871.734399	0.032562	
1871.736058	0.008698	
1871.737571	0.007349	
1871.739200	-0.000060	
1871.740702	-0.016886	
1871.742372	-0.035339	
1871.743864	-0.046824	
1871.745578	-0.077641	
1871.747064	-0.089347	
1871.748798	-0.108743	
1871.750327	-0.131459	
1871.752074	-0.152318	
1871.753574	-0.184367	
1871.755348	-0.205762	
1871.756832	-0.249980	
1871.758601	-0.288258	
1871.760091	-0.320440	
1871.761883	-0.370673	
1871.763364	-0.396805	
1871.765150	-0.467921	
1871.766630	-0.509747	
1871.768388	-0.566369	
1871.769887	-0.655060	
1871.771639	-0.716005	
1871.773164	-0.790134	
1871.774918	-0.886169	
1871.776445	-0.995324	
1871.778177	-1.066368	
1871.779707	-1.158786	
1871.781411	-1.278294	
1871.782950	-1.403502	
1871.784648	-1.480080	
1871.786200	-1.527748	
1871.787856	-1.528235	
1871.789448	-1.528356	
1871.791113	-1.528215	
1871.792717	-1.528404	
1871.794370	-1.528332	
1871.795974	-1.528509	
1871.797606	-1.528404	
1871.799216	-1.528513	
1871.800818	-1.528364	
1871.802494	-1.528448	
1871.803976	-1.528481	
1871.805603	-1.528481	
1871.807082	-1.528509	
1871.808728	-1.528509	
1871.810219	-1.528561	
1871.811848	-1.528501	
1871.813350	-1.528537	
1871.815035	-1.528465	
1871.816540	-1.528545	
1871.818210	-1.528521	
1871.819726	-1.528489	
1871.821368	-1.528420	
1871.822913	-1.528497	
1871.824613	-1.528340	
1871.826167	-1.528521	
1871.827838	-1.528332	
1871.829415	-1.528509	
1871.831063	-1.528307	
1871.832667	-1.528368	
1871.834319	-1.528030	
1871.835918	-1.528267	
1871.837546	-1.467657	
1871.839172	-1.329055	
1871.840788	-1.140940	
1871.842465	-0.980146	
1871.844038	-0.796120	
1871.845715	-0.629005	
1871.847285	-0.449511	
1871.848977	-0.271331	
1871.850560	-0.097339	
1871.852258	0.081852	
1871.853825	0.264823	
1871.855536	0.452929	
1871.857079	0.622517	
1871.858784	0.790426	
1871.860292	0.974178	
1871.862059	1.167614	
1871.863563	1.336811	
1871.865310	1.509952	
1871.866804	1.671722	
1871.868585	1.726716	
1871.870068	1.726974	
1871.871862	1.726978	
1871.873343	1.727039	
1871.875114	1.727055	
1871.876606	1.727047	
1871.878187	1.727071	
1871.879747	1.727018	
1871.881292	1.727103	
1871.882893	1.727059	
1871.884384	1.727228	
1871.886029	1.727059	
1871.887586	1.727127	
1871.889207	1.727099	
1871.890716	1.727188	
1871.892396	1.727135	
1871.893877	1.727208	
1871.895607	1.727107	
1871.897169	1.727220	
1871.898882	1.727135	
1871.900425	1.727196	
1871.902126	1.727026	
1871.903651	1.727135	
1871.905390	1.727071	
1871.906894	1.727143	
1871.908645	1.727075	
1871.910141	1.727083	
1871.911940	1.727111	
1871.913431	1.727035	
1871.915204	1.727010	
1871.916682	1.726612	
1871.918449	1.688423	
1871.919930	1.564012	
1871.921699	1.448420	
1871.923200	1.350471	
1871.924937	1.250565	
1871.926457	1.166345	
1871.928214	1.076429	
1871.929740	0.997776	
1871.931463	0.923292	
1871.933001	0.842013	
1871.934718	0.782941	
1871.936265	0.730791	
1871.937958	0.661633	
1871.939527	0.591793	
1871.941214	0.567809	
1871.942776	0.512613	
1871.944437	0.487617	
1871.946017	0.437344	
1871.947665	0.405081	
1871.949273	0.363416	
1871.950794	0.348543	
1871.952444	0.321195	
1871.953926	0.290701	
1871.955579	0.277576	
1871.957055	0.252154	
1871.958710	0.227762	
1871.960194	0.222594	
1871.961879	0.201864	
1871.963368	0.189860	
1871.965062	0.173231	
1871.966567	0.158092	
1871.968229	0.159124	
1871.969761	0.153943	
1871.971499	0.156606	
1871.973025	0.134382	
1871.974741	0.121266	
1871.976277	0.106901	
1871.977965	0.116109	
1871.979514	0.094461	
1871.981191	0.102558	
1871.982765	0.080704	
1871.984420	0.105454	
1871.986012	0.091311	
1871.987658	0.091867	
1871.989271	0.090924	
1871.990928	0.091065	
1871.992537	0.075625	
1871.994146	0.083919	
1871.995800	0.073208	
1871.997415	0.084161	
1871.999084	0.056829	
1872.000685	0.083959	
1872.002339	0.074956	
1872.003931	0.075560	
1872.005636	0.061731	
1872.007184	0.077006	
1872.008895	0.055600	
1872.010440	0.074605	
1872.012134	0.052345	
1872.013677	0.074049	
1872.015386	0.050137	
1872.016896	0.077599	
1872.018638	0.069292	
1872.020128	0.059532	
1872.021922	0.064555	
1872.023399	0.042459	
1872.025048	0.056808	
1872.026542	0.063749	
1872.028121	0.070710	
1872.029668	0.058331	
1872.031198	0.053074	
1872.032819	0.056015	
1872.034390	0.070541	
1872.036003	0.054254	
1872.037554	0.063826	
1872.039180	0.043833	
1872.040684	0.070686	
1872.042403	0.062545	
1872.044001	0.067153	
1872.045669	0.065219	
1872.047265	0.058964	
1872.048962	0.055181	
1872.050523	0.065179	
1872.052232	0.053807	
