crossing time (s)	slope (V/s)	crossing number
4190.250432	35.384887	2810
4191.291365	32.459781	2811
4192.337388	36.123661	2812
4193.377259	36.647514	2813
4194.425157	31.678339	2814
4195.470275	33.383532	2815
4196.514324	34.483086	2816
4197.547995	34.794659	2817
4198.597806	30.764290	2818
4199.636403	32.152916	2819
4200.682145	33.032605	2820
4201.711054	31.299520	2821
4202.781520	30.033465	2822
4203.798867	30.750936	2823
4204.869944	31.959314	2824
4205.890398	30.162194	2825
4206.949570	28.620199	2826
4207.983803	29.079275	2827
4209.032838	29.422878	2828
4210.058162	28.854118	2829
4211.121965	27.725727	2830
4212.143387	26.743819	2831
4213.196854	27.904553	2832
4214.231168	28.464303	2833
4215.288335	26.203713	2834
4216.315178	25.901477	2835
4217.373117	25.872082	2836
4218.406452	26.712290	2837
4219.463122	25.369239	2838
4220.490735	24.831051	2839
4221.535555	25.644371	2840
4222.582404	24.377959	2841
4223.616405	23.653493	2842
4224.669632	23.062746	2843
4225.696337	23.892011	2844
4226.750460	22.845577	2845
4227.801242	22.689263	2846
4228.832387	22.845355	2847
4229.889337	22.505368	2848
4230.921205	21.406260	2849
4231.966395	21.707460	2850
4233.008309	21.801339	2851
4234.057389	21.025311	2852
4235.102846	20.843159	2853
4236.128578	20.918496	2854
4237.178029	20.443165	2855
4238.227116	20.101512	2856
4239.270945	19.707206	2857
4240.304501	20.079832	2858
4241.357531	19.199673	2859
4242.381764	18.869532	2860
4243.429758	17.757304	2861
4244.486858	17.940414	2862
4245.521125	17.945503	2863
4246.575110	18.118602	2864
4247.607979	17.224680	2865
4248.666330	17.359339	2866
4249.693212	16.299662	2867
4250.749170	16.798228	2868
4251.767273	16.224480	2869
4252.817200	16.023705	2870
4253.876645	15.590928	2871
4254.908856	15.979112	2872
4255.957026	15.067956	2873
4256.994008	15.812218	2874
4258.042319	14.763799	2875
4259.070197	14.830742	2876
4260.133081	14.551330	2877
4261.160016	14.480624	2878
4262.208597	14.558938	2879
4263.251776	13.851038	2880
4264.294605	14.160170	2881
4265.340623	13.018829	2882
4266.377232	13.367030	2883
4267.433881	13.115256	2884
4268.446143	13.178508	2885
4269.512038	12.430736	2886
4270.532967	12.322975	2887
4271.589146	12.862651	2888
4272.633438	12.229249	2889
4273.682677	12.645984	2890
4274.721334	11.604177	2891
4275.761710	11.404332	2892
4276.807266	11.347918	2893
4277.838068	11.434885	2894
4278.902200	11.113242	2895
4279.933123	10.632242	2896
4280.993353	10.844487	2897
4282.011444	10.554314	2898
4283.071401	10.182729	2899
4284.099019	9.758658	2900
4285.133144	10.610116	2901
4286.188940	10.328037	2902
4287.212637	9.947401	2903
4288.261816	9.032504	2904
4289.320705	8.760954	2905
4290.351785	9.299356	2906
4291.402575	9.037568	2907
4292.437448	9.213071	2908
4293.498842	8.817983	2909
4294.520349	8.830595	2910
4295.576689	8.625283	2911
4296.615679	8.259834	2912
4297.667576	8.929090	2913
4298.690782	8.037828	2914
4299.751350	7.567057	2915
4300.776568	7.674502	2916
4301.838572	7.475008	2917
4302.869741	7.470584	2918
4303.909471	7.426458	2919
4304.949063	7.090093	2920
4305.998139	7.405400	2921
4307.051297	6.743156	2922
4308.077215	6.984347	2923
4309.140984	6.551678	2924
4310.151712	7.032492	2925
4311.231956	6.420338	2926
4312.256544	6.265261	2927
4313.299526	6.205136	2928
4314.329178	6.043907	2929
4315.391181	5.505952	2930
4316.419933	5.745540	2931
4317.462731	5.362157	2932
4318.515054	5.943889	2933
4319.552543	5.630240	2934
4320.597745	5.687788	2935
4321.627557	5.617912	2936
4322.700122	4.755620	2937
4323.704056	5.064625	2938
4324.776207	5.108305	2939
4325.807317	5.152184	2940
4326.860926	5.153121	2941
4327.905153	4.751877	2942
4328.958933	4.456467	2943
4329.972940	4.652881	2944
4331.038355	4.466229	2945
4332.061965	4.340213	2946
4333.129006	4.099990	2947
4334.139817	4.442049	2948
4335.213244	3.877222	2949
4336.222192	4.138615	2950
4337.295266	3.949720	2951
4338.307331	4.102467	2952
4339.372017	4.541247	2953
4340.407973	3.777228	2954
4341.461598	3.698447	2955
4342.501576	3.337300	2956
4343.526562	3.488298	2957
4344.603304	3.097087	2958
4345.612926	3.083016	2959
4346.698221	3.030839	2960
4347.690971	3.489177	2961
4348.775279	2.817229	2962
4349.792158	3.118337	2963
4350.852622	2.903517	2964
4351.881811	3.286162	2965
4352.945435	2.812647	2966
4353.973861	2.918506	2967
4355.030033	3.039297	2968
4356.077807	2.996910	2969
4357.093025	3.208066	2970
4358.174192	3.136460	2971
4359.172935	2.642950	2972
4360.254279	2.432617	2973
4361.275919	2.756914	2974
4362.344917	2.737982	2975
4363.358768	2.389567	2976
4364.426420	2.304109	2977
4365.445045	3.008501	2978
