time (s)	magX	magY	magZ
3687.004007	-1.403858	-74.318527	-4.978382
3687.007321	-0.819405	-77.357689	-4.803043
3687.010660	-1.286964	-78.935707	-4.452370
3687.013989	-1.579189	-80.747513	-3.867916
3687.017324	-1.228519	-82.208649	-3.108131
3687.020652	-0.994736	-84.137344	-3.049683
3687.023983	-0.527172	-85.540039	-2.231445
3687.027323	-0.585621	-87.001175	-1.237881
3687.030655	-0.994736	-89.455872	-1.237881
3687.034009	-0.819405	-90.566345	0.047920
3687.037318	-1.053185	-93.137939	0.457039
3687.041538	-0.702511	-97.521332	2.561073
3687.044823	-0.410282	-99.800690	3.320862
3687.048174	-1.403858	-102.781418	4.139099
3687.051086	-0.994736	-104.826996	5.717117
3687.054404	-1.170074	-107.340149	6.827583
3687.057743	-1.754528	-110.554657	8.288712
3687.060655	-2.163643	-112.600235	9.457626
3687.063984	-2.631207	-115.873169	10.217415
3687.067315	-2.572762	-119.263000	12.029221
3687.070655	-3.624779	-122.126831	13.899467
3687.073981	-3.566330	-125.224426	15.302162
3687.077324	-4.443012	-128.614258	16.880180
3687.080655	-5.261250	-132.354767	18.399765
3687.084014	-5.436581	-136.329041	20.679131
3687.087318	-6.371708	-140.186447	22.666275
3687.090667	-6.547047	-144.394501	25.413208
3687.093986	-7.365280	-147.959671	27.108124
3687.097311	-8.417294	-152.109299	29.504379
3687.100641	-8.826420	-156.843369	32.777321
3687.103984	-10.112217	-161.226776	35.816475
3687.107316	-11.047337	-166.136169	39.206306
3687.110649	-11.398014	-171.104034	42.187027
3687.114851	-13.268261	-181.039734	49.492699
3687.118178	-13.794270	-186.708954	54.343651
3687.121597	-14.729389	-191.326126	58.434837
3687.124432	-15.781406	-197.112213	63.578026
3687.127807	-17.008762	-202.956757	67.902977
3687.131070	-17.242542	-208.450607	73.279961
3687.134012	-18.528339	-214.645813	79.066032
3687.137313	-19.872585	-220.782593	84.092339
3687.140640	-20.223263	-227.562225	90.755104
3687.143974	-21.450611	-233.465210	97.300987
3687.147335	-22.210400	-240.011108	104.840431
3687.150638	-23.145527	-246.673859	112.496788
3687.153977	-23.554638	-253.570404	120.912910
3687.157312	-24.314434	-261.109894	128.686157
3687.160649	-25.424900	-268.064880	137.920502
3687.163976	-26.710697	-274.902985	147.447113
3687.167313	-28.347164	-281.507294	157.850372
3687.170637	-29.106953	-289.163635	167.961426
3687.173973	-30.451199	-296.469299	178.540039
3687.177324	-31.736996	-302.372284	191.690247
3687.180637	-33.139683	-310.262421	204.139099
3687.183965	-35.068378	-318.152557	217.464661
3687.188251	-38.984219	-332.237854	246.921082
3687.191503	-41.497364	-339.251312	263.168915
3687.194815	-43.835178	-346.498535	280.234955
3687.197729	-46.640560	-352.927521	298.236115
3687.201060	-48.978367	-360.057861	317.581543
3687.204396	-53.303333	-366.428406	336.926941
3687.207301	-55.991810	-372.214478	357.382843
3687.210635	-60.024540	-378.526581	377.897125
3687.213991	-64.933945	-383.728241	399.521942
3687.217303	-68.908234	-387.994751	425.354767
3687.220635	-74.460541	-392.436584	448.674438
3687.223967	-79.253052	-395.709534	472.520142
3687.227324	-84.104034	-397.462860	497.710083
3687.230635	-89.130325	-398.222656	523.075378
3687.233966	-94.390411	-399.333130	550.486267
3687.237301	-99.358261	-397.988922	576.319153
3687.240632	-104.618347	-395.709534	603.496216
3687.243966	-109.995316	-391.501465	630.205750
3687.247297	-115.080063	-386.942749	655.804810
3687.250633	-119.638809	-381.331940	681.462280
3687.253967	-123.729965	-373.617187	708.113403
3687.257337	-128.113373	-364.616608	747.914673
3687.261509	-136.003494	-340.887787	782.397400
3687.264851	-138.867325	-326.860901	804.022156
3687.268234	-141.380463	-311.314453	825.705383
3687.271076	-143.601410	-294.073059	844.933960
3687.274412	-144.887207	-275.253662	863.928650
3687.277725	-146.231430	-254.739349	879.884277
3687.280629	-147.225006	-233.406799	895.430725
3687.283958	-147.867905	-209.970184	906.418457
3687.287293	-147.692581	-186.299835	916.646423
3687.290623	-147.225006	-161.168320	923.542969
3687.293962	-146.172989	-134.458801	928.744568
3687.297298	-144.945633	-107.515488	931.316162
3687.300667	-143.426056	-79.929283	931.433044
3687.303955	-141.672699	-50.881943	928.744568
3687.307300	-139.627106	-22.711281	923.192261
3687.310622	-137.756866	6.219170	915.185303
3687.313961	-135.769714	34.097603	905.600220
3687.317293	-133.665680	62.969604	895.196960
3687.320626	-131.736984	90.497368	879.708923
3687.323954	-129.399170	117.674461	864.396240
3687.327290	-127.295135	143.448853	846.044434
3687.330626	-125.191101	168.521912	827.341919
3687.334878	-120.866165	215.453537	787.306824
3687.338173	-118.119217	237.078323	764.279297
3687.341470	-116.424316	256.774414	740.550598
3687.344428	-114.261826	275.301575	715.711243
3687.347709	-111.865570	291.549377	691.281128
3687.351048	-109.410858	306.628296	666.208069
3687.353958	-106.956161	320.129150	642.654541
3687.357288	-104.793686	331.409119	616.237244
3687.360615	-101.637634	342.279968	589.586243
3687.363954	-99.416718	350.520752	564.805359
3687.367282	-96.552887	357.358856	540.375244
3687.370619	-93.864395	362.502045	515.068420
3687.373953	-90.007004	367.236115	490.755127
3687.377285	-86.500290	371.151978	466.909424
3687.380613	-83.811798	372.496185	443.005280
3687.384012	-80.188187	372.846863	422.023407
3687.387330	-76.623032	372.437775	399.229675
3687.390619	-72.765625	370.918182	378.072449
3687.393955	-69.142014	369.457062	358.843964
3687.397290	-65.109299	366.826996	338.738739
3687.400614	-61.134998	363.670929	320.445343
3687.403953	-58.271191	359.229095	302.210419
3687.408140	-51.023952	349.644073	269.773224
3687.411504	-47.341900	343.916412	253.408539
3687.414819	-44.068966	338.656342	238.446533
3687.417741	-41.322025	332.578003	224.478088
3687.421060	-37.756870	326.090607	210.977203
3687.424388	-35.419056	319.310913	198.236115
3687.427290	-32.672123	312.472809	186.021057
3687.430633	-30.509640	305.167145	174.507324
3687.433951	-28.288715	297.803040	164.688507
3687.437283	-25.834011	290.848022	154.577454
3687.440609	-23.496197	283.483948	145.167725
3687.443944	-21.918171	277.113403	135.524261
3687.447272	-20.223263	270.216858	126.991234
3687.450610	-19.463467	262.735809	119.217995
3687.453941	-18.119228	255.605499	111.035652
3687.457277	-16.307423	249.176498	103.145531
3687.460611	-15.547626	242.279953	96.716530
3687.463945	-14.261829	235.558731	89.001747
3687.467278	-13.560490	229.538864	83.566338
3687.470608	-13.151371	222.466980	78.247795
3687.473965	-12.683811	216.505554	71.877251
3687.477277	-12.216244	211.245468	66.208061
3687.481542	-11.573345	199.497955	57.090584
3687.484879	-11.047337	193.185852	52.122726
3687.488213	-9.878429	187.984207	47.973106
3687.491030	-9.703091	182.607239	43.589714
3687.494381	-10.287548	177.697830	39.556984
3687.497692	-10.112217	172.262421	35.991814
3687.500606	-9.060200	167.002350	32.426643
3687.503943	-9.177090	162.385147	30.322617
3687.507273	-8.475742	157.884857	25.880768
3687.510606	-8.592632	153.559906	23.484505
3687.513940	-8.183514	149.059616	19.919342
3687.517268	-7.949734	144.676208	17.815315
3687.520605	-7.540623	140.351257	15.185272
3687.523954	-6.897717	136.902985	13.899467
