time (s)	magX	magY	magZ
5273.601979	0.875515	107.855637	17.815315
5273.605315	1.284630	108.732323	19.218002
5273.608648	1.226185	109.959671	18.925774
5273.611979	1.167740	110.953247	20.153122
5273.615309	1.693748	112.297485	21.205139
5273.618642	2.161312	113.758621	20.854469
5273.621980	1.752193	114.985970	21.731148
5273.625315	2.511982	116.563995	21.906487
5273.628664	2.161312	118.258911	23.075394
5273.631977	2.278202	119.077148	23.542953
5273.635308	2.336651	121.064293	24.127411
5273.638643	3.330219	122.350090	25.471649
5273.641974	3.447109	124.454117	25.939209
5273.646229	3.447109	127.025711	27.692574
5273.649565	3.914673	129.129745	28.861481
5273.652439	3.914673	131.175339	29.796608
5273.655727	4.031563	133.513153	31.257736
5273.659103	4.440681	134.974289	32.251312
5273.662406	4.499126	136.961426	33.595551
5273.665307	4.265343	138.890121	34.881348
5273.668639	4.499126	140.468140	36.108711
5273.671996	4.791355	143.098175	37.569832
5273.675308	4.791355	144.910004	39.089417
5273.678636	5.317360	147.247803	41.310333
5273.681970	4.966686	149.527176	43.297485
5273.685306	4.908245	152.215668	44.349495
5273.688635	5.083580	154.728821	46.395088
5273.691971	5.142025	157.709534	47.973106
5273.695306	5.025135	159.638214	50.603157
5273.698637	5.142025	162.618927	51.888947
5273.701993	5.375809	166.008759	55.103447
5273.705303	4.966686	169.047928	56.389236
5273.708639	5.025135	171.853302	60.012856
5273.711972	4.732906	174.600235	62.116890
5273.715306	4.849796	177.931610	64.805382
5273.719476	5.200470	183.834595	71.000572
5273.722822	5.551140	187.633545	73.104607
5273.726179	5.258919	190.672699	75.909981
5273.729059	5.784924	193.828766	79.241371
5273.732387	5.492699	196.809464	82.748100
5273.735749	6.077152	200.842194	86.196373
5273.738667	6.077152	204.407364	89.410866
5273.741962	6.310932	207.738754	92.800697
5273.745303	6.953831	211.187027	96.599648
5273.748634	7.421394	214.810638	101.450615
5273.751963	7.713623	218.375793	105.483345
5273.755292	8.064293	222.350082	109.282295
5273.758634	8.824081	226.441254	113.665688
5273.761968	9.642319	229.831100	118.458214
5273.765294	10.109879	233.863831	122.958488
5273.768627	10.869671	237.896545	128.744598
5273.771961	11.921684	241.520157	132.134430
5273.775299	12.389248	245.845123	138.095856
5273.778625	12.798367	249.118057	144.115723
5273.781961	13.616600	253.559891	149.726471
5273.785299	14.317944	257.592621	155.278778
5273.788636	14.785507	261.333130	162.000000
5273.792831	16.655762	269.281677	174.682648
5273.796223	16.831097	273.314423	182.338989
5273.799547	17.473995	277.171814	189.410858
5273.802390	18.350674	281.555237	197.359467
5273.805716	18.759792	285.295715	204.723572
5273.809047	19.168911	289.270020	212.905914
5273.811959	19.987144	293.244324	220.971344
5273.815293	20.863827	297.101685	230.614838
5273.818625	21.389832	300.549988	239.089417
5273.821954	21.214497	304.232025	249.726471
5273.825323	21.798950	308.030975	259.895966
5273.828620	21.974285	311.070129	270.533020
5273.831957	23.026302	314.401520	280.760956
5273.835289	23.318527	317.148437	292.450043
5273.838625	23.961426	320.479858	303.905334
5273.841953	24.312099	322.583862	315.652832
5273.845289	24.896557	324.921692	328.452393
5273.848621	26.065462	326.675049	341.135040
5273.851957	26.123907	328.720642	354.226776
5273.855308	27.351259	330.532440	366.967865
5273.858629	28.403276	331.467560	380.702515
5273.861955	29.104620	332.344238	394.963165
5273.866137	31.617769	332.110443	425.354767
5273.869506	32.552895	331.292236	438.914062
5273.872828	34.364700	330.181763	453.583862
5273.875722	35.358273	328.837524	468.136719
5273.879051	37.111633	326.675049	483.157227
5273.882398	39.449448	323.577454	498.411499
5273.885282	41.261253	320.888947	513.899475
5273.888613	43.599068	316.973114	528.978333
5273.891945	46.053772	312.239044	545.167725
5273.895304	48.099358	306.862061	560.538879
5273.898619	50.554066	301.543549	575.793091
5273.901951	52.716541	294.647003	592.040955
5273.905286	55.697254	287.633545	607.002930
5273.908617	58.736416	280.386322	623.075378
5273.911980	61.249565	272.145538	637.511414
5273.915278	63.645824	263.203369	653.174744
5273.918620	65.866745	253.559891	667.084778
5273.921948	68.204559	242.338394	682.397400
5273.925278	70.893051	231.116882	696.716553
5273.928614	73.230865	218.901810	711.035645
5273.931949	75.568680	206.336060	725.296326
5273.935280	77.731155	192.718292	739.089478
5273.939479	80.711868	163.670959	762.526001
5273.942879	82.173004	148.416718	774.857971
5273.946259	84.160141	132.285797	786.313293
5273.949064	85.036819	116.154884	796.015198
5273.952373	85.913506	99.381058	806.535400
5273.955737	87.199303	81.496780	815.477539
5273.958606	87.549973	63.670952	822.841614
5273.961950	87.842201	45.260666	829.562805
5273.965279	88.601990	26.441261	836.868530
5273.968612	88.660431	8.440094	840.667480
5273.971943	88.952667	-10.203972	844.583252
5273.975274	89.069550	-29.432495	846.161316
5273.978607	88.601990	-47.550552	847.563965
5273.981939	88.894218	-65.727058	847.739380
5273.985274	88.952667	-83.845116	846.278259
5273.988602	89.186447	-101.729401	843.355896
5273.991942	89.361786	-119.029221	840.083008
5273.995279	89.303337	-136.212158	835.115112
5273.998629	89.186447	-152.518402	828.978394
5274.001977	89.303337	-168.415543	821.848083
5274.005284	89.186447	-183.552887	813.782532
5274.008613	89.303337	-197.462891	803.729980
5274.012792	89.478668	-224.698425	782.981934
5274.016120	89.654007	-237.088837	771.117432
5274.019469	89.946236	-249.011688	757.675049
5274.022389	89.946236	-260.700745	743.706543
5274.025694	89.537117	-269.526001	731.023987
5274.029046	90.472244	-279.578613	716.178833
5274.031938	90.180016	-288.871399	700.983032
5274.035266	90.296906	-296.936859	685.085937
5274.038608	89.946236	-303.190552	669.481018
5274.042002	89.478668	-310.262421	653.350098
5274.045266	89.011108	-315.814728	636.459412
5274.048601	88.835770	-322.009949	620.620667
5274.051937	88.075981	-326.685577	603.437744
5274.055265	86.848633	-330.542938	585.962585
5274.058601	85.796616	-333.932770	569.597900
5274.061933	84.686150	-337.205719	551.888977
5274.065264	83.400352	-339.660431	534.822876
5274.068599	82.056107	-341.939819	517.464661
