time (s)	magX	magY	magZ
1909.933821	-172.133255	-105.227356	-70.765053
1909.937168	-177.919342	-108.850967	-76.784927
1909.940487	-183.997650	-112.357697	-83.155464
1909.943818	-189.433060	-116.156631	-89.467567
1909.947150	-196.446518	-119.780243	-96.539452
1909.950487	-203.050858	-123.754532	-104.137344
1909.953818	-208.778488	-127.787262	-113.137932
1909.957153	-215.149033	-131.469315	-121.203384
1909.960486	-221.402695	-135.443604	-131.314438
1909.963817	-228.708359	-139.710114	-141.776154
1909.967170	-235.955582	-143.918182	-152.646988
1909.970481	-242.501480	-148.067810	-164.452957
1909.973816	-249.105789	-152.392746	-176.083572
1909.977157	-255.593216	-156.483932	-189.233795
1909.981413	-269.035645	-163.731155	-216.527771
1909.984764	-276.516663	-167.880783	-232.483353
1909.988044	-282.536560	-171.679718	-247.737579
1909.990909	-289.023987	-175.011108	-264.569824
1909.994239	-295.628296	-178.517838	-282.629456
1909.997593	-301.531250	-181.440109	-301.741089
1910.000479	-307.200500	-183.602570	-321.028076
1910.003842	-311.992981	-186.407944	-341.600830
1910.007145	-316.843933	-188.511993	-363.985382
1910.010489	-320.467590	-189.914673	-385.960846
1910.013812	-325.201660	-190.732910	-409.689667
1910.017145	-328.533020	-190.440674	-434.528931
1910.020475	-329.585022	-190.557571	-458.842194
1910.023808	-330.578613	-189.564011	-485.960846
1910.027148	-330.637024	-187.343063	-511.618347
1910.030481	-329.643494	-184.888382	-538.736938
1910.033807	-327.656311	-180.972519	-566.790771
1910.037147	-323.156067	-176.355362	-593.967896
1910.040481	-316.785522	-171.095276	-620.209839
1910.043819	-309.655151	-164.315613	-647.328491
1910.047174	-300.829956	-157.652832	-674.447144
1910.050475	-289.549988	-149.119812	-714.832886
1910.054670	-263.424927	-129.715958	-748.906494
1910.057993	-247.001755	-118.085327	-770.765015
1910.061347	-229.351273	-106.396271	-791.396240
1910.064224	-209.713638	-93.596725	-809.514282
1910.067569	-189.316208	-79.920502	-825.879028
1910.070923	-166.054947	-66.068970	-840.373535
1910.073808	-142.676804	-52.100521	-851.887207
1910.077140	-117.603745	-37.547634	-861.121582
1910.080467	-91.478668	-22.527180	-867.375244
1910.083806	-64.476913	-7.798946	-871.700195
1910.087140	-36.890709	7.163061	-871.466431
1910.090496	-9.304497	22.300409	-870.823486
1910.093808	18.281704	37.788429	-866.381714
1910.097139	45.225014	52.107536	-859.017578
1910.100472	72.694328	65.082413	-849.140259
1910.103806	98.118057	78.407944	-837.392700
1910.107139	123.483337	91.207474	-823.132080
1910.110474	147.855057	103.422562	-806.884277
1910.113800	170.765640	114.585617	-789.467529
1910.117134	192.215073	124.872009	-769.713013
1910.120471	211.969604	134.515488	-748.555786
1910.125133	247.504379	151.815323	-703.026855
1910.128010	263.167725	159.237869	-679.064331
1910.131399	276.960846	165.433075	-653.932739
1910.134271	288.766815	170.400940	-628.625977
1910.137566	299.286957	175.368790	-602.150269
1910.140899	307.410858	179.518402	-577.018677
1910.143801	314.599670	182.849792	-550.893616
1910.147135	320.268860	185.596725	-525.177734
1910.150466	324.769165	187.408524	-499.344849
1910.153803	327.399170	188.752777	-474.856201
1910.157129	329.269409	189.220337	-450.542969
1910.160461	329.912354	189.629456	-425.820587
1910.163802	328.977173	188.752777	-401.916443
1910.167132	327.691406	187.233185	-379.298065
1910.170466	325.412048	185.772049	-357.147278
1910.173802	322.197510	183.609589	-336.516083
1910.177151	317.872589	181.505539	-315.826416
1910.180461	312.904724	178.407944	-296.422577
1910.183793	308.112213	174.842773	-278.070740
1910.187128	303.319702	171.102280	-261.063110
1910.190460	297.299805	167.712448	-243.763306
1910.193792	291.046173	163.329041	-227.281708
1910.198057	277.428406	154.737579	-197.240799
1910.201328	270.298096	150.587967	-183.623016
1910.204641	263.050842	145.620102	-170.823502
1910.207590	255.920517	140.769150	-158.959091
1910.210885	248.205719	136.035065	-147.971375
1910.214217	240.841614	131.476334	-138.210999
1910.217127	233.711273	127.443604	-127.457047
1910.220453	226.697845	122.767975	-117.696671
1910.223789	219.625946	118.618347	-110.215668
1910.227126	213.313858	114.410278	-102.091766
1910.230459	206.651077	110.202225	-94.669205
1910.233788	199.871414	106.227936	-88.298660
1910.237150	193.793106	102.721222	-81.577446
1910.240478	187.247223	98.863815	-76.434250
1910.243794	181.052017	95.590881	-70.063705
1910.247121	175.850372	92.376389	-63.517830
1910.250481	170.473419	88.635880	-58.959091
1910.253788	164.862640	85.187607	-54.575691
1910.257123	159.661011	82.090012	-50.309177
1910.260457	154.576263	79.459961	-45.925777
1910.263794	149.316193	76.654587	-42.652840
1910.267120	145.049683	74.141434	-39.146118
1910.271320	135.581528	68.939804	-31.782001
1910.274663	131.782578	66.368210	-29.677971
1910.278043	127.399185	64.673294	-27.340157
1910.280938	122.840439	62.452366	-24.242550
1910.284236	118.690826	60.289890	-21.904736
1910.287594	115.300995	57.893631	-19.917595
1910.290450	111.560486	56.374050	-18.105789
1910.293809	107.293976	54.445354	-16.352428
1910.297113	103.904144	52.984222	-14.832851
1910.300449	100.572769	50.763298	-12.670372
1910.303786	97.358269	49.243717	-10.800121
1910.307137	94.085327	48.016365	-8.579197
1910.310446	90.987724	46.613678	-8.111633
1910.313781	88.474579	45.152542	-6.358276
1910.317122	85.260086	43.165398	-4.897141
1910.320450	82.922264	42.171829	-5.014030
1910.323785	80.175339	40.710693	-4.078903
1910.327119	78.597313	39.191116	-2.793106
1910.330447	75.324371	37.963764	-1.565750
1910.333778	73.220337	36.970192	-0.279953
1910.337129	70.765633	35.625950	0.479836
1910.340446	68.603157	34.281708	1.064285
1910.344695	63.927528	32.177673	1.590294
1910.348043	62.232613	30.774986	1.940971
1910.351305	60.187023	29.781414	1.940971
1910.354208	58.959671	29.547632	2.700752
1910.357542	56.972530	27.560492	3.226768
1910.360880	55.160725	27.034483	3.285210
1910.363781	54.167152	26.040913	3.285210
1910.367140	52.063118	25.164230	4.746346
1910.370440	50.718876	24.813559	3.928108
1910.373775	49.725304	23.644651	4.980125
1910.377109	48.497955	22.592636	4.746346
1910.380452	47.621273	21.949738	5.389236
1910.383773	46.335476	21.599064	4.804787
1910.387105	45.283459	20.663940	4.980125
1910.390448	43.646988	20.371712	5.447685
1910.393793	42.711861	19.904148	5.798363
1910.397117	41.835182	19.436586	5.973701
1910.400444	40.666275	18.793688	5.506134
1910.403772	39.964931	17.800117	6.207481
1910.407106	39.088253	17.741671	6.149033
1910.410471	38.562244	16.981882	5.681473
1910.413773	37.393337	16.864990	5.097015
1910.417951	35.172413	16.222092	5.798363
1910.421285	35.113968	16.397429	5.973701
1910.424671	34.120396	15.286966	6.499702
1910.427524	33.243717	14.936295	6.382812
1910.430888	32.776154	14.994740	5.739922
1910.434215	32.133255	15.111630	5.564583
1910.437102	30.964348	13.942723	5.213905
1910.440432	30.087669	14.059614	5.798363
1910.443779	29.736996	13.124489	6.324371
1910.447105	29.444771	13.299825	5.798363
1910.450434	28.392754	13.066044	6.324371
1910.453804	27.808300	12.423145	6.032143
1910.457100	27.632965	12.364699	6.441261
1910.460434	27.516071	12.364699	6.558151
1910.463765	26.697834	11.955582	5.798363
1910.467126	26.054935	12.072473	5.681473
1910.470438	25.996490	11.078901	5.856812
1910.473765	25.353592	11.488018	5.272346
1910.477105	25.002922	11.254236	6.324371
1910.480437	24.301575	11.078901	6.149033
1910.483761	23.892460	10.669783	6.032143
1910.487104	23.074226	10.494448	5.798363
1910.491302	22.898888	9.851549	6.090591
1910.494689	22.022209	10.260666	6.032143
1910.497580	22.314434	10.026884	6.149033
1910.500873	21.028637	9.033314	6.090591
1910.504201	21.145527	8.799532	5.856812
1910.507515	20.911747	9.267096	6.090591
1910.510430	20.093513	9.617767	6.441261
1910.513761	19.684395	8.916424	6.032143
1910.517099	20.151958	9.091759	6.149033
1910.520436	20.502628	8.974869	5.973701
1910.523784	19.859730	9.033314	6.032143
1910.527088	19.567505	8.741087	6.850380
1910.530428	19.216831	8.857979	6.324371
1910.533761	19.567505	8.916424	6.908829
1910.537097	19.509060	8.273525	6.967270
1910.540427	19.099941	7.572180	6.675041
1910.543763	18.807716	8.156633	6.032143
1910.547089	18.573933	8.098188	6.558151
1910.550424	18.457043	7.747517	5.623024
1910.553758	17.989479	8.098188	5.564583
1910.557091	17.872589	7.864407	5.856812
1910.561706	17.872589	7.922853	6.032143
1910.564614	17.521919	7.922853	6.090591
1910.567960	17.521919	8.215080	5.506134
1910.571293	17.229687	8.039743	5.506134
1910.574189	17.521919	7.805962	5.155457
1910.577539	17.288136	7.338398	6.032143
1910.580870	17.112797	7.455288	6.324371
1910.583755	17.463470	7.689072	5.506134
1910.587093	17.171246	7.455288	5.915253
1910.590430	17.288136	7.221508	5.739922
1910.593761	16.995907	7.338398	5.798363
1910.597125	16.586792	7.279953	5.038567
1910.600417	16.995907	6.929281	4.980125
1910.603755	16.820572	7.221508	5.330795
1910.607087	17.054356	7.805962	6.441261
1910.610445	17.346581	7.572180	6.149033
1910.613749	16.353012	7.279953	5.272346
1910.617084	17.463470	7.747517	6.207481
1910.620420	16.586792	6.987726	6.499702
1910.623755	17.229687	7.279953	6.207481
1910.627084	16.645233	7.805962	5.564583
1910.630416	16.119228	7.338398	6.382812
1910.634616	16.586792	7.513733	6.149033
1910.638017	16.762127	7.572180	6.558151
1910.641367	16.528343	7.572180	6.324371
