crossing time (s)	slope (V/s)	crossing number
2452.151629	-45.492504	3464
2453.214625	-46.309991	3465
2454.235432	-46.111265	3466
2455.300332	-44.917154	3467
2456.345334	-44.079022	3468
2457.382301	-44.325995	3469
2458.445616	-44.257075	3470
2459.489846	-43.360753	3471
2460.511804	-43.073651	3472
2461.570360	-43.146180	3473
2462.611303	-42.483331	3474
2463.648219	-41.588840	3475
2464.704129	-41.327179	3476
2465.752097	-40.507053	3477
2466.786719	-41.329244	3478
2467.838860	-39.225634	3479
2468.867767	-38.692662	3480
2469.940419	-37.594862	3481
2470.961025	-36.671435	3482
2472.028619	-35.894678	3483
2473.048872	-35.667001	3484
2474.113544	-35.210738	3485
2475.150386	-34.103966	3486
2476.192150	-34.721376	3487
2477.244371	-34.416638	3488
2478.297078	-33.832858	3489
2479.315095	-32.542959	3490
2480.381887	-32.638053	3491
2481.421592	-32.173484	3492
2482.467640	-31.508766	3493
2483.515856	-30.428340	3494
2484.557810	-29.287020	3495
2485.605201	-30.038642	3496
2486.659110	-27.867298	3497
2487.683344	-28.501780	3498
2488.729586	-27.990297	3499
2489.764590	-28.166824	3500
2490.836643	-26.555844	3501
2491.879287	-25.997328	3502
2492.938722	-25.880921	3503
2493.948668	-26.482131	3504
2495.014460	-25.388602	3505
2496.053014	-24.688774	3506
2497.083525	-23.231849	3507
2498.140119	-24.587159	3508
2499.197818	-23.589057	3509
2500.246982	-23.787754	3510
2501.267392	-22.540708	3511
2502.324657	-22.037504	3512
2503.364875	-21.563046	3513
2504.413146	-21.529546	3514
2505.455658	-20.823979	3515
2506.497890	-20.487247	3516
2507.553643	-20.115850	3517
2508.598713	-19.120425	3518
2509.643946	-19.566504	3519
2510.699541	-18.839111	3520
2511.710733	-17.695338	3521
2512.765502	-18.555860	3522
2513.837142	-17.968128	3523
2514.863171	-18.210482	3524
2515.919827	-17.052971	3525
2516.946764	-16.561354	3526
2518.001675	-15.041486	3527
2519.025577	-15.976316	3528
2520.083293	-15.005326	3529
2521.121015	-14.776565	3530
2522.170436	-14.986456	3531
2523.218870	-14.484657	3532
2524.271326	-14.474896	3533
2525.301883	-14.250073	3534
2526.360271	-14.737011	3535
2527.404855	-14.104563	3536
2528.442575	-14.137132	3537
2529.494190	-12.119462	3538
2530.528866	-13.445723	3539
2531.565144	-12.136050	3540
2532.634119	-12.557388	3541
2533.651287	-12.192134	3542
2534.726625	-11.274558	3543
2535.749093	-11.279993	3544
2536.802559	-11.158135	3545
2537.845806	-9.962133	3546
2538.902836	-10.862423	3547
2539.925223	-10.072913	3548
2540.986116	-9.542143	3549
2542.007918	-9.957821	3550
2543.054677	-9.669874	3551
2544.117716	-9.398149	3552
2545.156435	-9.472950	3553
2546.199985	-8.472314	3554
2547.241379	-9.114609	3555
2548.308161	-8.028066	3556
2549.326833	-8.392627	3557
2550.393062	-8.423369	3558
2551.416671	-8.738526	3559
2552.484539	-7.170153	3560
2553.502675	-7.907875	3561
2554.577810	-6.791830	3562
2555.588117	-6.500315	3563
2556.655059	-7.592790	3564
2557.696291	-6.635832	3565
2558.746410	-7.198119	3566
2559.780706	-6.060414	3567
2560.843136	-6.028200	3568
2561.870932	-6.216635	3569
2562.930344	-6.222504	3570
2563.972476	-5.084783	3571
2565.004906	-5.722688	3572
2566.053559	-5.157651	3573
2567.081448	-4.156922	3574
2568.161849	-5.407408	3575
2569.178841	-5.189234	3576
2570.249479	-4.549933	3577
2571.264774	-4.557853	3578
2572.342919	-4.861720	3579
2573.358083	-4.961692	3580
2574.412666	-4.811248	3581
2575.444360	-4.715312	3582
2576.510334	-4.129375	3583
2577.538361	-4.337198	3584
2578.602628	-3.722100	3585
2579.618636	-3.190499	3586
2580.701720	-3.865412	3587
2581.713266	-4.774084	3588
2582.772190	-4.136155	3589
2583.804850	-4.241889	3590
2584.878647	-3.157970	3591
2585.893544	-2.828810	3592
2586.956095	-2.008977	3593
2587.985001	-3.121745	3594
2589.042829	-2.866615	3595
2590.078832	-3.755161	3596
2591.120434	-2.501547	3597
2592.171233	-3.003965	3598
2593.209748	-3.069337	3599
2594.274783	-3.098824	3600
2595.302936	-2.943886	3601
2596.377103	-3.097697	3602
2597.383874	-2.529517	3603
2598.474163	-2.678887	3604
2599.476323	-1.867713	3605
2600.542391	-2.676311	3606
2601.571195	-2.521096	3607
