time (s)	det(V)
2452.931872	0.072982	
2452.933459	0.043833	
2452.935150	0.069792	
2452.936717	0.077018	
2452.938364	0.070263	
2452.939964	0.029218	
2452.941489	0.090719	
2452.943154	0.069397	
2452.944645	0.113487	
2452.946288	0.060595	
2452.947763	0.057904	
2452.949405	0.038882	
2452.950889	0.055519	
2452.952597	0.055382	
2452.954080	0.065139	
2452.955797	0.069836	
2452.957288	0.083508	
2452.958959	0.066472	
2452.960471	0.089212	
2452.962206	0.056728	
2452.963733	0.083794	
2452.965475	0.059612	
2452.967009	0.053763	
2452.968734	0.072015	
2452.970270	0.037738	
2452.971962	0.048885	
2452.973505	0.073147	
2452.975179	0.072696	
2452.976752	0.061199	
2452.978417	0.056007	
2452.980002	0.030076	
2452.981654	0.064627	
2452.983261	0.078896	
2452.984897	0.064567	
2452.986511	0.042141	
2452.988136	0.077909	
2452.989804	0.016259	
2452.991408	0.051942	
2452.993080	0.076132	
2452.994673	0.075580	
2452.996320	0.054041	
2452.997900	0.071153	
2452.999594	0.055410	
2453.001139	0.073026	
2453.002854	0.049283	
2453.004396	0.037730	
2453.006112	0.060220	
2453.007663	0.110018	
2453.009370	0.075129	
2453.010864	0.033412	
2453.012430	0.092121	
2453.013930	0.086493	
2453.015519	0.083355	
2453.017066	0.037839	
2453.018610	0.068019	
2453.020189	0.066275	
2453.021799	0.063133	
2453.023386	0.067234	
2453.024959	0.097772	
2453.026560	0.076040	
2453.028068	0.088104	
2453.029770	0.085869	
2453.031379	0.121721	
2453.033060	0.085305	
2453.034652	0.096995	
2453.036340	0.073401	
2453.037935	0.080849	
2453.039590	0.063294	
2453.041160	0.080708	
2453.042840	0.077780	
2453.044399	0.113422	
2453.046115	0.092515	
2453.047649	0.129169	
2453.049377	0.108520	
2453.050892	0.134132	
2453.052674	0.112294	
2453.054160	0.147043	
2453.055923	0.143651	
2453.057413	0.141794	
2453.059198	0.163623	
2453.060682	0.154394	
2453.062477	0.163374	
2453.063966	0.216684	
2453.065743	0.169960	
2453.067230	0.208535	
2453.069004	0.216567	
2453.070510	0.203391	
2453.072289	0.224636	
2453.073803	0.253451	
2453.075541	0.252331	
2453.077058	0.293202	
2453.078777	0.292026	
2453.080317	0.344583	
2453.082037	0.343399	
2453.083583	0.355029	
2453.085069	0.371916	
2453.086754	0.394116	
2453.088242	0.402338	
2453.089891	0.446286	
2453.091425	0.496645	
2453.093050	0.494747	
2453.094543	0.517688	
2453.096256	0.567289	
2453.097739	0.621752	
2453.099463	0.670402	
2453.100954	0.657378	
2453.102677	0.707857	
2453.104165	0.737474	
2453.105946	0.806587	
2453.107439	0.860756	
2453.109188	0.884229	
2453.110670	0.953641	
2453.112465	1.002360	
2453.113948	1.058426	
2453.115715	1.075289	
2453.117206	1.119129	
2453.118960	1.196976	
2453.120466	1.207220	
2453.122203	1.299448	
2453.123719	1.337730	
2453.125438	1.372724	
2453.126980	1.415964	
2453.128700	1.471949	
2453.130243	1.516958	
2453.131945	1.572174	
2453.133513	1.554155	
2453.135178	1.627052	
2453.136754	1.631213	
2453.138421	1.696782	
2453.140019	1.699892	
2453.141646	1.719071	
2453.143261	1.723397	
2453.144905	1.726797	
2453.146504	1.718047	
2453.148127	1.708412	
2453.149809	1.719199	
2453.151391	1.726708	
2453.153065	1.717367	
