time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
1457.171573	264.974854	3.399444	0.100000	157
1459.264209	265.497253	3.330688	0.100000	159
1461.358580	265.263000	3.238763	0.100000	161
1463.453417	264.095612	3.148170	0.100000	163
1465.548909	262.827667	3.075470	0.100000	165
1467.642666	262.812622	3.023577	0.100000	167
1469.734586	264.047882	2.956334	0.100000	169
1471.823949	266.047607	2.891982	0.100000	171
1473.914520	267.436432	2.814921	0.100000	173
1476.007187	267.068848	2.732796	0.100000	175
1478.101943	265.291809	2.646398	0.100000	177
1480.195618	261.007904	2.607885	0.100000	179
1482.287338	264.112366	2.496724	0.100000	181
1484.376909	264.927612	2.429524	0.100000	183
1486.465829	265.779388	2.359473	0.100000	185
1488.554496	266.443451	2.287858	0.100000	187
1490.643424	266.787384	2.216475	0.100000	189
1492.732559	267.010590	2.139226	0.100000	191
1494.821909	267.133026	2.064133	0.100000	193
1496.911901	267.191498	1.986853	0.100000	195
1499.001670	267.231354	1.911640	0.100000	197
1501.092427	267.206757	1.838176	0.100000	199
1503.183258	267.105774	1.768967	0.100000	201
1505.274889	266.947174	1.697626	0.100000	203
1507.366023	97.334351	1.742400	-0.100000	205
1509.455896	97.993515	1.691404	-0.100000	207
1511.543730	91.783470	1.495782	-0.100000	209
1513.629521	92.259872	1.458541	-0.100000	211
1515.713307	267.267334	1.364582	0.100000	213
1517.797650	267.460144	1.293977	0.100000	215
1519.885173	267.181396	1.225404	0.100000	217
1521.976082	271.764435	1.173455	0.100000	219
1524.069848	267.703766	1.104627	0.090620	221
1526.163386	267.643219	1.046146	0.087267	223
1528.254159	278.706604	0.983511	0.100000	225
1530.342984	88.649185	-0.928681	-0.100000	227
1532.431124	88.259377	-0.877907	-0.100000	229
1534.519692	86.966331	-0.839333	-0.076620	231
1536.607035	86.844254	-0.791322	-0.073838	233
1538.695131	86.777946	-0.743516	-0.070514	235
1540.782602	86.707397	-0.699187	-0.067174	237
1542.871036	86.430740	-0.655370	-0.063869	239
1544.958936	86.282303	-0.613944	-0.060588	241
1547.048666	86.193237	-0.575542	-0.057616	243
1549.128706	86.219994	-0.540892	-0.054656	245
1551.210308	86.547836	-0.508254	-0.051259	247
1553.286947	87.160332	-0.479836	-0.047320	249
1555.356579	87.898575	-0.451969	-0.043299	251
1557.431039	88.506935	-0.423512	-0.039617	253
1559.517192	88.664665	-0.393786	-0.036595	255
1561.603197	176.069916	-0.022681	-0.100000	1
1564.661072	266.232391	-0.333118	-0.033925	3
1567.840173	25.998028	2.413005	-0.100000	5
