time (s)	magX	magY	magZ
1457.044520	13.967274	-162.980133	27.283455
1457.047437	14.785507	-171.104034	31.608414
1457.050770	16.305088	-180.630615	37.628281
1457.054099	17.941559	-189.689667	43.706596
1457.057027	19.227356	-198.514893	50.544708
1457.060338	20.922272	-208.976624	59.895958
1457.063668	23.318527	-219.263000	68.662758
1457.067004	25.773235	-230.016937	78.773811
1457.070338	27.468151	-241.530670	90.345985
1457.073673	29.981300	-253.044403	103.087074
1457.077055	32.377560	-264.733490	116.412621
1457.080339	35.884281	-275.779663	131.900635
1457.083675	39.332558	-287.468719	147.739349
1457.087004	43.014614	-299.333160	165.156067
1457.090339	46.696671	-311.197540	183.975464
1457.093671	51.722973	-323.821747	205.249573
1457.097002	57.041500	-334.867920	227.867920
1457.100373	63.236706	-345.797180	252.648743
1457.103665	69.373466	-357.544739	279.708954
1457.107002	75.860901	-367.947998	310.275879
1457.111221	90.706024	-387.644073	375.617737
1457.114559	98.771484	-395.358887	412.789032
1457.117927	107.830513	-402.372284	451.830505
1457.120784	117.883110	-406.580383	492.917603
1457.124119	127.585037	-410.087097	535.874939
1457.127493	138.514328	-409.151978	580.468689
1457.130755	150.144943	-406.989471	625.763916
1457.133667	161.249557	-399.683777	670.533020
1457.136999	173.347748	-390.098785	716.295715
1457.140330	185.270599	-377.240784	761.240234
1457.143668	198.128586	-358.246063	804.256042
1457.146995	210.168320	-336.504395	844.057251
1457.150333	221.857407	-309.794861	881.286987
1457.153664	233.020462	-279.812378	915.185303
1457.157025	243.365280	-245.212738	941.485657
1457.160328	252.658096	-206.697250	963.052002
1457.163663	260.840454	-166.194626	978.364746
1457.166999	267.970764	-122.068390	985.728760
1457.170332	273.055542	-75.545883	987.832886
1457.173655	276.270020	-28.964935	983.274170
1457.176994	278.666290	18.726475	972.344849
1457.180328	279.250732	66.125656	954.635864
1457.183660	278.081818	111.420807	931.549988
1457.187928	272.529510	197.452362	872.637024
1457.191224	267.503204	236.026291	838.680298
1457.194538	261.717133	270.684387	802.093567
1457.197423	255.054367	301.075989	762.350708
1457.200793	247.339569	328.662170	721.848083
1457.204081	239.741684	352.157196	681.345398
1457.206997	231.442444	370.859741	640.550598
1457.210327	222.967865	385.880188	600.690857
1457.213659	214.025726	397.744598	559.662231
1457.216991	204.674469	405.985382	520.386902
1457.220320	195.381653	411.303925	482.455872
1457.223653	186.205734	412.998840	445.693726
1457.226987	177.789597	412.297485	409.749847
1457.230323	168.613678	409.433685	377.020477
1457.233653	160.431335	403.706024	345.343079
1457.237002	151.956757	396.751007	315.769714
1457.240322	144.417297	387.984222	287.306854
1457.243654	136.585617	378.866730	261.298676
1457.246989	128.637054	368.346558	236.284058
1457.250350	121.039169	357.066620	213.081238
1457.253653	113.733490	344.033325	192.040894
1457.256989	107.012283	331.409119	172.403259
1457.261169	94.329636	304.816467	137.102264
1457.264538	87.608414	291.081848	122.315605
1457.267877	82.289894	278.983643	108.113380
1457.270740	77.322037	265.716553	95.313850
1457.274100	72.354179	253.852127	84.969017
1457.277437	67.853889	242.163055	74.098183
1457.280315	63.528934	231.116882	64.688484
1457.283694	59.963768	220.012268	55.220329
1457.287021	55.931038	209.258331	47.096436
1457.290316	51.956753	200.023956	40.258324
1457.293670	48.917595	190.088257	34.413788
1457.296981	46.053772	181.379898	28.160141
1457.300314	43.073059	173.080658	22.607826
1457.303646	40.501465	165.190521	18.107536
1457.306985	37.871422	156.599060	13.081238
1457.310312	35.942726	149.176498	8.113380
1457.313652	33.137352	142.747513	4.840439
1457.316980	31.267097	135.500290	1.216827
1457.320309	29.163065	128.895966	-1.880775
