time (s)	det(V)
7563.791641	0.016932	
7563.793175	0.049376	
7563.794898	0.044659	
7563.796394	0.038282	
7563.798164	0.034967	
7563.799654	0.028373	
7563.801439	0.054657	
7563.802921	0.043672	
7563.804701	0.059036	
7563.806178	0.060756	
7563.807934	0.049437	
7563.809426	0.038633	
7563.811172	0.062307	
7563.812682	0.054117	
7563.814426	0.059580	
7563.815937	0.066863	
7563.817659	0.068575	
7563.819191	0.062782	
7563.820899	0.067218	
7563.822447	0.062114	
7563.824145	0.065969	
7563.825689	0.054375	
7563.827340	0.069139	
7563.828920	0.040981	
7563.830590	0.073047	
7563.832181	0.030407	
7563.833826	0.077599	
7563.835407	0.070629	
7563.837038	0.076003	
7563.838689	0.079371	
7563.840275	0.084850	
7563.841948	0.034653	
7563.843420	0.080592	
7563.845076	0.059459	
7563.846548	0.074585	
7563.848196	0.065215	
7563.849684	0.051273	
7563.851326	0.065111	
7563.852820	0.069131	
7563.854518	0.069449	
7563.856026	0.084487	
7563.857674	0.078646	
7563.859195	0.063910	
7563.860828	0.072241	
7563.862379	0.085369	
7563.864065	0.081832	
7563.865635	0.075314	
7563.867303	0.093164	
7563.868882	0.062653	
7563.870536	0.085268	
7563.872161	0.077655	
7563.873806	0.082300	
7563.875406	0.069067	
7563.877032	0.087045	
7563.878676	0.081941	
7563.880269	0.086380	
7563.881942	0.085977	
7563.883531	0.096145	
7563.885210	0.097893	
7563.886771	0.100254	
7563.888468	0.052961	
7563.890051	0.085365	
7563.891738	0.067991	
7563.893289	0.086481	
7563.895016	0.070517	
7563.896565	0.082187	
7563.898289	0.085430	
7563.899796	0.107477	
7563.901555	0.084140	
7563.903053	0.111863	
7563.904800	0.088161	
7563.906296	0.104089	
7563.908077	0.092370	
7563.909552	0.105450	
7563.911350	0.108307	
7563.912831	0.086739	
7563.914621	0.091778	
7563.916113	0.085365	
7563.917694	0.113245	
7563.919252	0.108701	
7563.920797	0.088177	
7563.922400	0.062295	
7563.923896	0.106719	
7563.925527	0.106329	
7563.927076	0.099247	
7563.928702	0.108774	
7563.930199	0.121737	
7563.931886	0.089643	
7563.933366	0.113088	
7563.935094	0.098099	
7563.936652	0.104504	
7563.938385	0.114901	
7563.939931	0.135232	
7563.941630	0.127727	
7563.943137	0.119509	
7563.944899	0.101434	
7563.946404	0.112496	
7563.948137	0.108455	
7563.949639	0.128412	
7563.951428	0.139836	
7563.952906	0.121644	
7563.954690	0.136988	
7563.956172	0.139909	
7563.957962	0.132073	
7563.959436	0.131800	
7563.961177	0.135256	
7563.962678	0.129588	
7563.964416	0.134329	
7563.965938	0.145689	
7563.967666	0.138591	
7563.969191	0.111755	
7563.970907	0.150338	
7563.972444	0.146724	
7563.974146	0.153178	
7563.975707	0.120754	
7563.977389	0.160368	
7563.978955	0.109076	
7563.980633	0.151248	
7563.982207	0.153887	
7563.983861	0.164010	
7563.985442	0.128561	
7563.987069	0.162717	
7563.988687	0.137411	
7563.990213	0.142495	
7563.991849	0.147498	
7563.993318	0.140110	
7563.994960	0.168256	
7563.996442	0.155720	
7563.998092	0.141890	
7563.999580	0.146853	
7564.001285	0.136074	
7564.002765	0.167889	
7564.004427	0.170967	
7564.005938	0.151619	
7564.007574	0.165589	
7564.009124	0.164187	
7564.010823	0.174423	
7564.012381	0.176764	
7564.014081	0.192164	
7564.015643	0.170423	
7564.017319	0.186971	
7564.018900	0.189815	
7564.020543	0.199350	
7564.022159	0.181380	
7564.023796	0.207335	
7564.025415	0.162097	
7564.027034	0.200688	
7564.028664	0.158830	
7564.030288	0.201904	
7564.031962	0.196434	
7564.033536	0.219911	
7564.035209	0.223959	
7564.036781	0.217236	
7564.038470	0.212273	
7564.040041	0.219476	
7564.041731	0.225825	
7564.043284	0.218195	
7564.044997	0.223605	
7564.046552	0.235895	
7564.048282	0.237048	
7564.049817	0.237430	
7564.051541	0.241591	
7564.053027	0.242554	
7564.054772	0.233289	
7564.056254	0.252178	
7564.058022	0.255010	
7564.059514	0.242844	
7564.061302	0.252387	
7564.062786	0.255364	
7564.064396	0.244149	
7564.065917	0.239021	
7564.067476	0.272976	
7564.069053	0.254007	
7564.070668	0.275397	
