time (s)	magX	magY	magZ
7636.984393	-327.948547	-230.767975	-618.281128
7636.987745	-325.318542	-229.306824	-634.002930
7636.991073	-322.104004	-226.910583	-650.016968
7636.994400	-318.947998	-224.572769	-665.095825
7636.997724	-313.980103	-222.585632	-682.571045
7637.001057	-308.895386	-220.364716	-697.942139
7637.004393	-303.576843	-217.033310	-714.248413
7637.007721	-297.790771	-214.052597	-730.671509
7637.011054	-290.660400	-210.838120	-746.101074
7637.014393	-283.646973	-207.915848	-761.998291
7637.017724	-275.698425	-203.298660	-777.778442
7637.021922	-257.755737	-194.765640	-806.592041
7637.025256	-248.112228	-190.557571	-821.787842
7637.028663	-237.650497	-185.414383	-835.113403
7637.031539	-226.838120	-179.920532	-848.088257
7637.034830	-216.025711	-173.666870	-861.179932
7637.038161	-204.044418	-167.647003	-872.752197
7637.041057	-191.946213	-160.575104	-884.967285
7637.044388	-178.971359	-153.737000	-894.902954
7637.047716	-166.113373	-146.022217	-905.890747
7637.051055	-152.787857	-137.839859	-914.832886
7637.054387	-138.702515	-129.891296	-923.015137
7637.057723	-125.201645	-120.715378	-931.314453
7637.061054	-110.531860	-111.364120	-938.094116
7637.064382	-95.277618	-102.421982	-943.704834
7637.067712	-80.023392	-92.720047	-949.724731
7637.071047	-65.002914	-81.907654	-952.939209
7637.074407	-48.988892	-71.738159	-956.855103
7637.077711	-33.442436	-60.808880	-958.666870
7637.081050	-18.129745	-50.054943	-959.835815
7637.084387	-2.700172	-38.599651	-959.952759
7637.087715	12.612503	-27.611927	-958.783813
7637.091048	28.743423	-16.448860	-956.855103
7637.095320	59.602570	6.169491	-950.659790
7637.098602	75.149033	16.806545	-946.334961
7637.101899	90.578606	27.735826	-940.782593
7637.104803	105.832840	39.249561	-934.470581
7637.108129	120.210403	49.828171	-926.755737
7637.111469	134.938629	60.348335	-918.397949
7637.114382	148.322617	70.050262	-910.157227
7637.117719	162.758621	79.518410	-900.046143
7637.121044	176.493286	88.518997	-891.220947
7637.124374	189.994156	97.636475	-880.583862
7637.127713	202.676804	105.701920	-869.187012
7637.131044	215.300995	114.293396	-856.679687
7637.134372	227.808304	121.657516	-844.406250
7637.137709	239.848038	128.787842	-831.139160
7637.141040	251.244888	135.275284	-818.456421
7637.144377	262.057281	141.879608	-805.072510
7637.147746	272.226746	147.665695	-791.922241
7637.151042	282.104034	153.977783	-777.194092
7637.154372	291.747528	158.653427	-763.459351
7637.157710	300.806549	163.679718	-748.789673
7637.161066	309.105774	167.887772	-733.769165
7637.164377	316.002350	171.745178	-718.631836
7637.168568	330.847473	179.635284	-687.305054
7637.171928	337.218018	182.908249	-671.641724
7637.175294	342.536499	185.421387	-655.627686
7637.178147	347.971924	188.869659	-639.905884
7637.181495	352.881348	190.681458	-624.359497
7637.184796	356.972534	192.727066	-609.222046
7637.187703	360.303955	194.363525	-593.909424
7637.191041	363.226196	196.935120	-577.953857
7637.194370	365.622437	198.104034	-563.342529
7637.197703	367.375793	200.324951	-548.497375
7637.201038	369.421387	201.727646	-532.833984
7637.204408	370.181152	202.370544	-518.690186
7637.207705	371.116333	204.299240	-503.962006
7637.211031	370.531860	204.766800	-489.292206
7637.214367	371.116333	205.526581	-475.382263
7637.217699	369.947388	206.052597	-461.764465
7637.221033	369.304504	207.104614	-448.029816
7637.224366	367.784912	207.396835	-434.879608
7637.227697	366.557556	207.630615	-421.437164
7637.231033	364.395081	207.922852	-408.812958
7637.234365	362.875488	207.338394	-396.247223
7637.237698	360.946838	207.513733	-384.616608
7637.241980	355.920532	206.987717	-360.712463
7637.245214	352.881348	206.520157	-349.958527
7637.248577	350.368225	205.409698	-339.438354
7637.251462	347.445923	204.182343	-328.859741
7637.254794	344.172974	203.247223	-318.690247
7637.258129	341.367615	202.136765	-308.696075
7637.261034	337.627136	199.857391	-299.753967
7637.264360	334.412598	198.630035	-289.935120
7637.267696	331.022766	196.584442	-280.700745
7637.271030	328.334290	195.415543	-271.641724
7637.274363	324.886047	193.428406	-263.634705
7637.277693	321.320862	191.324371	-254.809479
7637.281025	318.398590	189.044998	-247.445358
7637.284416	314.716553	186.707184	-239.438339
7637.287706	311.326721	184.486267	-231.606674
7637.291059	307.878418	181.739319	-223.482758
7637.294359	304.722382	180.161301	-216.878433
7637.297699	301.098755	177.648163	-208.929871
7637.301030	297.533630	174.784332	-202.617767
7637.304358	294.260681	172.738754	-196.247223
7637.307688	291.104614	170.167160	-189.526001
7637.311022	287.773224	167.829346	-183.097015
7637.315260	280.409119	162.861481	-171.700180
7637.318561	277.311523	160.523666	-165.329636
7637.321969	273.395691	158.711853	-160.361786
7637.324808	270.239624	156.490936	-155.043243
7637.328139	266.440674	154.328461	-149.607834
7637.331496	262.992401	152.575104	-145.224426
7637.334389	259.777893	149.652832	-140.315033
7637.337692	256.037415	148.016373	-135.814728
7637.341045	253.173584	146.146118	-131.431335
7637.344357	249.666855	144.509644	-127.457047
7637.347687	245.809479	142.697830	-123.132088
7637.351021	242.302750	140.944473	-119.625366
7637.354356	239.029800	139.600235	-115.592636
7637.357690	235.756866	137.846878	-111.501465
7637.361016	233.009933	136.385742	-108.345413
7637.364348	229.795441	134.573929	-105.130920
7637.367690	226.814728	132.879013	-102.676216
7637.371018	224.126236	132.060791	-100.046173
7637.374355	220.736404	130.482758	-97.065460
7637.377685	218.398590	128.787842	-93.383408
7637.381019	215.008774	127.735825	-90.928696
7637.384356	212.203384	126.917587	-88.240211
7637.388616	206.884857	124.287552	-83.623032
7637.391881	204.663925	122.592636	-81.051437
7637.395203	202.384567	121.482178	-78.187614
7637.398121	199.286957	120.313263	-76.726479
7637.401438	197.358276	119.378143	-74.564003
7637.404775	194.903564	118.092346	-73.278206
7637.407688	192.799530	116.514313	-71.524841
7637.411017	190.929291	115.228516	-68.661018
7637.414348	189.175919	113.124481	-66.147873
7637.417678	186.195206	112.598480	-64.628288
7637.421038	184.324951	111.195801	-62.816483
7637.424343	182.162476	110.377563	-60.829342
7637.427682	180.233780	108.273529	-59.309765
7637.431013	178.421967	107.279953	-58.140854
7637.434391	176.493286	106.403275	-56.855057
7637.437682	175.382812	105.000580	-55.335480
7637.441009	173.571014	103.013443	-52.939220
7637.444347	171.759201	102.487442	-52.237877
7637.447676	170.824066	101.143188	-50.776741
7637.451010	168.661606	100.500290	-49.432499
7637.454339	167.200470	98.922272	-48.789600
7637.457680	166.148437	98.513153	-47.386909
7637.461860	163.109283	96.058441	-44.230862
7637.465255	161.940384	94.655762	-43.529518
7637.468549	160.420807	94.597321	-42.886620
7637.471484	159.193451	93.545303	-41.600822
7637.474790	157.849213	92.610168	-40.665695
7637.478129	156.271179	91.791939	-38.795444
7637.481011	155.628296	91.324371	-38.678555
7637.484353	153.582703	90.739914	-37.217422
7637.487678	152.121567	90.389244	-36.340740
7637.491002	151.595551	89.629456	-35.873177
7637.494340	151.011108	88.694336	-35.639397
7637.497678	149.842194	88.460556	-34.879604
7637.501007	148.264160	88.285210	-34.236706
7637.504339	147.270599	87.408539	-33.360023
7637.507675	146.277039	87.291641	-33.009354
7637.511008	144.932785	86.824081	-32.541790
7637.514365	144.231445	86.531853	-31.548222
7637.517675	143.296326	85.888954	-31.489777
7637.520999	142.478088	85.888954	-31.139103
7637.524333	141.718292	85.421394	-29.736416
7637.527674	141.192291	85.012268	-30.203976
7637.531004	140.140259	84.720047	-29.327297
7637.535263	138.737579	84.252487	-28.392174
7637.538597	138.679138	83.726471	-28.684399
7637.541457	138.036224	83.434250	-28.801289
7637.544759	137.860901	83.551147	-28.684399
7637.548099	137.334900	83.083580	-28.099945
7637.551423	136.399765	83.025131	-27.398602
7637.554333	136.516663	82.849792	-27.749275
7637.557688	135.815308	82.557571	-27.515491
7637.560998	135.756866	81.856224	-27.223267
7637.564330	135.230865	81.505554	-26.697258
7637.567667	134.704849	81.154877	-26.697258
7637.571006	134.295731	81.563995	-26.580368
7637.574328	134.237289	80.511978	-25.586792
7637.577662	133.945068	80.102859	-26.112801
7637.581002	133.945068	80.453537	-26.112801
7637.584332	133.652832	80.453537	-26.288136
7637.587666	133.477493	79.985977	-25.411457
7637.591001	133.068390	79.810638	-25.177677
7637.594372	133.302155	79.985977	-25.411457
7637.597667	132.717712	79.109291	-24.943893
7637.601030	132.776154	79.576859	-26.171246
