time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
7636.036829	212.375580	1.346256	0.002641	77
7638.125592	213.867142	1.296408	0.024115	79
7640.224098	212.395081	1.210592	0.021252	81
7642.315559	212.085892	1.148181	0.019698	83
7644.408256	212.504730	1.044590	0.034622	85
7646.496321	211.014359	1.000294	0.020791	87
7648.587894	211.390015	0.932000	0.023078	89
7650.686870	212.464905	0.852248	0.041856	91
7652.788911	213.059189	0.816464	0.021311	93
7654.868249	211.789703	0.766314	0.016159	95
7656.970776	212.897110	0.691455	0.041715	97
7659.070091	213.497009	0.671182	0.016915	99
7661.155927	212.449203	0.638882	0.005204	101
7663.252539	213.052155	0.596070	0.009122	103
7665.354130	214.539474	0.531588	0.030550	105
7667.431724	210.978897	0.504695	0.020251	107
7669.535118	212.692520	0.461313	0.023643	109
7671.626294	213.293549	0.438930	0.023648	111
7673.710707	214.753403	0.401064	0.022374	113
7675.847600	210.443756	0.378487	0.019079	115
7677.926512	213.519241	0.329519	0.006117	117
7680.006027	217.306351	0.325250	0.024129	119
