time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
2611.819143	37.828835	1.822520	-0.040114	33
2613.907161	38.196297	1.862924	-0.000825	35
2615.999767	37.448353	1.779078	-0.015981	37
2618.093169	37.275383	1.765731	-0.009220	39
2620.177849	35.743042	1.746103	-0.015310	41
2622.273387	37.974651	1.667901	0.010262	43
2624.355963	34.809799	1.671653	-0.007509	45
2626.450101	36.143391	1.677887	-0.030643	47
2628.542341	36.887211	1.649703	-0.032889	49
2630.632744	37.110748	1.614892	-0.030554	51
2632.724403	37.514538	1.579702	-0.025603	53
2634.817747	38.505390	1.528290	-0.009989	55
2636.906536	38.475929	1.452642	0.022351	57
2638.986544	34.740162	1.425987	0.017989	59
2641.086348	38.261684	1.438367	-0.000848	61
2643.164965	35.302830	1.384132	0.011468	63
2645.257729	36.369110	1.353719	0.012651	65
2647.347336	37.017132	1.337455	0.014894	67
2649.431916	38.365330	1.299560	0.015511	69
2651.536241	34.995155	1.263292	0.007784	71
2653.614739	38.634937	1.276807	0.028132	73
2655.717393	34.216629	1.225052	0.015925	75
2657.794212	38.406971	1.175718	0.004178	77
2659.885794	37.638901	1.210311	0.041699	79
2661.985049	34.507935	1.138049	0.014489	81
2664.060902	39.322403	1.119355	0.021747	83
2666.166480	34.616627	1.104699	0.025974	85
2668.240374	38.454651	1.087563	0.028905	87
2670.333018	37.759064	1.038715	0.024852	89
2672.428917	36.902168	1.021317	0.028430	91
2674.519187	37.091812	1.004375	0.029163	93
2676.600693	36.396542	0.981848	0.027274	95
2678.691890	35.881214	0.938240	0.034091	97
2680.794187	38.840111	0.930459	0.034132	99
2682.865957	35.125549	0.918994	0.026163	101
2684.973229	38.380466	0.869217	0.043282	103
2687.047395	35.788334	0.884795	0.024416	105
2689.143791	37.200111	0.824342	0.045249	107
2691.239482	37.861229	0.842274	0.030198	109
2693.310072	35.675392	0.800957	0.037166	111
2695.409523	36.683533	0.770658	0.039653	113
2697.511012	36.995056	0.761841	0.038209	115
2699.603994	36.551437	0.748240	0.038221	117
2701.688683	36.421543	0.734156	0.039459	119
2703.769579	37.643871	0.717492	0.043037	121
2705.850972	39.143856	0.684572	0.042261	123
2707.961421	36.121433	0.662268	0.035413	125
2710.052599	35.683716	0.675232	0.046124	127
2712.115258	39.657192	0.642021	0.044505	129
2714.234818	36.312428	0.611881	0.035997	131
