time (s)	magX	magY	magZ
2612.137859	70.473404	53.977791	-6.825836
2612.141114	69.596725	53.218002	-6.416718
2612.144447	68.369377	52.049095	-5.773823
2612.147346	66.323784	51.055523	-4.312687
2612.150712	65.213326	49.886616	-5.014030
2612.154022	63.576855	49.477501	-4.488026
2612.156921	62.641727	48.367035	-4.020462
2612.160261	61.765049	47.841026	-3.494450
2612.163599	60.713032	46.789013	-3.962013
2612.166926	59.894798	46.379894	-2.851547
2612.170255	59.135010	46.029221	-2.559326
2612.173586	57.966103	45.094097	-2.267097
2612.176921	57.089420	44.275864	-1.857979
2612.180277	56.446522	43.983635	-1.507309
2612.183607	55.745178	43.749855	-1.682640
2612.186922	54.751606	42.405609	-0.981300
2612.190255	54.167152	41.470486	-1.215080
2612.193621	53.290474	41.587376	-0.572182
2612.196920	52.881355	41.295151	-0.689072
2612.200249	52.121567	40.886032	-0.221512
2612.203585	51.595558	40.535358	-0.046173
2612.206942	51.069550	39.600235	0.421387
2612.211098	50.485096	38.431328	-0.104622
2612.214450	49.374634	38.139099	0.538284
2612.217797	49.082405	37.613091	0.655174
2612.220698	48.497955	37.437756	0.538284
2612.224048	48.205727	37.087082	0.070717
2612.227426	47.562828	36.502632	0.713615
2612.230254	47.212154	36.093513	0.947395
2612.233586	47.212154	35.509060	0.713615
2612.236946	46.277031	35.684395	1.356514
2612.240249	46.160141	35.509060	1.181175
2612.243580	45.166569	34.807716	1.473404
2612.246917	45.225014	35.392166	1.181175
2612.250263	44.757454	34.515488	1.298065
2612.253586	44.757454	34.457043	1.882523
2612.256918	43.997662	33.989479	1.181175
2612.260248	43.237869	34.047924	1.473404
2612.263591	43.530098	33.872589	2.057861
2612.266909	43.179428	33.638809	1.765633
2612.270248	43.004089	33.112801	1.707184
2612.273585	42.594971	32.879017	1.882523
2612.276918	42.478081	32.469902	1.940971
2612.280265	42.010521	32.703682	2.057861
2612.284518	41.776737	32.119228	1.999413
2612.287832	41.718292	31.768557	2.174751
2612.291169	41.016949	32.353008	1.765633
2612.294023	40.958504	31.476330	1.824081
2612.297327	40.607830	31.417885	1.882523
2612.300666	40.374050	31.359440	1.882523
2612.303582	40.198715	31.593220	2.116302
2612.306916	40.666275	31.067211	2.116302
2612.310240	39.789597	31.067211	2.057861
2612.313576	39.380478	31.242548	2.116302
2612.316911	39.906487	31.242548	2.350082
2612.320238	39.731152	30.716539	2.759201
2612.323597	39.497368	30.716539	3.343658
2612.326908	39.555817	30.658094	2.817642
2612.330245	39.497368	30.774986	2.759201
2612.333568	39.614258	31.125658	2.291641
2612.336906	39.380478	30.833431	2.116302
2612.340237	39.614258	30.599649	2.759201
2612.343570	39.964931	30.891876	2.642311
2612.346912	39.672707	30.482758	1.824081
2612.350284	40.081825	31.125658	2.759201
2612.354849	40.315605	30.599649	2.116302
2612.357751	39.964931	30.248978	2.116302
2612.361157	41.192284	30.774986	1.824081
2612.364442	40.958504	30.891876	1.882523
2612.367363	41.075394	30.482758	2.700752
2612.370694	40.724724	31.125658	1.531845
2612.373567	41.367622	31.242548	1.940971
2612.376902	40.666275	31.359440	1.824081
2612.380234	41.075394	31.300993	1.005844
2612.383605	41.367622	31.008766	1.531845
2612.386904	41.367622	31.359440	1.473404
2612.390241	41.659847	31.768557	1.239624
2612.393573	41.835182	32.119228	1.122734
2612.396899	42.361191	32.002338	1.239624
2612.400240	42.828754	31.943892	1.356514
2612.403569	43.179428	31.710112	1.707184
2612.406896	43.120979	32.002338	1.181175
2612.410261	43.004089	32.236118	1.181175
2612.413567	43.646988	32.528347	0.772064
2612.416905	44.172997	33.171246	0.187607
2612.420229	44.406776	32.995911	0.596725
2612.423573	44.406776	33.346581	0.713615
2612.427760	45.400352	33.580360	0.830505
2612.431160	45.692577	33.872589	0.479836
2612.434490	46.101692	34.924606	1.005844
2612.437348	46.160141	34.573933	0.830505
2612.440659	46.744591	35.216831	0.012268
2612.443991	46.510811	35.801285	0.187607
2612.446892	47.212154	35.099941	0.421387
2612.450231	47.913498	35.567505	0.304497
2612.453599	48.497955	36.268848	-0.104622
2612.456897	48.497955	35.918175	-0.163063
2612.460228	49.140854	36.677967	-0.221512
2612.463560	50.075977	37.496201	-0.689072
2612.466902	50.601986	37.437756	-0.572182
2612.470226	50.894211	37.671535	-0.630623
2612.473564	52.238457	38.548218	-1.039749
2612.476888	52.472237	38.840446	-1.273529
2612.480227	53.290474	38.957336	-1.565750
2612.483558	53.991817	39.775570	-1.682640
2612.486895	54.926941	39.600235	-1.682640
2612.490226	55.511395	40.593803	-1.273529
2612.493551	56.504967	40.944477	-2.734657
2612.496909	57.264755	41.938049	-3.436001
2612.501159	58.901226	43.282291	-4.195793
2612.504407	60.070133	43.808296	-4.546467
2612.507737	61.180595	44.451199	-5.130920
2612.510663	61.297485	45.210987	-5.656929
2612.513977	62.700172	46.029221	-5.949154
2612.517307	63.810635	46.613678	-5.832264
2612.520223	64.570427	47.256577	-6.533607
2612.523550	65.622444	48.250145	-7.293400
2612.526892	66.849792	48.893044	-7.819405
2612.530224	69.187607	49.828171	-8.696087
2612.533581	69.655174	50.120399	-8.637642
2612.536884	70.940971	51.406197	-9.046761
2612.540218	72.285210	52.224430	-9.514324
2612.543579	73.512566	53.334892	-10.741673
2612.546884	74.973701	54.036236	-11.150791
2612.550219	76.493279	54.328461	-12.319698
