time (s)	det(V)
4977.032652	0.696514	
4977.034232	0.706335	
4977.035867	0.714464	
4977.037479	0.673226	
4977.039004	0.758836	
4977.040642	0.716796	
4977.042118	0.742396	
4977.043764	0.730936	
4977.045236	0.727600	
4977.046877	0.735129	
4977.048357	0.751706	
4977.050068	0.733131	
4977.051551	0.759923	
4977.053255	0.758505	
4977.054757	0.734634	
4977.056409	0.730867	
4977.057933	0.767162	
4977.059647	0.749832	
4977.061191	0.766993	
4977.062900	0.757176	
4977.064448	0.772125	
4977.066129	0.733055	
4977.067693	0.716357	
4977.069357	0.726557	
4977.070950	0.766312	
4977.072608	0.733236	
4977.074195	0.673657	
4977.075844	0.694894	
4977.077455	0.702331	
4977.079082	0.712309	
4977.080713	0.655965	
4977.082318	0.689827	
4977.083985	0.657419	
4977.085583	0.666901	
4977.087251	0.618179	
4977.088832	0.667502	
4977.090503	0.608575	
4977.092063	0.619565	
4977.093768	0.579141	
4977.095308	0.593747	
4977.097030	0.543425	
4977.098551	0.573723	
4977.100272	0.524940	
4977.101762	0.515139	
4977.103519	0.513443	
4977.105012	0.497241	
4977.106785	0.467355	
4977.108262	0.436425	
4977.110044	0.438826	
4977.111524	0.419273	
4977.113138	0.415611	
4977.114662	0.383819	
4977.116231	0.377007	
4977.117840	0.348233	
4977.119319	0.345095	
4977.120954	0.370659	
4977.122514	0.257515	
4977.124135	0.260275	
4977.125665	0.269874	
4977.127365	0.228258	
4977.128843	0.236765	
4977.130548	0.192063	
4977.132119	0.173045	
4977.133797	0.148751	
4977.135356	0.167039	
4977.137065	0.121584	
4977.138619	0.119022	
4977.140324	0.085152	
4977.141822	0.085957	
4977.143574	0.045880	
4977.145061	0.041811	
4977.146808	-0.014316	
4977.148293	0.023486	
4977.150077	-0.041881	
4977.151557	-0.012527	
4977.153356	-0.072779	
4977.154834	-0.069012	
4977.156600	-0.096695	
4977.158090	-0.115233	
4977.159848	-0.137643	
4977.161358	-0.171614	
4977.163104	-0.192077	
4977.164632	-0.172125	
4977.166365	-0.205596	
4977.167887	-0.219696	
4977.169597	-0.227740	
4977.171133	-0.271673	
4977.172822	-0.267544	
4977.174367	-0.265183	
4977.176033	-0.313644	
4977.177615	-0.300310	
4977.179270	-0.338346	
4977.180874	-0.345230	
4977.182526	-0.355249	
4977.184133	-0.419673	
4977.185657	-0.378915	
4977.187282	-0.391254	
4977.188772	-0.456464	
4977.190438	-0.418292	
4977.191908	-0.454921	
4977.193555	-0.468029	
4977.195038	-0.431251	
4977.196731	-0.472972	
4977.198217	-0.509727	
4977.199904	-0.497710	
4977.201396	-0.531258	
4977.203053	-0.538235	
4977.204575	-0.535403	
4977.206276	-0.529538	
4977.207822	-0.583469	
4977.209517	-0.554231	
4977.211073	-0.555633	
4977.212752	-0.572367	
4977.214314	-0.624622	
4977.215990	-0.581612	
4977.217563	-0.567444	
4977.219219	-0.603619	
4977.220809	-0.633106	
4977.222417	-0.596678	
4977.224051	-0.601693	
4977.225675	-0.586031	
4977.227320	-0.644542	
4977.228921	-0.627607	
4977.230570	-0.662493	
4977.232155	-0.607482	
4977.233837	-0.620638	
4977.235392	-0.610471	
4977.237098	-0.602753	
4977.238639	-0.612614	
4977.240334	-0.611172	
4977.241853	-0.587542	
4977.243599	-0.597540	
4977.245115	-0.544592	
4977.246874	-0.587912	
4977.248355	-0.547649	
4977.250140	-0.599030	
4977.251628	-0.550618	
4977.253402	-0.556511	
4977.254885	-0.574736	
4977.256666	-0.551069	
4977.258157	-0.550272	
4977.259744	-0.506802	
4977.261282	-0.524696	
4977.262822	-0.501283	
4977.264427	-0.488385	
4977.265914	-0.491821	
4977.267568	-0.470213	
4977.269144	-0.484703	
4977.270783	-0.470350	
4977.272295	-0.456706	
4977.273992	-0.455767	
4977.275479	-0.428552	
4977.277211	-0.446772	
4977.278792	-0.380172	
4977.280496	-0.425277	
4977.282052	-0.389860	
4977.283754	-0.419967	
4977.285310	-0.357210	
4977.287021	-0.370242	
4977.288574	-0.359986	
4977.290299	-0.364236	
4977.291806	-0.274698	
4977.293554	-0.342733	
4977.295036	-0.308883	
4977.296807	-0.327220	
4977.298292	-0.312915	
4977.300080	-0.317918	
4977.301574	-0.291662	
4977.303363	-0.291476	
4977.304846	-0.260821	
4977.306612	-0.271580	
4977.308102	-0.301330	
4977.309847	-0.260994	
4977.311350	-0.280314	
4977.313094	-0.253175	
4977.314607	-0.252736	
4977.316326	-0.222112	
4977.317864	-0.221754	
4977.319580	-0.223663	
4977.321128	-0.204755	
4977.322826	-0.188468	
4977.324377	-0.181978	
4977.326059	-0.193495	
4977.327624	-0.174163	
4977.329296	-0.176520	
4977.330934	-0.181708	
4977.332425	-0.162804	
4977.334066	-0.159968	
4977.335595	-0.160145	
4977.337221	-0.131326	
4977.338701	-0.105956	
4977.340324	-0.143496	
4977.341822	-0.157160	
4977.343446	-0.168649	
4977.344950	-0.163186	
4977.346656	-0.114077	
4977.348132	-0.132201	
4977.349817	-0.117207	
4977.351333	-0.107314	
4977.353059	-0.104824	
4977.354580	-0.078660	
4977.356295	-0.083369	
4977.357833	-0.109706	
4977.359536	-0.067659	
4977.361098	-0.092296	
4977.362786	-0.074970	
4977.364351	-0.084952	
4977.366039	-0.063973	
4977.367619	-0.061213	
4977.369284	-0.054905	
4977.370867	-0.051086	
4977.372499	-0.037688	
4977.374108	-0.058857	
4977.375728	-0.018525	
4977.377369	-0.011822	
4977.379006	-0.019621	
4977.380637	-0.049382	
4977.382225	-0.015230	
4977.383900	-0.030924	
4977.385474	-0.006062	
4977.387173	-0.048548	
4977.388744	0.007494	
4977.390443	-0.034336	
4977.391994	0.022781	
4977.393673	0.001024	
4977.395230	0.025351	
4977.396944	-0.025998	
4977.398467	0.010434	
4977.400227	-0.006263	
4977.401705	0.010177	
4977.403469	0.005230	
4977.404951	0.017009	
4977.406483	0.000787	
4977.408013	0.004327	
4977.409579	0.024320	
4977.411149	0.010015	
4977.412651	0.014394	
4977.414302	0.019196	
4977.415787	-0.007842	
4977.417429	0.032989	
4977.418956	0.016360	
4977.420641	0.003538	
4977.422116	0.038657	
4977.423814	0.039833	
4977.425296	0.027321	
4977.427022	0.028433	
4977.428583	0.030918	
4977.430301	0.015176	
4977.431822	0.057646	
4977.433562	0.025085	
4977.435047	0.089687	
4977.436845	0.019438	
4977.438323	0.035845	
4977.440077	0.049384	
