crossing time (s)	slope (V/s)	crossing number
2021.212606	-28.968294	3067
2022.241189	-28.049649	3068
2023.311749	-27.614868	3069
2024.314830	-26.711534	3070
2025.390985	-25.413763	3071
2026.416921	-24.925892	3072
2027.463055	-24.534256	3073
2028.525721	-24.707750	3074
2029.566545	-23.284788	3075
2030.601418	-23.310540	3076
2031.653464	-22.603682	3077
2032.692452	-20.968321	3078
2033.746585	-20.090508	3079
2034.794002	-21.319676	3080
2035.836048	-20.293940	3081
2036.883895	-18.354190	3082
2037.924199	-16.656990	3083
2038.974200	-17.354989	3084
2040.023810	-17.525920	3085
2041.052425	-16.356757	3086
2042.103052	-14.934862	3087
2043.151698	-15.648571	3088
2044.210000	-14.861477	3089
2045.245772	-13.673365	3090
2046.294998	-13.289916	3091
2047.343111	-12.269682	3092
2048.375823	-12.257394	3093
2049.443422	-11.595527	3094
2050.462659	-10.354943	3095
2051.526717	-11.050786	3096
2052.570340	-10.247104	3097
2053.628384	-10.339736	3098
2054.648662	-9.555033	3099
2055.697013	-10.098930	3100
2056.759980	-8.182715	3101
2057.800965	-7.850317	3102
2058.829935	-7.929957	3103
2059.889316	-7.417294	3104
2060.943126	-6.911403	3105
2061.960446	-7.062989	3106
2063.041386	-5.365593	3107
2064.078531	-5.598737	3108
2065.100921	-5.877442	3109
2066.175986	-5.731031	3110
2067.230112	-5.224073	3111
2068.239671	-5.378251	3112
2069.310865	-5.556820	3113
2070.343784	-5.206151	3114
2071.384257	-4.617901	3115
2072.463060	-4.869062	3116
2073.489003	-4.683194	3117
2074.537153	-4.213039	3118
2075.575031	-2.872564	3119
2076.635490	-3.324863	3120
2077.643363	-3.484945	3121
2078.714587	-4.302567	3122
2079.755882	-3.611746	3123
2080.810546	-3.302632	3124
2081.877109	-1.916332	3125
2082.901372	-2.161737	3126
2083.959519	-1.421253	3127
2084.998857	-2.393990	3128
2086.024637	-2.437191	3129
2087.110788	-2.517893	3130
2088.139521	-1.730795	3131
2089.171544	-2.220374	3132
2090.257732	-1.284769	3133
2091.271487	-2.225368	3134
2092.320346	-1.689561	3135
2093.390634	-1.065775	3136
2094.401884	-2.422962	3137
2095.483271	-1.522992	3138
2096.505914	-1.217900	3139
2097.567004	-0.986768	3140
2098.616052	-0.876645	3141
2099.665169	-0.429284	3142
2100.703959	-0.581581	3143
