time (s)	det(V)
3319.011535	-0.114695	
3319.013029	-0.109644	
3319.014673	-0.112701	
3319.016239	-0.113527	
3319.017850	-0.122937	
3319.019392	-0.108439	
3319.021077	-0.117684	
3319.022569	-0.115719	
3319.024294	-0.128613	
3319.025767	-0.111211	
3319.027497	-0.108202	
3319.029045	-0.115714	
3319.030747	-0.110288	
3319.032274	-0.115279	
3319.034015	-0.125225	
3319.035530	-0.108737	
3319.037290	-0.112637	
3319.038796	-0.105269	
3319.040564	-0.102425	
3319.042049	-0.124412	
3319.043841	-0.106187	
3319.045324	-0.121000	
3319.047105	-0.122281	
3319.048590	-0.128883	
3319.050369	-0.122567	
3319.051859	-0.123247	
3319.053635	-0.120689	
3319.055133	-0.125326	
3319.056891	-0.108049	
3319.058396	-0.118373	
3319.060139	-0.115066	
3319.061665	-0.121914	
3319.063387	-0.120343	
3319.064930	-0.128404	
3319.066653	-0.114740	
3319.068200	-0.124593	
3319.069904	-0.110554	
3319.071457	-0.125463	
3319.073135	-0.107211	
3319.074705	-0.127038	
3319.076368	-0.111231	
3319.077964	-0.125137	
3319.079595	-0.114014	
3319.081212	-0.109861	
3319.082743	-0.120806	
3319.084376	-0.113865	
3319.085863	-0.121052	
3319.087506	-0.106232	
3319.089000	-0.120988	
3319.090645	-0.118240	
3319.092146	-0.114913	
3319.093863	-0.109467	
3319.095349	-0.116685	
3319.097059	-0.120476	
3319.098540	-0.131272	
3319.100234	-0.112911	
3319.101755	-0.110868	
3319.103495	-0.099259	
3319.105018	-0.119767	
3319.106756	-0.107380	
3319.108290	-0.116975	
3319.110015	-0.109176	
3319.111558	-0.120182	
3319.113262	-0.106743	
3319.114817	-0.137193	
3319.116492	-0.106566	
3319.118062	-0.124597	
3319.119722	-0.104915	
3319.121315	-0.119030	
3319.122968	-0.109301	
3319.124576	-0.110909	
3319.126222	-0.109438	
3319.127838	-0.119368	
3319.129474	-0.092894	
3319.131105	-0.111098	
3319.132708	-0.106985	
3319.134385	-0.098836	
3319.135975	-0.096697	
3319.137664	-0.136041	
3319.139259	-0.102304	
3319.140920	-0.119135	
3319.142497	-0.110453	
3319.144193	-0.138201	
3319.145742	-0.099871	
3319.147467	-0.106852	
3319.149007	-0.103984	
3319.150714	-0.095408	
3319.152239	-0.104923	
3319.153957	-0.114071	
3319.155441	-0.104286	
3319.157084	-0.110159	
3319.158593	-0.120303	
3319.160188	-0.112717	
3319.161718	-0.126188	
3319.163273	-0.132803	
3319.164846	-0.129503	
3319.166453	-0.098586	
3319.168025	-0.098376	
3319.169610	-0.094791	
3319.171218	-0.094505	
3319.172754	-0.107799	
3319.174403	-0.122152	
3319.176017	-0.096709	
3319.177708	-0.115771	
3319.179317	-0.094372	
3319.180997	-0.113245	
3319.182587	-0.095710	
3319.184249	-0.097301	
3319.185825	-0.087255	
3319.187528	-0.105346	
3319.189076	-0.103094	
3319.190790	-0.115843	
3319.192331	-0.103174	
3319.194054	-0.119437	
3319.195604	-0.101349	
3319.197328	-0.116782	
3319.198844	-0.103899	
3319.200594	-0.099162	
3319.202080	-0.100242	
3319.203862	-0.101845	
