time (s)	magX	magY	magZ
9981.836568	220.871399	128.516068	244.495605
9981.839883	219.234955	128.516068	237.715973
9981.844072	216.137329	128.340744	225.734680
9981.847402	214.617767	127.697845	219.714783
9981.850761	213.039734	127.113388	213.987152
9981.853634	210.935699	126.295151	208.025726
9981.856989	208.890106	126.353592	203.057861
9981.860339	207.019867	125.710693	197.330231
9981.863223	205.675629	124.424896	192.596130
9981.866549	204.331390	124.308014	187.219177
9981.869881	201.526001	123.197540	181.316193
9981.873213	199.947968	122.846878	177.108124
9981.876545	197.843948	122.203979	172.315598
9981.879912	195.447693	121.093506	167.172409
9981.883212	193.752777	120.333725	162.087662
9981.886547	190.888947	119.164825	159.106949
9981.889874	188.960266	118.521912	154.314423
9981.893226	187.148453	117.762131	150.281693
9981.896546	185.102859	117.528351	145.664536
9981.899872	183.291046	116.184097	142.391586
9981.903213	180.719452	115.073639	137.949738
9981.906546	178.264740	114.196960	134.676804
9981.909874	176.511398	113.028061	129.650497
9981.913212	173.998260	112.326706	126.728226
9981.917471	169.907074	110.690247	119.539444
9981.920793	168.212158	109.813553	115.740509
9981.923685	166.458801	108.878433	112.759781
9981.926972	164.880768	108.118652	109.486847
9981.930294	162.426056	107.066620	106.330811
9981.933628	160.146698	106.715958	103.174759
9981.936552	158.393341	105.313263	100.252487
9981.939871	156.639984	104.495026	97.447098
9981.943204	154.828171	103.676788	95.109283
9981.946537	152.724136	102.858566	92.713028
9981.949874	151.204559	101.923431	90.725891
9981.953206	149.626526	101.338989	88.563416
9981.956535	147.347168	100.170074	86.284042
9981.959871	146.587372	99.001175	83.770889
9981.963201	144.366455	98.299820	81.842209
9981.966544	142.846863	97.306244	79.855057
9981.969871	141.561066	96.546463	78.218582
9981.973198	140.041504	95.319107	76.406784
9981.976535	138.638809	94.851547	74.127411
9981.979914	137.060791	93.916428	72.490936
9981.983199	136.359436	93.039749	71.029816
9981.987389	133.729401	91.520172	67.756866
9981.990713	132.209808	91.111038	66.704849
9981.994043	131.274689	90.701935	65.477493
9981.996962	129.287552	89.825249	63.665695
9982.000298	128.352417	88.890121	62.204559
9982.003681	126.891296	88.071884	60.860321
9982.006528	126.073051	87.019867	60.626541
9982.009867	124.962593	86.610748	58.990067
9982.013201	123.559906	85.909409	57.996490
9982.016536	122.624779	85.208069	56.009346
9982.019936	121.631210	84.448273	55.308006
9982.023199	120.403854	83.162476	54.022209
9982.026534	119.527176	82.928696	51.976631
9982.029862	118.708939	82.402687	51.625946
9982.033195	117.540031	81.701340	50.340157
9982.036531	116.429573	81.292229	49.112801
9982.039864	115.436005	80.473984	48.469894
9982.043201	114.091759	79.889534	46.774994
9982.046563	113.565750	79.597313	46.599648
9982.049858	112.922852	79.480423	45.372299
9982.053193	111.695496	78.720627	44.846291
9982.056528	111.227936	77.960846	43.209824
9982.060727	109.182343	77.493279	41.690239
9982.064169	108.481003	77.084160	41.281120
9982.066977	107.604324	76.791931	40.170662
9982.070314	106.727646	76.032143	39.936882
9982.073626	106.201630	75.564575	38.125076
9982.076958	105.324951	75.389244	37.832848
9982.079859	104.857391	75.330795	37.599060
9982.083194	104.623611	74.629456	36.839279
9982.086530	103.396255	74.337234	36.839279
9982.089900	103.337814	73.811218	36.430161
9982.093191	102.694916	73.928116	35.728813
9982.096521	102.344238	73.109879	35.319702
9982.099855	101.701340	73.051430	35.261253
9982.103188	100.941551	72.700760	34.384575
9982.106524	100.590881	72.642319	34.033905
9982.109858	100.240204	72.057861	34.209236
9982.113191	99.772644	71.824081	33.741669
9982.116526	99.129745	71.940971	33.390999
9982.119854	98.779076	71.531853	33.917007
9982.123185	98.720627	70.947403	33.741669
9982.126527	98.428406	71.122734	32.455872
9982.130812	98.136177	70.947403	32.222092
9982.134059	97.668610	69.953827	32.397430
9982.137366	97.668610	70.421387	32.046761
9982.140281	97.376389	70.421387	31.812981
9982.143619	97.493279	70.070724	31.228523
9982.146939	97.025711	70.012276	31.696091
9982.149849	97.142609	69.836937	31.228523
9982.153185	96.733490	69.836937	31.286964
9982.156518	96.616592	69.720047	30.760963
9982.159849	96.791931	69.661606	30.760963
9982.163185	95.798363	69.486267	30.644073
9982.166520	95.739914	69.661606	30.760963
9982.169846	95.739914	69.603157	30.585625
9982.173185	95.798363	69.427826	29.942719
9982.176527	95.856804	69.077148	30.001167
9982.179846	95.155464	69.369377	30.234955
9982.183180	95.213905	69.310928	30.351845
9982.186516	95.272354	69.486267	30.410286
9982.189850	95.097015	69.544708	30.118057
9982.193185	95.155464	70.012276	29.942719
9982.196514	95.330795	69.427826	30.760963
9982.199853	95.506134	69.077148	30.351845
9982.204050	95.915253	69.661606	30.234955
9982.207474	95.447693	69.603157	30.234955
9982.210712	95.564575	69.836937	30.585625
9982.213625	95.798363	69.661606	30.936295
9982.216964	96.499702	70.479836	30.468735
9982.219880	96.265923	70.421387	30.760963
9982.223177	96.675041	70.888954	31.345413
9982.226511	96.558151	71.239624	31.286964
9982.229843	97.259491	71.122734	31.286964
9982.233176	97.551720	70.888954	31.579201
9982.236507	97.493279	71.824081	31.170074
9982.239850	97.551720	71.707184	31.637642
