time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
9981.666017	217.461624	1.202297	0.020851	243
9983.748204	217.465134	1.199393	0.019129	245
9985.830665	217.589493	1.197239	0.017590	247
9987.912727	217.667542	1.191496	0.016112	249
9989.992917	217.764679	1.185382	0.014530	251
9992.076244	217.775772	1.179221	0.013127	253
9994.160123	217.806229	1.175581	0.011634	255
9996.243140	217.772537	1.169155	0.009952	1
9998.325366	217.783157	1.164124	0.008965	3
10000.409228	217.648422	1.159065	0.007354	5
10002.493225	217.668671	1.154580	0.005714	7
10004.575455	217.687805	1.147637	0.004795	9
10006.659222	217.625458	1.145570	0.003407	11
10008.740179	217.677963	1.141634	0.002360	13
10010.825360	217.708939	1.138937	0.000809	15
10012.906408	217.708221	1.133268	-0.000504	17
10014.989801	217.749313	1.129610	-0.002329	19
10017.071098	217.678253	1.123869	-0.003144	21
10019.152348	217.690796	1.120667	-0.004700	23
10021.236319	217.650833	1.116766	-0.005808	25
10023.318455	217.648148	1.114205	-0.007189	27
10025.401389	217.634995	1.110054	-0.008818	29
10027.481804	217.596054	1.103317	-0.009700	31
10029.564839	306.424591	-0.010117	0.100000	33
