time (s)	det(V)
2220.782201	0.091355	
2220.783711	0.115614	
2220.785458	0.086026	
2220.786970	0.113604	
2220.788689	0.096149	
2220.790223	0.116145	
2220.791921	0.104439	
2220.793471	0.091037	
2220.794952	0.117431	
2220.796632	0.078046	
2220.798120	0.154213	
2220.799761	0.095786	
2220.801291	0.152916	
2220.802909	0.078102	
2220.804389	0.127731	
2220.806118	0.127042	
2220.807608	0.098904	
2220.809338	0.110228	
2220.810827	0.122663	
2220.812532	0.120951	
2220.814015	0.139840	
2220.815801	0.146072	
2220.817286	0.131695	
2220.819060	0.145319	
2220.820546	0.157766	
2220.822329	0.149282	
2220.823814	0.186214	
2220.825589	0.161883	
2220.827088	0.195471	
2220.828837	0.192776	
2220.830345	0.172123	
2220.832068	0.192720	
2220.833595	0.183350	
2220.835327	0.211178	
2220.836881	0.217703	
2220.838618	0.229555	
2220.840144	0.205119	
2220.841842	0.249245	
2220.843399	0.263675	
2220.845076	0.280332	
2220.846662	0.277101	
2220.848337	0.262039	
2220.849934	0.286121	
2220.851596	0.292695	
2220.853196	0.298181	
2220.854848	0.323866	
2220.856446	0.303213	
2220.858093	0.363654	
2220.859720	0.320877	
2220.861333	0.379070	
2220.863010	0.355585	
2220.864614	0.408158	
2220.866294	0.390913	
2220.867773	0.420469	
2220.869410	0.441279	
2220.870895	0.453594	
2220.872538	0.464208	
2220.874041	0.488854	
2220.875671	0.479307	
2220.877172	0.535143	
2220.878871	0.553065	
2220.880371	0.548465	
2220.882042	0.601546	
2220.883572	0.627916	
2220.885205	0.630973	
2220.886761	0.647396	
2220.888443	0.689468	
2220.890012	0.684638	
2220.891691	0.730702	
2220.893274	0.772198	
2220.894941	0.775126	
2220.896527	0.789262	
2220.898165	0.806809	
2220.899766	0.843346	
2220.901405	0.892665	
2220.903037	0.903751	
2220.904628	0.976635	
2220.906306	0.937133	
2220.907894	0.994448	
2220.909566	1.018207	
2220.911163	1.058035	
2220.912816	1.071683	
2220.914391	1.117397	
2220.916092	1.095366	
2220.917636	1.172822	
2220.919344	1.170248	
2220.920889	1.213617	
2220.922610	1.208541	
2220.924117	1.259226	
2220.925865	1.282900	
2220.927361	1.309104	
2220.929144	1.292318	
2220.930629	1.330511	
2220.932406	1.331083	
2220.933885	1.381099	
2220.935682	1.351627	
2220.937162	1.382432	
2220.938944	1.358786	
2220.940438	1.372136	
2220.942021	1.385356	
2220.943566	1.397188	
2220.945109	1.395451	
2220.946719	1.387782	
2220.948213	1.389151	
2220.949869	1.394589	
2220.951428	1.374754	
2220.953083	1.385514	
2220.954614	1.388704	
2220.956294	1.332078	
2220.957778	1.332541	
2220.959505	1.305467	
2220.961062	1.318921	
2220.962772	1.247036	
2220.964332	1.279190	
2220.966025	1.231483	
2220.967583	1.210801	
2220.969280	1.153080	
2220.970821	1.149502	
2220.972554	1.091406	
2220.974035	1.070072	
2220.975825	1.044017	
2220.977307	1.020060	
2220.979096	0.954882	
2220.980578	0.945536	
2220.982342	0.886819	
2220.983824	0.847209	
2220.985607	0.799623	
2220.987104	0.775187	
2220.988876	0.725546	
2220.990378	0.685927	
2220.992126	0.648057	
2220.993643	0.586238	
2220.995375	0.558362	
2220.996909	0.531719	
2220.998636	0.475186	
2221.000181	0.444844	
2221.001895	0.385298	
2221.003447	0.330315	
2221.005148	0.308308	
2221.006708	0.250015	
2221.008387	0.212007	
2221.009960	0.139687	
2221.011642	0.111823	
2221.013270	0.044292	
2221.014761	0.033331	
2221.016405	-0.015850	
2221.017925	-0.052637	
2221.019540	-0.107394	
2221.021020	-0.136370	
2221.022667	-0.211268	
2221.024158	-0.213649	
2221.025874	-0.260551	
2221.027370	-0.326023	
2221.029082	-0.338463	
2221.030569	-0.377005	
2221.032264	-0.439118	
2221.033761	-0.454394	
2221.035500	-0.527048	
2221.037015	-0.555178	
2221.038755	-0.592859	
2221.040269	-0.633658	
2221.041992	-0.675379	
2221.043542	-0.698200	
2221.045249	-0.749955	
2221.046802	-0.793558	
2221.048498	-0.821305	
2221.050043	-0.853898	
2221.051721	-0.878995	
2221.053307	-0.930642	
2221.054964	-0.933462	
2221.056568	-0.983380	
2221.058220	-0.999768	
2221.059830	-1.014701	
2221.061474	-1.046891	
2221.063085	-1.090332	
2221.064720	-1.082147	
2221.066355	-1.135760	
2221.067952	-1.112420	
2221.069628	-1.157891	
2221.071228	-1.141303	
2221.072890	-1.178778	
2221.074485	-1.186396	
2221.076149	-1.201434	
2221.077728	-1.164530	
2221.079426	-1.208277	
2221.080978	-1.195411	
2221.082684	-1.186235	
2221.084230	-1.184841	
2221.085951	-1.185461	
2221.087432	-1.192245	
2221.089078	-1.162278	
2221.090574	-1.161452	
2221.092188	-1.141311	
2221.093708	-1.147655	
2221.095276	-1.124263	
2221.096821	-1.118950	
2221.098434	-1.100242	
2221.100003	-1.079472	
2221.101584	-1.079988	
2221.103180	-1.044784	
2221.104736	-1.030544	
2221.106367	-1.035656	
2221.107998	-1.000968	
2221.109675	-0.963388	
2221.111254	-0.926106	
2221.112924	-0.934150	
2221.114504	-0.879172	
2221.116200	-0.885452	
2221.117768	-0.810404	
2221.119439	-0.796555	
2221.121008	-0.768723	
2221.122712	-0.789602	
2221.124258	-0.718527	
2221.125981	-0.727659	
2221.127505	-0.659782	
2221.129233	-0.678098	
