time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
2221.015671	214.119720	1.708620	0.036627	177
2223.106759	214.045975	1.607740	0.064442	179
2225.203929	214.523788	1.592971	0.054182	181
2227.294375	213.401443	1.553292	0.055831	183
2229.384790	213.163681	1.531851	0.062145	185
2231.465484	216.631210	1.484645	0.061198	187
2233.567592	211.929977	1.452076	0.064688	189
2235.648896	215.406494	1.379994	0.042176	191
2237.735724	216.316086	1.391155	0.076585	193
2239.836847	213.484985	1.371169	0.087715	195
2241.929009	212.624069	1.279869	0.053228	197
2244.009674	216.510101	1.243022	0.053237	199
2246.108721	214.074310	1.261323	0.084085	201
2248.193985	215.201782	1.171654	0.056821	203
2250.294124	212.991394	1.168129	0.072177	205
2252.376800	215.056580	1.135011	0.071442	207
2254.465589	215.147644	1.090356	0.069760	209
2256.561138	215.163635	1.046881	0.073022	211
2258.657956	216.057144	1.030789	0.069721	213
2260.732071	213.472031	1.007323	0.063848	215
2262.838189	216.160446	0.942312	0.081123	217
2264.916587	213.314468	0.951926	0.060321	219
2267.024275	216.675247	0.889215	0.079697	221
2269.095192	213.149582	0.883376	0.066058	223
2271.202475	216.602081	0.834826	0.078567	225
2273.282391	214.386246	0.838851	0.065422	227
2275.370972	214.363251	0.783069	0.076630	229
2277.474758	215.248245	0.762147	0.073981	231
2279.570249	214.679031	0.745419	0.071781	233
2281.661627	214.221008	0.724348	0.071971	235
2283.740596	215.374542	0.706422	0.075267	237
2285.824495	217.562515	0.674764	0.072827	239
2287.930084	214.152130	0.638305	0.062097	241
2290.022152	214.213821	0.648366	0.077119	243
2292.095014	217.884232	0.603552	0.065791	245
2294.212277	212.830063	0.585250	0.062889	247
2296.281360	216.231979	0.586248	0.073804	249
2298.368699	217.705917	0.543121	0.063700	251
