time (s)	det(V)
1411.433026	0.046250	
1411.434604	0.073703	
1411.436165	0.043052	
1411.437781	0.029782	
1411.439276	0.049001	
1411.440933	0.044913	
1411.442423	0.081276	
1411.444066	0.096854	
1411.445611	0.104081	
1411.447288	0.056252	
1411.448767	0.089712	
1411.450461	0.067781	
1411.451936	0.080140	
1411.453654	0.069534	
1411.455211	0.103783	
1411.456929	0.038987	
1411.458446	0.081123	
1411.460178	0.051644	
1411.461661	0.076438	
1411.463419	0.030330	
1411.464913	0.043144	
1411.466676	0.071061	
1411.468167	0.103186	
1411.469963	0.055974	
1411.471443	0.080902	
1411.473203	0.042169	
1411.474703	0.130744	
1411.476465	0.036143	
1411.477974	0.048949	
1411.479731	0.050053	
1411.481251	0.090654	
1411.482988	0.056800	
1411.484522	0.054097	
1411.486256	0.059769	
1411.487795	0.079170	
1411.489498	0.056406	
1411.491043	0.053626	
1411.492739	0.058955	
1411.494309	0.067209	
1411.495988	0.057300	
1411.497587	0.087097	
1411.499252	0.061074	
1411.500838	0.079286	
1411.502497	0.053876	
1411.504101	0.054653	
1411.505627	0.085281	
1411.507272	0.048486	
1411.508757	0.070062	
1411.510408	0.057312	
1411.511881	0.049211	
1411.513525	0.050609	
1411.515011	0.074331	
1411.516718	0.043684	
1411.518198	0.051382	
1411.519903	0.076152	
1411.521389	0.059443	
1411.523063	0.057928	
1411.524591	0.069578	
1411.526319	0.038028	
1411.527851	0.070742	
1411.529577	0.063238	
1411.531107	0.038419	
1411.532816	0.061336	
1411.534377	0.023160	
1411.536060	0.059068	
1411.537636	0.054935	
1411.539328	0.047084	
1411.540917	0.013174	
1411.542590	0.047100	
1411.544173	0.050206	
1411.545835	0.046878	
1411.547428	0.055233	
1411.549074	0.057558	
1411.550698	0.045509	
1411.552306	0.048977	
1411.553960	0.035116	
1411.555545	0.065175	
1411.557216	0.021806	
1411.558812	0.058673	
1411.560486	0.020022	
1411.562075	0.057368	
1411.563764	0.039160	
1411.565325	0.053227	
1411.567038	0.030657	
1411.568576	0.024864	
1411.570282	0.044111	
1411.571833	0.092886	
1411.573531	0.027998	
1411.575041	0.094586	
1411.576815	0.063197	
1411.578302	0.078231	
1411.579953	0.054826	
1411.581439	0.051104	
1411.583036	0.064245	
1411.584564	0.055044	
1411.586123	0.026338	
1411.587689	0.084092	
1411.589294	0.084999	
1411.590893	0.051632	
1411.592459	0.125060	
1411.594076	0.074505	
1411.595618	0.109708	
1411.597296	0.076394	
1411.598882	0.091794	
1411.600554	0.084141	
1411.602162	0.140734	
1411.603826	0.109781	
1411.605403	0.160187	
1411.607096	0.147985	
1411.608657	0.181855	
1411.610373	0.160675	
1411.611934	0.162942	
1411.613629	0.204781	
