time (s)	magX	magY	magZ
7754.335990	80.058441	46.730568	-931.606689
7754.339321	63.401520	38.080654	-936.399170
7754.343504	32.425480	20.371712	-942.419067
7754.346866	16.294563	11.078901	-943.997070
7754.350192	0.280533	2.136761	-944.815308
7754.353099	-15.675041	-6.805378	-944.815308
7754.356445	-31.981300	-16.098190	-943.997070
7754.359814	-47.995331	-25.215664	-942.302246
7754.362691	-63.600235	-34.742256	-939.438354
7754.365997	-80.023392	-43.684399	-936.749756
7754.369318	-95.511398	-52.684978	-931.139038
7754.372652	-110.590302	-61.744007	-925.995850
7754.375981	-126.019867	-70.686142	-920.034424
7754.379321	-140.280533	-79.569839	-912.553467
7754.382647	-154.774979	-88.862656	-904.955566
7754.385983	-168.977219	-97.454117	-895.721191
7754.389320	-182.185867	-105.344238	-885.727051
7754.392651	-195.452957	-113.760376	-876.375854
7754.395983	-207.843369	-120.890701	-865.095825
7754.399314	-220.759811	-128.488602	-853.640625
7754.402683	-232.448868	-135.911179	-841.776123
7754.405984	-243.728806	-142.866165	-829.327271
7754.409318	-254.482773	-149.236710	-815.417358
7754.412647	-264.360046	-154.964355	-800.689087
7754.416904	-283.354736	-166.068970	-773.745728
7754.420282	-291.829346	-170.744598	-758.842163
7754.423508	-299.894836	-175.537125	-743.295776
7754.426398	-307.258911	-180.154297	-727.106323
7754.429731	-313.571045	-183.953262	-711.033936
7754.433072	-319.532471	-187.869095	-696.539429
7754.435976	-325.552307	-190.499130	-681.109863
7754.439312	-330.637024	-193.246048	-664.453003
7754.442642	-335.254211	-196.460556	-648.322021
7754.445996	-339.170105	-198.856796	-632.717163
7754.449311	-342.559937	-200.610184	-617.112183
7754.452647	-345.423767	-202.480423	-601.624146
7754.455972	-347.820007	-203.707779	-585.376343
7754.459306	-349.982483	-204.993576	-570.706665
7754.462637	-352.144958	-205.402710	-554.984863
7754.465974	-353.781433	-206.863831	-539.555237
7754.469318	-354.775024	-206.513153	-524.476318
7754.472644	-355.301025	-207.565155	-510.332550
7754.475976	-355.534790	-207.506729	-495.545898
7754.479308	-355.125671	-207.740509	-481.226746
