time (s)	det(V)
1249.653705	0.091246	
1249.655250	0.080894	
1249.656988	0.079544	
1249.658532	0.067193	
1249.660231	0.087456	
1249.661783	0.056317	
1249.663477	0.078344	
1249.665040	0.067363	
1249.666696	0.092491	
1249.668282	0.090554	
1249.669925	0.088511	
1249.671534	0.091794	
1249.673189	0.090352	
1249.674789	0.072752	
1249.676417	0.084652	
1249.678051	0.073051	
1249.679658	0.090010	
1249.681317	0.067753	
1249.682906	0.095807	
1249.684580	0.075049	
1249.686058	0.072309	
1249.687703	0.083166	
1249.689194	0.076152	
1249.690840	0.076265	
1249.692340	0.082984	
1249.693946	0.074537	
1249.695460	0.069155	
1249.697112	0.084833	
1249.698640	0.074412	
1249.700288	0.077232	
1249.701826	0.082372	
1249.703443	0.081599	
1249.705009	0.075222	
1249.706688	0.102099	
1249.708264	0.094928	
1249.709914	0.087569	
1249.711519	0.082352	
1249.713166	0.086803	
1249.714786	0.095807	
1249.716420	0.085506	
1249.718037	0.096709	
1249.719651	0.090654	
1249.721298	0.074920	
1249.722899	0.094771	
1249.724580	0.069348	
1249.726147	0.101817	
1249.727847	0.083234	
1249.729426	0.087746	
1249.731118	0.059636	
1249.732669	0.085748	
1249.734363	0.083395	
1249.735902	0.089051	
1249.737632	0.097663	
1249.739137	0.092874	
1249.740879	0.076982	
1249.742364	0.095919	
1249.744142	0.095400	
1249.745627	0.089293	
1249.747406	0.101301	
1249.748903	0.079109	
1249.750680	0.096713	
1249.752163	0.090316	
1249.753916	0.089232	
1249.755419	0.078026	
1249.757158	0.090880	
1249.758678	0.078038	
1249.760228	0.087500	
1249.761832	0.082340	
1249.763314	0.085119	
1249.764984	0.082775	
1249.766475	0.106018	
1249.768120	0.093382	
1249.769654	0.095472	
1249.771321	0.073397	
1249.772797	0.091468	
1249.774529	0.070267	
1249.776019	0.087121	
1249.777746	0.076285	
1249.779300	0.094272	
1249.781009	0.090392	
1249.782558	0.089655	
1249.784276	0.093244	
1249.785779	0.096503	
1249.787532	0.090908	
1249.789018	0.105958	
1249.790810	0.076261	
1249.792301	0.101466	
1249.794085	0.083939	
1249.795562	0.102352	
1249.797353	0.098268	
1249.798837	0.096338	
1249.800598	0.097087	
1249.802090	0.092580	
1249.803842	0.096358	
1249.805365	0.083154	
1249.807114	0.101724	
1249.808627	0.079302	
1249.810363	0.095589	
1249.811899	0.081010	
1249.813605	0.106768	
1249.815153	0.080032	
1249.816833	0.099569	
1249.818381	0.102296	
1249.820065	0.114740	
1249.821650	0.104677	
1249.823323	0.111581	
1249.824919	0.085063	
1249.826563	0.098675	
1249.828154	0.085071	
1249.829796	0.101603	
1249.831415	0.084785	
1249.832948	0.106316	
1249.834587	0.098513	
1249.836061	0.093627	
1249.837691	0.086980	
1249.839168	0.100101	
1249.840814	0.099730	
1249.842300	0.099533	
1249.844012	0.098308	
1249.845501	0.081627	
1249.847194	0.096471	
1249.848713	0.091492	
1249.850367	0.107646	
1249.851904	0.106151	
1249.853626	0.116834	
1249.855164	0.101209	
1249.856865	0.124287	
1249.858413	0.088330	
1249.860086	0.122083	
1249.861654	0.095057	
1249.863322	0.111461	
1249.864910	0.097917	
1249.866572	0.114478	
1249.868173	0.100290	
1249.869816	0.125564	
1249.871430	0.091750	
1249.873075	0.118776	
1249.874706	0.110941	
1249.876314	0.121878	
1249.877994	0.103742	
1249.879595	0.111070	
1249.881257	0.102715	
1249.882858	0.127646	
1249.884549	0.103706	
1249.886137	0.119102	
1249.887845	0.111602	
1249.889406	0.133230	
1249.891107	0.114816	
1249.892667	0.113648	
1249.894364	0.120444	
1249.895921	0.116214	
1249.897638	0.128674	
1249.899172	0.116206	
1249.900924	0.106163	
1249.902417	0.121455	
1249.904192	0.115759	
1249.905676	0.116778	
1249.907328	0.112593	
1249.908830	0.125298	
1249.910408	0.120992	
1249.911972	0.115106	
1249.913514	0.091810	
1249.915087	0.089921	
1249.916664	0.099770	
1249.918273	0.094195	
1249.919838	0.101845	
1249.921445	0.082513	
1249.922975	0.080563	
1249.924663	0.056933	
1249.926266	0.071617	
1249.927924	0.042020	
1249.929526	0.057143	
1249.931218	0.032469	
1249.932782	0.043966	
1249.934484	0.012308	
1249.936058	0.026246	
1249.937744	0.011864	
1249.939297	0.003409	
1249.941003	-0.008994	
1249.942540	-0.027444	
1249.944272	-0.064629	
1249.945777	-0.067558	
1249.947525	-0.108035	
1249.949002	-0.116369	
1249.950783	-0.132494	
1249.952271	-0.160395	
1249.954045	-0.182893	
1249.955537	-0.216275	
1249.957339	-0.243402	
1249.958821	-0.302264	
1249.960596	-0.323038	
1249.962091	-0.385159	
1249.963840	-0.428906	
1249.965353	-0.497702	
1249.967106	-0.536612	
1249.968640	-0.594188	
1249.970388	-0.666746	
1249.971916	-0.752977	
1249.973626	-0.813599	
1249.975164	-0.904756	
1249.976851	-0.984891	
1249.978445	-1.085462	
1249.979933	-1.177034	
1249.981602	-1.277492	
1249.983100	-1.392646	
1249.984745	-1.479202	
1249.986256	-1.528054	
1249.987978	-1.527929	
1249.989457	-1.528340	
1249.991169	-1.528328	
1249.992651	-1.528420	
1249.994349	-1.528408	
1249.995838	-1.528319	
1249.997573	-1.528404	
1249.999062	-1.528360	
1250.000839	-1.528549	
1250.002318	-1.528469	
1250.004096	-1.528541	
1250.005576	-1.528477	
1250.007341	-1.528537	
1250.008820	-1.528606	
1250.010613	-1.528597	
1250.012104	-1.528602	
1250.013877	-1.528549	
1250.015376	-1.528585	
1250.017112	-1.528589	
1250.018624	-1.528573	
1250.020370	-1.528533	
1250.021901	-1.528565	
1250.023624	-1.528561	
1250.025179	-1.528525	
1250.026908	-1.528384	
1250.028460	-1.528481	
1250.030153	-1.528513	
1250.031707	-1.528461	
1250.033394	-1.528432	
1250.034968	-1.528465	
1250.036618	-1.528287	
1250.038224	-1.528416	
1250.039874	-1.528038	
1250.041471	-1.528287	
1250.043092	-1.528263	
1250.044699	-1.475214	
1250.046331	-1.286133	
1250.047984	-1.137637	
1250.049467	-0.986124	
1250.051128	-0.823210	
1250.052603	-0.676882	
1250.054249	-0.514428	
1250.055727	-0.358826	
1250.057366	-0.210676	
1250.058846	-0.060154	
1250.060442	0.118901	
1250.061969	0.262152	
1250.063624	0.433658	
1250.065176	0.586734	
1250.066776	0.755106	
1250.068348	0.916029	
1250.069941	1.087128	
1250.071542	1.236538	
1250.073199	1.419295	
1250.074811	1.568677	
1250.076457	1.709660	
1250.078056	1.726873	
1250.079673	1.727196	
1250.081339	1.726894	
1250.082910	1.727151	
1250.084606	1.727002	
1250.086212	1.727172	
1250.087882	1.727107	
1250.089487	1.727188	
1250.091160	1.727135	
1250.092739	1.727192	
1250.094463	1.727151	
1250.096023	1.727200	
1250.097714	1.727167	
1250.099282	1.727171	
1250.100975	1.727208	
1250.102520	1.727232	
1250.104236	1.727204	
1250.105749	1.727212	
1250.107533	1.727244	
1250.109016	1.727188	
1250.110806	1.727087	
1250.112283	1.727155	
1250.114040	1.727167	
1250.115520	1.727123	
1250.117301	1.727014	
1250.118796	1.727131	
1250.120569	1.727135	
1250.122062	1.727031	
1250.123651	1.727115	
1250.125184	1.727063	
1250.126712	1.727176	
1250.128352	1.726894	
1250.129845	1.727123	
1250.131473	1.726607	
1250.133019	1.726777	
1250.134727	1.643922	
1250.136212	1.528821	
1250.137924	1.421595	
1250.139400	1.322849	
1250.141134	1.212888	
1250.142708	1.140064	
1250.144388	1.052831	
1250.145946	0.970911	
1250.147649	0.892890	
1250.149179	0.838512	
1250.150918	0.755372	
1250.152416	0.715761	
1250.154189	0.644573	
1250.155675	0.595198	
1250.157441	0.555966	
1250.158934	0.507646	
1250.160740	0.471959	
1250.162219	0.418463	
1250.164006	0.382490	
1250.165491	0.357744	
1250.167294	0.332273	
1250.168774	0.304562	
1250.170536	0.275449	
1250.172035	0.260021	
1250.173776	0.227037	
1250.175299	0.207439	
1250.177044	0.202243	
1250.178578	0.175656	
1250.180298	0.171567	
1250.181827	0.162640	
1250.183548	0.155196	
1250.185094	0.139457	
1250.186815	0.134551	
1250.188385	0.116838	
1250.190063	0.123111	
1250.191628	0.082847	
1250.193304	0.107815	
1250.194918	0.090191	
1250.196411	0.086022	
1250.198050	0.089333	
1250.199570	0.078658	
1250.201218	0.076668	
1250.202701	0.057832	
1250.204346	0.072660	
1250.205831	0.077240	
1250.207547	0.069050	
1250.209029	0.064732	
1250.210743	0.066267	
1250.212228	0.059975	
1250.213909	0.056905	
1250.215406	0.062686	
1250.217165	0.069747	
1250.218668	0.064128	
1250.220427	0.065320	
1250.221942	0.051817	
1250.223672	0.091935	
1250.225203	0.052748	
1250.226919	0.058750	
1250.228454	0.039543	
1250.230155	0.058806	
1250.231720	0.040526	
1250.233417	0.068204	
1250.234986	0.061691	
1250.236650	0.058259	
1250.238220	0.041863	
1250.239859	0.068442	
1250.241448	0.037561	
1250.243081	0.063109	
1250.244699	0.060196	
1250.246315	0.057828	
1250.247982	0.051302	
1250.249578	0.058899	
1250.251233	0.046633	
1250.252838	0.052933	
1250.254519	0.042915	
1250.256078	0.051628	
1250.257766	0.027261	
1250.259319	0.058234	
1250.261030	0.037638	
1250.262600	0.056800	
1250.264295	0.032070	
1250.265851	0.055519	
1250.267568	0.048872	
1250.269052	0.051612	
1250.270681	0.055781	
1250.272170	0.042745	
1250.273775	0.048728	
1250.275281	0.044534	
1250.276840	0.051692	
1250.278414	0.026213	
1250.280020	0.057272	
1250.281636	0.041001	
1250.283221	0.059672	
1250.284837	0.050113	
1250.286392	0.055979	
1250.288024	0.048695	
1250.289626	0.064760	
1250.291297	0.043060	
1250.292906	0.063814	
1250.294556	0.038512	
1250.296153	0.058823	
1250.297829	0.041549	
1250.299396	0.057554	
1250.301101	0.045428	
1250.302660	0.058029	
1250.304368	0.049449	
1250.305920	0.055890	
