time (s)	det(V)
3437.433512	-0.880348	
3437.435094	-0.890536	
3437.436680	-0.876892	
3437.438275	-0.916216	
3437.439923	-0.919886	
3437.441522	-0.940878	
3437.443165	-0.931830	
3437.444777	-0.936358	
3437.446403	-0.935862	
3437.448037	-0.959360	
3437.449656	-0.933002	
3437.451333	-0.968576	
3437.452908	-0.938066	
3437.454592	-0.964294	
3437.456164	-0.926037	
3437.457850	-0.952298	
3437.459432	-0.904244	
3437.461108	-0.942118	
3437.462680	-0.907580	
3437.464372	-0.913135	
3437.465923	-0.907314	
3437.467635	-0.894089	
3437.469169	-0.864263	
3437.470897	-0.853810	
3437.472377	-0.842091	
3437.474142	-0.823666	
3437.475634	-0.781211	
3437.477421	-0.778565	
3437.478906	-0.740561	
3437.480701	-0.761352	
3437.482185	-0.738825	
3437.483944	-0.751986	
3437.485438	-0.726720	
3437.487197	-0.692145	
3437.488709	-0.669566	
3437.490265	-0.643020	
3437.491829	-0.658658	
3437.493330	-0.627515	
3437.494996	-0.591344	
3437.496483	-0.573922	
3437.498113	-0.572516	
3437.499637	-0.534654	
3437.501309	-0.567384	
3437.502804	-0.515439	
3437.504511	-0.504884	
3437.506001	-0.482213	
3437.507741	-0.455046	
3437.509276	-0.432878	
3437.510990	-0.431791	
3437.512534	-0.374303	
3437.514259	-0.392442	
3437.515764	-0.356401	
3437.517513	-0.376478	
3437.519000	-0.370653	
3437.520784	-0.343981	
3437.522268	-0.298820	
3437.524053	-0.307626	
3437.525533	-0.273941	
3437.527315	-0.303195	
3437.528797	-0.280169	
3437.530527	-0.231551	
3437.532033	-0.220264	
3437.533779	-0.228449	
3437.535296	-0.196750	
3437.537033	-0.195876	
3437.538558	-0.174119	
3437.540253	-0.164999	
3437.541793	-0.149716	
3437.543483	-0.143335	
3437.545039	-0.147210	
3437.546703	-0.120293	
3437.548299	-0.115366	
3437.549983	-0.101138	
3437.551564	-0.112333	
3437.553203	-0.107241	
3437.554796	-0.079603	
3437.556450	-0.078866	
3437.558065	-0.076936	
3437.559682	-0.066829	
3437.561342	-0.067212	
3437.562823	-0.050852	
3437.564476	-0.087329	
3437.565949	-0.049966	
3437.567585	-0.034002	
3437.569063	-0.059578	
3437.570689	0.016686	
3437.572186	-0.041265	
3437.573892	-0.000865	
3437.575402	-0.028153	
3437.577047	0.029927	
3437.578577	-0.018876	
3437.580238	0.007848	
3437.581793	0.039752	
3437.583501	0.018942	
3437.585051	0.020163	
3437.586732	0.015031	
3437.588307	0.037295	
3437.590003	0.030217	
3437.591588	0.002084	
3437.593254	0.016372	
3437.594837	0.029202	
3437.596488	0.032876	
3437.598090	-0.003242	
3437.599721	0.032002	
3437.601362	0.026354	
3437.602972	0.052216	
3437.604658	0.042979	
3437.606250	0.062770	
3437.607937	0.048212	
3437.609535	0.104842	
3437.611201	0.036792	
3437.612800	0.057255	
3437.614505	0.019567	
3437.616080	0.035402	
3437.617775	0.066569	
3437.619332	0.066577	
3437.621055	0.061626	
3437.622615	0.063971	
3437.624324	0.032554	
3437.625879	0.098844	
3437.627603	0.054831	
3437.629107	0.103505	
3437.630844	0.087871	
3437.632322	0.042798	
3437.633875	0.013278	
3437.635396	0.083170	
3437.636973	0.048377	
3437.638521	0.070823	
3437.640049	0.047088	
3437.641660	0.120258	
3437.643244	0.065997	
3437.644860	0.089103	
3437.646417	0.078549	
3437.648046	0.037694	
3437.649554	0.068543	
3437.651257	0.028993	
3437.652852	0.091065	
3437.654519	0.077671	
3437.656112	0.082602	
3437.657811	0.045517	
3437.659370	0.083597	
3437.661075	0.071113	
3437.662609	0.091311	
3437.664316	0.062545	
3437.665866	0.089393	
3437.667602	0.064833	
3437.669152	0.073224	
3437.670904	0.056357	
3437.672395	0.099190	
3437.674183	0.059423	
3437.675668	0.069957	
3437.677433	0.063842	
3437.678919	0.101833	
3437.680694	0.079858	
3437.682181	0.094807	
3437.683951	0.062464	
3437.685431	0.067971	
3437.687206	0.073171	
3437.688708	0.091379	
3437.690454	0.079053	
3437.691973	0.081095	
3437.693701	0.077224	
