time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
3437.382484	28.295700	1.560880	0.076303	47
3439.474990	28.487814	1.537158	0.076780	49
3441.568135	28.481468	1.520728	0.077038	51
3443.660073	28.253485	1.502895	0.077962	53
3445.748622	28.101131	1.480299	0.078506	55
3447.837037	28.018000	1.461818	0.078724	57
3449.923894	28.151022	1.438443	0.079840	59
3452.009571	29.021973	1.419229	0.081105	61
3454.092468	30.152237	1.392684	0.083135	63
3456.179677	30.733097	1.358869	0.083060	65
3458.273470	29.619688	1.331799	0.082791	67
3460.368872	27.913483	1.313842	0.083289	69
3462.460115	27.558867	1.307252	0.085112	71
3464.546641	28.289949	1.292280	0.085756	73
3466.631237	29.029757	1.270384	0.085960	75
3468.717369	29.277948	1.247174	0.086245	77
3470.806144	29.127285	1.222998	0.086999	79
3472.899987	29.110592	1.197646	0.088173	81
3474.991685	29.230171	1.179838	0.089068	83
3477.082386	29.382929	1.168114	0.089380	85
3479.162388	29.512291	1.151011	0.089393	87
3481.244870	29.652700	1.123814	0.090219	89
3483.328882	29.822910	1.096372	0.090750	91
3485.417977	29.853762	1.077544	0.090587	93
3487.510555	29.770809	1.060485	0.090619	95
3489.599862	29.856037	1.042404	0.090367	97
3491.689357	29.921276	1.027640	0.090593	99
3493.775085	30.107903	1.010960	0.091327	101
3495.861841	30.595829	0.993639	0.092377	103
3497.946225	31.179153	0.975628	0.093971	105
3500.036404	31.346834	0.949347	0.094458	107
3502.130953	30.640844	0.930569	0.094044	109
3504.227679	29.394238	0.915831	0.093527	111
3506.320751	28.554722	0.908991	0.093969	113
3508.410996	28.618633	0.895096	0.093994	115
3510.496933	29.131189	0.880566	0.093939	117
3512.581887	29.431139	0.860944	0.093744	119
3514.673851	29.472033	0.843818	0.094364	121
3516.764902	29.504984	0.827420	0.094793	123
3518.855045	29.837635	0.813841	0.095461	125
3520.940282	29.965452	0.806114	0.095761	127
3523.022271	30.130472	0.791269	0.096197	129
3525.102027	30.728905	0.768475	0.097286	131
3527.184083	31.288532	0.747405	0.097677	133
3529.272926	31.316349	0.732981	0.097146	135
3531.360466	31.197351	0.720672	0.096494	137
3533.445669	31.277515	0.706507	0.095945	139
3535.536552	31.698046	0.691302	0.096169	141
3537.625756	32.248569	0.676293	0.096864	143
3539.713842	32.430122	0.663349	0.096784	145
3541.800384	32.243492	0.650206	0.096353	147
