time (s)	magX	magY	magZ
3442.011822	-1.871418	-4.476330	-3.458801
3442.015153	-2.222092	-4.359440	-2.932793
3442.018489	-2.280533	-4.593220	-3.575691
3442.021826	-2.748096	-3.950321	-3.634136
3442.025158	-2.689655	-4.184101	-2.757458
3442.028515	-2.572762	-4.125656	-2.465229
3442.031822	-2.631207	-4.593220	-3.108131
3442.036077	-2.338982	-4.534775	-3.166573
3442.039349	-2.338982	-4.125656	-2.874348
3442.042676	-2.280533	-4.417885	-2.348339
3442.045572	-1.812969	-4.067211	-2.757458
3442.048911	-2.689655	-4.242550	-2.289894
3442.052246	-2.455872	-4.476330	-3.166573
3442.055153	-2.222092	-4.242550	-2.582119
3442.058481	-2.572762	-4.300995	-1.997665
3442.061821	-2.105202	-4.359440	-3.341911
3442.065149	-2.864986	-4.067211	-2.582119
3442.068484	-2.222092	-4.125656	-3.049683
3442.071825	-2.338982	-4.300995	-2.348339
3442.075151	-2.572762	-4.300995	-2.874348
3442.078483	-2.572762	-4.184101	-3.400352
3442.081906	-2.689655	-4.008766	-3.049683
3442.085151	-2.163643	-4.768555	-2.815899
3442.088477	-3.098766	-4.067211	-3.049683
3442.091812	-2.923435	-4.008766	-2.815899
3442.095146	-2.631207	-4.476330	-3.867916
3442.098478	-2.280533	-4.125656	-2.231445
3442.101849	-2.748096	-4.125656	-2.815899
3442.105152	-2.806545	-4.067211	-2.932793
3442.109326	-3.098766	-4.067211	-3.283463
3442.112685	-2.748096	-4.125656	-3.458801
3442.116038	-2.923435	-4.067211	-3.400352
3442.118927	-2.572762	-4.125656	-2.640568
3442.122262	-2.397423	-4.242550	-2.523678
3442.125598	-2.923435	-4.476330	-2.815899
3442.128477	-2.923435	-4.242550	-3.926365
3442.131808	-2.923435	-4.067211	-3.634136
3442.135150	-2.981876	-4.534775	-3.692585
3442.138475	-2.923435	-4.359440	-2.582119
3442.141811	-2.631207	-3.774986	-2.640568
3442.145166	-2.689655	-4.184101	-3.049683
3442.148483	-2.806545	-3.950321	-3.166573
3442.151807	-2.864986	-4.184101	-2.874348
3442.155139	-3.274109	-4.300995	-2.991238
3442.158477	-3.332550	-4.184101	-3.166573
3442.161804	-2.689655	-4.067211	-3.225021
3442.165142	-3.215660	-4.125656	-3.283463
3442.168480	-2.748096	-4.184101	-3.341911
3442.171809	-2.631207	-3.891876	-3.517242
3442.175143	-3.274109	-4.008766	-3.049683
3442.178474	-3.215660	-4.417885	-2.932793
3442.182784	-3.040325	-4.125656	-2.991238
3442.186069	-3.566330	-3.891876	-3.049683
3442.189352	-3.507889	-3.833431	-3.341911
3442.192235	-2.748096	-4.125656	-2.991238
3442.195568	-3.040325	-3.891876	-2.523678
3442.198895	-2.631207	-3.950321	-3.166573
3442.201810	-3.040325	-4.067211	-2.640568
3442.205136	-2.689655	-4.125656	-2.173004
3442.208473	-2.397423	-4.300995	-2.932793
3442.211799	-2.338982	-4.242550	-3.049683
3442.215137	-2.514317	-3.833431	-2.289894
3442.218473	-2.806545	-4.710110	-3.166573
3442.221805	-2.572762	-4.534775	-2.289894
3442.225157	-2.748096	-4.593220	-2.932793
3442.228466	-2.572762	-4.359440	-3.166573
3442.231805	-2.806545	-4.067211	-3.926365
3442.235133	-2.397423	-3.891876	-3.283463
3442.238470	-2.981876	-4.242550	-3.341911
3442.241798	-2.572762	-4.242550	-2.757458
3442.245135	-2.981876	-4.184101	-2.523678
3442.248463	-2.397423	-4.417885	-2.874348
3442.251804	-2.572762	-4.534775	-2.815899
3442.256434	-2.981876	-4.008766	-4.043255
3442.259346	-2.631207	-3.891876	-2.815899
3442.262695	-2.338982	-4.125656	-3.283463
3442.266002	-2.631207	-3.950321	-3.517242
3442.268962	-2.397423	-4.067211	-2.757458
3442.272247	-2.280533	-4.184101	-3.283463
3442.275576	-2.280533	-4.125656	-2.640568
3442.278470	-2.222092	-3.833431	-3.458801
3442.281795	-2.338982	-3.891876	-3.108131
3442.285131	-2.397423	-4.008766	-3.400352
3442.288464	-2.806545	-4.125656	-2.815899
3442.291798	-2.514317	-4.184101	-3.283463
3442.295122	-2.689655	-3.774986	-3.283463
3442.298465	-2.280533	-3.774986	-3.283463
3442.301797	-2.280533	-4.125656	-3.634136
3442.305129	-2.572762	-4.242550	-3.283463
3442.308462	-2.280533	-4.534775	-3.166573
3442.311794	-2.631207	-4.476330	-2.991238
3442.315128	-2.806545	-4.008766	-3.692585
3442.318483	-2.338982	-4.067211	-3.166573
3442.321795	-2.280533	-4.300995	-3.517242
3442.325126	-2.514317	-4.300995	-2.874348
3442.328459	-2.631207	-4.242550	-3.108131
3442.332723	-1.812969	-3.774986	-3.108131
3442.336086	-2.338982	-3.774986	-4.101696
3442.339314	-2.748096	-3.891876	-3.867916
3442.342218	-3.274109	-3.774986	-3.809475
3442.345546	-2.923435	-3.541203	-3.692585
3442.348884	-3.507889	-3.658096	-3.458801
3442.351792	-3.215660	-4.534775	-3.458801
3442.355122	-2.631207	-4.184101	-3.283463
3442.358456	-2.981876	-4.359440	-3.400352
3442.361816	-3.040325	-4.651665	-3.283463
3442.365120	-3.098766	-4.008766	-3.283463
3442.368459	-2.280533	-4.300995	-2.582119
3442.371785	-2.923435	-3.891876	-2.874348
3442.375135	-2.631207	-4.417885	-3.400352
3442.378454	-2.572762	-4.300995	-3.225021
3442.381789	-2.631207	-3.950321	-3.400352
3442.385120	-3.098766	-3.833431	-3.751026
3442.388453	-2.806545	-4.593220	-3.692585
3442.391803	-3.040325	-3.950321	-3.341911
3442.395118	-2.748096	-3.599651	-3.225021
3442.398454	-2.572762	-4.008766	-2.815899
3442.401783	-2.572762	-4.242550	-3.400352
3442.406005	-2.455872	-4.300995	-3.458801
3442.409300	-2.748096	-4.008766	-3.108131
3442.412650	-2.689655	-3.891876	-2.348339
3442.415542	-3.274109	-4.184101	-3.517242
3442.418917	-3.274109	-4.184101	-3.225021
3442.422238	-3.332550	-4.125656	-2.406784
3442.425119	-3.098766	-4.008766	-2.406784
3442.428502	-2.514317	-3.424313	-2.582119
3442.431786	-3.449440	-3.716541	-3.166573
3442.435116	-2.222092	-4.417885	-3.575691
3442.438448	-2.572762	-4.008766	-1.939224
3442.441779	-2.923435	-4.476330	-3.225021
3442.445117	-2.806545	-3.716541	-2.114555
3442.448477	-2.748096	-4.651665	-2.465229
