time (s)	det(V)
3442.011331	-0.103569	
3442.012829	-0.118405	
3442.014557	-0.113572	
3442.016082	-0.118434	
3442.017805	-0.124561	
3442.019335	-0.124178	
3442.021038	-0.112520	
3442.022587	-0.109708	
3442.024285	-0.113696	
3442.025839	-0.128347	
3442.027523	-0.112725	
3442.029097	-0.124637	
3442.030749	-0.110200	
3442.032329	-0.130386	
3442.033970	-0.115348	
3442.035573	-0.130845	
3442.037095	-0.119388	
3442.038733	-0.130494	
3442.040211	-0.128939	
3442.041851	-0.126043	
3442.043330	-0.135602	
3442.044973	-0.121286	
3442.046462	-0.135022	
3442.048174	-0.120597	
3442.049659	-0.119638	
3442.051363	-0.136867	
3442.052866	-0.115859	
3442.054540	-0.115275	
3442.056061	-0.113998	
3442.057790	-0.120270	
3442.059317	-0.113664	
3442.061030	-0.117318	
3442.062577	-0.138914	
3442.064279	-0.108810	
3442.065842	-0.133584	
3442.067520	-0.108850	
3442.069100	-0.116516	
3442.070771	-0.114518	
3442.072348	-0.145415	
3442.074000	-0.118313	
3442.075585	-0.129145	
3442.077236	-0.115775	
3442.078857	-0.126281	
3442.080471	-0.112379	
3442.082129	-0.121249	
3442.083728	-0.103690	
3442.085390	-0.114893	
3442.086990	-0.114723	
3442.088642	-0.118119	
3442.090224	-0.114063	
3442.091911	-0.111150	
3442.093463	-0.113064	
3442.095185	-0.128436	
3442.096739	-0.125205	
3442.098444	-0.132686	
3442.100003	-0.111734	
3442.101712	-0.121451	
3442.103227	-0.113394	
3442.104988	-0.127417	
3442.106466	-0.122325	
3442.108241	-0.115590	
3442.109721	-0.122788	
3442.111364	-0.129785	
3442.112869	-0.123110	
3442.114458	-0.131252	
3442.116000	-0.124690	
3442.117538	-0.123964	
3442.119133	-0.127953	
3442.120708	-0.111888	
3442.122316	-0.111235	
3442.123862	-0.115412	
3442.125499	-0.137375	
3442.127004	-0.132448	
3442.128712	-0.136787	
3442.130327	-0.103948	
3442.131994	-0.129391	
3442.133577	-0.107726	
3442.135271	-0.133439	
3442.136834	-0.119352	
3442.138533	-0.131731	
3442.140078	-0.125362	
3442.141800	-0.130309	
3442.143354	-0.119163	
3442.145057	-0.114051	
3442.146587	-0.112101	
3442.148327	-0.088354	
3442.149813	-0.122128	
3442.151580	-0.120891	
3442.153066	-0.112311	
3442.154831	-0.095947	
3442.156324	-0.126208	
3442.158084	-0.128271	
3442.159571	-0.118152	
3442.161361	-0.123155	
3442.162852	-0.117265	
3442.164606	-0.120266	
3442.166109	-0.110470	
3442.167858	-0.118438	
3442.169381	-0.136964	
3442.171111	-0.119372	
3442.172644	-0.119767	
3442.174370	-0.127751	
3442.175917	-0.114881	
3442.177607	-0.125725	
3442.179164	-0.115070	
3442.180848	-0.108975	
3442.182466	-0.115856	
3442.183950	-0.123501	
3442.185588	-0.114591	
3442.187113	-0.118857	
3442.188747	-0.135828	
3442.190227	-0.112395	
3442.191877	-0.125620	
3442.193347	-0.126087	
3442.195061	-0.125793	
3442.196550	-0.124835	
3442.198254	-0.121266	
3442.199742	-0.124939	
3442.201467	-0.126103	
3442.202958	-0.131111	
3442.204761	-0.121519	
3442.206243	-0.132065	
3442.208015	-0.126925	
3442.209507	-0.117016	
3442.211245	-0.123207	
3442.212752	-0.114861	
3442.214458	-0.105543	
3442.215989	-0.113994	
3442.217710	-0.121958	
3442.219256	-0.129850	
3442.220960	-0.118675	
3442.222511	-0.132935	
3442.224213	-0.110163	
3442.225769	-0.116693	
3442.227435	-0.116480	
3442.229020	-0.116423	
3442.230667	-0.111453	
3442.232283	-0.122623	
3442.233930	-0.115303	
3442.235529	-0.133302	
3442.237170	-0.116137	
3442.238782	-0.140517	
3442.240383	-0.114027	
3442.242051	-0.127207	
3442.243631	-0.110768	
3442.245306	-0.114365	
3442.246885	-0.108512	
3442.248566	-0.122571	
3442.250141	-0.113096	
3442.251825	-0.125628	
3442.253383	-0.114756	
3442.255082	-0.140235	
3442.256568	-0.137850	
3442.258145	-0.124250	
3442.259638	-0.139691	
3442.261256	-0.123469	
3442.262778	-0.134084	
3442.264338	-0.121326	
3442.265894	-0.124254	
3442.267399	-0.140328	
3442.269017	-0.128041	
3442.270579	-0.115743	
3442.272195	-0.130958	
3442.273727	-0.131369	
3442.275394	-0.123824	
3442.276872	-0.124303	
3442.278616	-0.120250	
3442.280195	-0.118397	
3442.281872	-0.108883	
3442.283444	-0.114401	
3442.285134	-0.140074	
3442.286701	-0.114566	
3442.288421	-0.125234	
3442.289960	-0.119332	
3442.291690	-0.116085	
3442.293199	-0.121749	
3442.294954	-0.115388	
3442.296437	-0.116895	
3442.298210	-0.121306	
3442.299698	-0.128762	
3442.301500	-0.131199	
3442.302983	-0.113438	
3442.304785	-0.122651	
3442.306267	-0.119731	
3442.308058	-0.113358	
3442.309540	-0.121934	
3442.311320	-0.103477	
3442.312826	-0.126099	
3442.314608	-0.116875	
3442.316109	-0.116875	
3442.317848	-0.123674	
3442.319366	-0.124226	
3442.321075	-0.114941	
3442.322610	-0.130837	
3442.324336	-0.112198	
3442.325887	-0.114933	
3442.327589	-0.110397	
3442.329144	-0.119574	
3442.330816	-0.114301	
3442.332418	-0.109354	
3442.333911	-0.113914	
3442.335524	-0.117604	
3442.337050	-0.110711	
3442.338706	-0.122949	
3442.340195	-0.131981	
3442.341853	-0.148211	
3442.343327	-0.123546	
3442.345042	-0.115461	
3442.346525	-0.127626	
3442.348226	-0.118393	
3442.349714	-0.121322	
3442.351414	-0.129503	
3442.352901	-0.123417	
3442.354668	-0.133673	
3442.356171	-0.113737	
3442.357927	-0.118498	
3442.359433	-0.110619	
3442.361159	-0.119896	
3442.362681	-0.126672	
3442.364422	-0.113181	
3442.365964	-0.130329	
3442.367692	-0.115928	
3442.369239	-0.119380	
3442.370951	-0.112580	
3442.372505	-0.127856	
3442.374193	-0.101152	
3442.375751	-0.119888	
3442.377421	-0.109648	
3442.378998	-0.124206	
