time (s)	magX	magY	magZ
3118.197539	4.499126	-30.601402	-12.400940
3118.200867	3.856228	-30.192291	-12.225601
3118.204209	4.031563	-29.257156	-11.933380
3118.207540	3.973122	-29.081825	-11.758041
3118.210881	2.921104	-28.731155	-11.465816
3118.215132	3.680889	-27.270020	-12.050270
3118.218387	2.628876	-27.270020	-11.348927
3118.221742	2.745766	-26.744011	-11.933380
3118.224636	2.979546	-26.101112	-11.056694
3118.227966	2.570431	-26.042664	-11.407368
3118.231293	2.453541	-25.282875	-11.115143
3118.234202	2.453541	-25.165985	-11.407368
3118.237531	2.395092	-25.691994	-10.764473
3118.240871	2.453541	-24.464638	-11.056694
3118.244204	2.628876	-24.756866	-10.355350
3118.247536	2.161312	-24.581528	-11.056694
3118.250872	2.395092	-24.113968	-11.874931
3118.254253	2.044422	-23.354179	-11.115143
3118.257573	2.336651	-23.880188	-10.472240
3118.260872	2.278202	-23.646408	-11.115143
3118.264225	1.635300	-23.646408	-10.822914
3118.267537	2.161312	-23.061951	-10.530689
3118.270865	2.219761	-23.003510	-10.355350
3118.274203	1.810638	-22.594391	-10.589134
3118.277538	2.102871	-22.652840	-10.647583
3118.280868	1.927532	-22.652840	-10.881363
3118.284203	1.869083	-22.009933	-10.589134
3118.288406	2.336651	-21.717712	-10.413799
3118.291735	2.278202	-21.893044	-9.712456
3118.295141	2.395092	-21.308594	-9.127998
3118.297988	2.570431	-21.133255	-9.770897
3118.301323	1.927532	-21.483932	-10.180019
3118.304626	1.985973	-20.548798	-9.770897
3118.307567	2.102871	-20.548798	-9.887787
3118.310870	2.687325	-20.841030	-9.595566
3118.314199	1.927532	-20.431908	-9.420227
3118.317530	1.635300	-20.724140	-9.595566
3118.320890	2.161312	-20.256577	-9.946236
3118.324195	2.278202	-20.373466	-10.296909
3118.327528	2.453541	-20.081238	-10.004681
3118.330863	1.927532	-19.905903	-10.180019
3118.334218	1.635300	-19.555233	-9.829346
3118.337530	1.985973	-19.964348	-9.770897
3118.340860	1.985973	-19.905903	-10.296909
3118.344198	1.810638	-19.496784	-10.063129
3118.347525	2.044422	-19.730564	-10.530689
3118.350855	1.401520	-19.204559	-10.238461
3118.354193	1.810638	-19.613674	-10.355350
3118.357521	1.927532	-19.438339	-9.946236
3118.361800	1.576859	-19.789013	-10.180019
3118.365154	1.752193	-19.613674	-10.238461
3118.368371	1.927532	-19.905903	-8.952663
3118.371304	1.810638	-19.496784	-9.478676
3118.374621	1.752193	-20.022793	-9.361778
3118.377988	1.869083	-20.373466	-9.303337
3118.380855	1.635300	-20.198128	-9.829346
3118.384194	1.576859	-20.139687	-9.770897
3118.387527	0.992405	-20.081238	-10.822914
3118.390857	1.752193	-20.490356	-9.887787
3118.394191	1.459969	-20.198128	-9.244888
3118.397521	1.927532	-19.730564	-10.296909
3118.400851	1.518410	-19.789013	-9.478676
3118.404185	1.869083	-20.841030	-10.004681
3118.407525	1.927532	-19.905903	-10.355350
3118.410858	1.985973	-20.139687	-10.413799
